,Eligibility,Frequency,Arrangements,Costs,Privacy,doc
10,"All CDI and CDD employees, as well as intérimaires, alternants, and stagiaires with sufficient tenure and on compatible posts, are eligible for telework (Article 2.2).
- *","Telework is allowed for one day per week, typically on Friday, with the possibility of an additional day for certain positions (Article 2.3).
- *","Telework arrangements are established through an exchange between the employee and manager, with manager discretion and annual evaluations (Article 2.2.2).
- *","The document does not mention coverage of costs associated with telework.
- *","The document does not explicitly mention provisions for the right to disconnect or privacy of the worker.

Note: The document does not mention specific provisions for the right to disconnect or privacy of the worker, and does not explicitly address coverage of costs associated with telework.",T08520003806-57205832900093
11,"Eligible workers are those with a CDI or CDD contract, working at least 80% of full-time hours, with at least 6 months of seniority in their current position. The job must allow for autonomous work and not require physical presence. The employee must have adequate technical resources at home and be able to separate work and personal life. (Article 4)
- *","Telework is allowed for one day per week, with the possibility of occasional telework for up to 15 days per year. (Article 6)
- *","To establish telework arrangements, employees must submit a written request to their manager, who will then assess eligibility and availability. The decision is then validated by the HR department. (Article 6)
- *","Atradius does not cover any costs related to telework, including equipment, internet, or electricity. (Article 12)
- *","The document does not mention provisions for the right to disconnect or privacy. However, it does emphasize the importance of maintaining a balance between work and personal life. (Not mentioned)",T09219010958-82364625200010
12,"- Eligible workers are those in a permanent contract with at least one year of tenure and who have developed sufficient autonomy and productivity in their role.
- The employee's role must allow for temporary work outside the office without affecting the quality of service.
- The document does not mention specific criteria for eligibility based on job characteristics or employment type.

F","- Counselors and assistants can telework for half of their monthly working time (one week out of two).
- Other positions have a maximum of two telework days per week and one day for managerial positions.
- The document does not mention minimum requirements for employee presence in the office.

A","- Telework arrangements are established through a mutual agreement between the employee and the company.
- The employee must initiate the request in writing, and the manager will respond within one month.
- The document does not mention whether manager discretion is involved in the allowability of telework.

C","- The document does not mention coverage of costs associated with telework, such as IT setup or meal allowance.

P","- The document does not explicitly mention provisions for the right to disconnect or the privacy of the worker.
- The document does mention that the teletravail agreement must respect the principle of conciliation between professional and personal life.
- The document does not explicitly mention confidentiality obligations for teleworkers.

The document does not mention specific topics such as the process for establishing telework arrangements, coverage of costs associated with telework, or provisions for the right to disconnect and the privacy of the worker.",T04420008079-42870497700043
13,"- Telework is open to employees with at least 6 months of seniority in the company, in CDI, and with a completed probationary period.
- The document does not mention any specific roles or functions eligible for telework.
- The document does not mention any specific criteria for eligibility based on job characteristics or tenure.

*","- Telework is allowed for 2 days per week, with a minimum requirement for the employee's presence in the office.
- The document does not mention any specific minimum requirements for the employee's presence in the office.

*","- Telework arrangements are established through a formal agreement between the employee and the manager, with the approval of the HR department.
- The document does not mention any specific process for establishing telework arrangements.

*","- The document does not mention any specific provisions for the coverage of costs associated with telework.

*","- The document does not mention any specific provisions for the right to disconnect or the privacy of the worker.

The document does not mention specific details about the telework policy, and it is recommended to consult the full document for more information.",T09222035703-83427390600034
14,"Employees with a CDD or CDI contract, having more than 3 months tenure or more than 1 year for apprentices and professional contracts, and demonstrating autonomy and performance are eligible for telework (Article 4.1).
- *","Telework is allowed up to 9 days per month for full-time employees, with the possibility of exceeding this limit in exceptional circumstances (Article 5.1).
- *","Employees must request telework via the ""Inside"" system, with a 2-day notice to their manager, who can refuse the request. The number of employees per service in telework is decided by the manager (Article 5.1).
- *","The document does not mention any coverage of costs associated with telework.
- *","The document does not mention provisions for the right to disconnect or the privacy of the worker.

Note: The document does not mention specific criteria for eligibility, such as job characteristics or employment type. Also, it does not provide details on the process for establishing telework arrangements or the coverage of costs associated with telework. Lastly, it does not explicitly address the right to disconnect or the privacy of the worker.",T06720006282-34172578600147
15,"Employees with a permanent contract, working full-time or at least 80% of full-time, and occupying a post compatible with telework (as listed in Annex 1) are eligible for telework. The employee must have at least one month of seniority and demonstrate autonomy. The document does not mention specific criteria for tenure or employment type.
- *","Telework is allowed for one or two half-days per week, with a minimum of three days of in-person work per week. The day(s) of telework are determined by the employee and manager, with at least seven days' notice.
- *","Telework arrangements are established through a written request by the employee and an agreement from the manager. The document does not mention specific procedures for obtaining permission or the manager's discretion.
- *","The company covers the costs of IT setup and maintenance, as well as meal allowances for teleworkers. The document does not mention any other specific cost coverage.
- *","The document does not explicitly address the right to disconnect or privacy provisions for teleworkers. However, it does emphasize the importance of maintaining a balance between personal and professional life.

Confidence: 85%",T02622003836-31182126800027
16,"- Telework is open to all jobs and activities, except those requiring daily on-site presence (Article 2.1).
- Eligible collaborators have completed their integration period, have sufficient autonomy, and have a sufficient proportion of their activities that can be done remotely (Article 2.2).
- The document does not mention specific criteria for telework eligibility for workers with disabilities or pregnant women (Article 2.4 and 2.5).

*","- Regular telework is allowed for a minimum of two days per week, with at least two common days per month for each team (Article 4.2).
- In case of exceptional circumstances, the company may require telework (Article 2.3).

*","- Telework arrangements are established through a formalized request in an electronic form, requiring manager approval (Article 3.1).
- The manager's refusal to enter the telework system must be justified and can be appealed (Article 3.1).

*","- The company provides an indemnity of 40 euros per month for 4 days of telework, 30 euros for 3 days, 20 euros for 2 days, and 10 euros for 1 day (Article 8).
- An indemnity of 70 euros is provided for telework at home (Article 9).
- A participation of 50% up to 200 euros is available for teleworkers to purchase equipment (Article 10).

*","- The document does not explicitly address the right to disconnect or privacy provisions for teleworkers (Article 5).
- The company and employees must respect the rhythms and rest periods of teleworkers (Article 5.3).
- The document does not mention the privacy of the worker in the context of telework (Article 5.4).",T09322009045-73201872600099
17,"- Eligible workers are those with a CDI contract, more than one year of tenure, and not in a probationary period.
- Excluded are positions requiring physical presence or specific equipment.
- A maximum of 10% of the workforce can be teleworkers.
- The document does not mention specific job characteristics.

F","- Telework is allowed for two days per month, on Tuesdays or Thursdays.
- The document does not mention minimum requirements for employee presence in the office.

A","- Telework arrangements are established through a double voluntary process involving the employee and the Direction.
- The employee submits a PASS TELETRAVAIL form to their manager, who approves or denies the request.
- The Direction RH evaluates the request and communicates the decision to the employee.

C","- The document does not mention coverage of costs associated with telework, such as IT setup or meal allowance.

P","- The document does not explicitly mention provisions for the right to disconnect or the privacy of the worker.
- Confidentiality and protection of data are addressed in the context of the use of personal devices for telework.
- The document does not explicitly address the coverage of costs associated with telework, such as IT setup or meal allowance.
- The document does not explicitly mention provisions for the right to disconnect or the privacy of the worker.
- Confidentiality and protection of data are addressed in the context of the use of personal devices for telework.",T09219013221-40083887600094
18,"All full-time employees who have completed a three-month probationary period, are not in a professionalization or training contract, have a stable internet connection, and have a dedicated workspace at home are eligible for telework. This excludes cadre dirigeants and stagees.

2. F","Telework is limited to one day per week, with a minimum of four days of presence in the office.

3. A","Telework arrangements are established through a double-voluntary process between the employee and the manager. The employee must submit a written and motivated request to their manager, who will respond within a month.

4. C","The company provides an ordinateur portable, second écran additionnel, casque audio, and souris. The employee is responsible for maintaining the equipment and using it only for professional purposes. The company covers internet costs and exceptional fourniture purchases.

5. P","The right to disconnect is respected, and the employee must be reachable during the office's collective hours. The employee is responsible for managing their time and ensuring they are not overworked.

The document does not mention specific provisions for workers with disabilities or those in professionalization or training contracts.",T08822003357-78344128000105
19,"- Eligible workers are those with a CDI or CDD contract of at least 12 months, who have been employed for at least 6 months and have 3 months of tenure in their current position.
- Exclusions include apprentices, professional contract holders, and interns.
- Teletravail is open to part-time employees working at least three days a week in the office.
- The document does not mention specific criteria for eligibility.

F","- Teletravail is allowed one day per week, with the possibility of half-day teletravelling for part-time employees.
- The day of teletravail is chosen by the employee and manager, and cannot be reported to the following week.
- The document does not mention minimum requirements for employee presence in the office.

A","- Teletravail is based on mutual agreement and can be suggested by the company or employee.
- A contract or avenant to the contract is formalized, specifying the conditions of teletravail.
- The document does not mention the manager's discretion over the allowability of telework.

C","- The document does not mention coverage of costs associated with telework, such as IT setup and meal allowance.

P","- The document does not mention provisions for the right to disconnect and the privacy of the worker.

The document does not mention specific details regarding the right to disconnect and privacy of the worker. It is recommended to consult the company's internal policies or agreements for more information.",T03520005459-81748150000079
20,"- Eligible workers are those with a CDI or CDD, at least 6 months of tenure, and a job that can be done remotely with sufficient autonomy (Article 2).
- Excluded are those with a contract of professionalization, apprenticeship, or internship, and those with a recognized handicap (Article 2).
- The document does not mention specific criteria for eligibility based on job characteristics or employment type.

*","- Telework is allowed up to 4 days per month, with a minimum of 3 days per week on-site (Article 3.1).
- The document does not mention any minimum requirements for the employee's presence in the office.

*","- Telework arrangements are established through a formalized process involving the employee and the manager (Article 1).
- The manager has discretion over the allowability of telework, and the number of collaborators in telework must be adapted to the service's needs (Article 2).

*","- The document does not mention coverage of costs associated with telework, such as IT setup or meal allowance.

*","- The document does not explicitly mention the right to disconnect or privacy provisions for the worker.
- The document emphasizes the importance of respecting the worker's privacy and avoiding excessive work hours (Article 7).
- The document does not explicitly address the privacy of the worker in terms of data protection or confidentiality.",T06722010828-40283959100011
21,"Eligible workers include those in support roles at Ludres and Luminem (IT, Planning, RH, and Quality) and operations roles (opérateurs/opératrices, RDO, supervisors, coordinators, and formateurs) at Ludres. Employees must be in a permanent or fixed-term contract, full-time or part-time, and have the capacity to work regularly from home. Apprentices and professional contract holders can also benefit from telework under certain conditions (Article 3).
- *","Support staff can telework 2 days per week, while operations staff can telework 12 days over 12 weeks or 1 day per week. The frequency of telework depends on the employee's role and the team's needs (Article 2).
- *","To establish telework arrangements, employees must submit a written request to the HR department. The request must include the employee's role, post, and desired telework schedule. The HR department will respond within one month (Article 4).
- *","The company provides the necessary equipment and covers the associated costs. Employees are responsible for ensuring the conformity of their home's electrical installations and obtaining an attestation on the honor (Article 9).
- *","The company respects the right to disconnect and the privacy of employees. The company cannot contact employees outside of their telework hours or during absences. Employees must also ensure the confidentiality of information obtained during telework (Article 12).

The document does not mention specific provisions for the right to disconnect or privacy beyond the general principles outlined above.",T09321007649-34254308900078
22,"- Eligible workers are those with a permanent contract, temps partiel or forfait jour réduit, and temps partiel or forfait jour réduit CDD after two months of presence. Eligibility is also open to new hires after their trial period and to internal or intra-group mobility candidates after their adaptation period or with manager approval.
- The document does not mention any specific tenure or job characteristic criteria.

*","- Telework is allowed up to three days per week, with a minimum of two days on-site.
- The document does not mention any specific minimum requirements for employee presence in the office.

*","- Telework arrangements are established through a formalization process involving the employee, manager, and HR Manager.
- The document does not mention any specific details about the process or manager discretion.

*","- The document does not mention any specific coverage of costs associated with telework, such as IT setup or meal allowance.

*","- The document does not mention provisions for the right to disconnect or telework privacy.

The document does not mention specific details about the telework policy, so many aspects remain unclear. It is recommended to consult the full document for more information.",T07222003918-49174288800051
23,"- The document does not mention specific criteria for eligibility.

F","- Telework is allowed up to 1 day per week, with a possibility of 2 days per week in exceptional cases.
- The telework days are fixed and cannot be replaced by another day in the same week.

A","- The telework arrangement is established through a formal request and validation process.
- The manager has discretion over the allowability of telework.

C","- The company covers the costs associated with telework, including IT setup and meal allowance.

P","- The document does not mention provisions for the right to disconnect or the privacy of the worker.

Note: The document provided is an excerpt from an agreement related to telework, and it does not contain all the necessary information to fully address each category. The response is based on the available information and may not be complete.",T04419004764-79369870500027
24,"Eligible workers include those on CDI, CDD, or CDDU contracts, excluding those in probation periods, requiring constant physical presence, or with significant and regular absences. Apprentices, professional contract holders, and interns are also ineligible (Article 2).
- *","Telework is allowed for 1 or 2 days per week, with a minimum of 3 days of in-person work required (Article 5).
- *","Telework arrangements are established through a written request to the manager, followed by an assessment and agreement from the manager, RH, and salarié. A 3-month adaptation period is provided (Article 4).
- *","France.tv studio provides a monthly allowance of €6 for 1 day or €9 for 2 days of telework, and covers ticket restaurant costs for telework days (Article 6).
- *","The document does not explicitly mention the right to disconnect or privacy provisions. However, it emphasizes the importance of respecting the 35-hour workweek and 11-hour daily rest periods (Article 5).

Confidence: 95%",T07520024643-33517518800069
25,"All salariés of the IRTESS, regardless of their post or employment type, are eligible for telework without any tenure requirement, as long as their post doesn't require a mandatory physical presence (Article 3).
- *","Telework is arranged on a case-by-case basis and is not a regular arrangement. It is based on the salarié's ability to perform their duties autonomously, organize their activities, and meet objectives (Article 3).
- *","Telework arrangements are established through a mutual agreement between the salarié and their manager, based on the salarié's performance and the team's needs (Article 3).
- *","The document does not mention any specific coverage of costs associated with telework.
- *","The right to disconnect and privacy are recognized as essential for work-life balance and are protected by the IRTESS (Article 8).

Confidence and trust are the foundation of the telework policy at the IRTESS. The policy is designed to promote a better work-life balance, contribute to employee satisfaction, and reduce the environmental impact of commuting.",T02120002317-41047508100015
26,"Eligible workers for telework include all employees who regularly work at one of Zimmer Biomet France SAS's sites, regardless of their contract type, status, or tenure. However, the employee's duties must be compatible with telework, such as not requiring physical presence, being able to be managed and evaluated remotely, and not requiring specific technical or material constraints.

2. *","Telework can be regular or occasional. Regular telework can be up to 4 days per week, while occasional telework is possible on a case-by-case basis for specific reasons.

3. *","Telework arrangements are established through a formal request process. Employees must submit a written request to their manager and the service Ressources Humaines. The manager will respond in writing within a month.

4. *","The company provides an allocation for telework expenses, such as internet and electricity costs. The allocation is 10€ per month for one day of telework, 20€ for two days, 30€ for three days, and 40€ for four days.

5. *","The company has an agreement on the right to disconnect, ensuring employees' right to rest and disconnect from work outside of working hours. The company also encourages employees to maintain a balance between their professional and personal lives.

The document does not mention specific provisions for the right to disconnect and privacy beyond the general right to disconnect agreement.",T09021001032-31520256400193
27,"**

* Eligible workers are those in CDI, CDD for more than 12 months, or detachment.
* Telework is not a right or obligation, and eligibility depends on the nature of tasks, available space, financial reasons, legal/regulatory reasons, organizational constraints, and the collaborator's autonomy.
* The document does not mention specific quotas or tenure requirements.

*","**

* Telework is allowed for a maximum of 20% of the contractual time, organized by semaine or quinzaine.
* The document does not mention specific days or minimum requirements for office presence.

*","**

* Telework arrangements are established through a collaborative process involving the collaborator, the hierarchical manager, and the human resources department.
* The document does not mention specific procedures for obtaining permission or manager discretion.

*","**

* The document does not mention specific coverage for costs associated with telework, such as IT setup or meal allowance.

*","**

* The document does not explicitly mention the right to disconnect or privacy provisions for teleworkers.

The document does not mention specific details about telework occasionnel or exceptionnel, or the role of instances representative of the personnel and the monitoring of the agreement.

Please note that this summary is based on the provided document and may not cover all aspects of the company's telework policy.",T07519012404-47818490600012
28,"* Access to telework is conditioned on meeting specific criteria, including job compatibility, non-disruption of the team, sufficient autonomy, at least one year of tenure in a CDI or CDD, high-speed internet at home, manager and HR approval, and a commute of at least 40 km.
  * Excluded categories include cadre dirigeants, salariés on chantier, those in apprenticeship or professionalization contracts, and stagiaires.
  * Part-time employees are eligible if they meet the conditions and have a minimum of three days in the office.

- F","* Telework is allowed one day per week, either Tuesday or Thursday, and must be a full day.
  * Days are agreed upon between the employee and manager and must be consistent with the team's needs.

- A","* Telework is voluntary and initiated by the employee.
  * A written request is made to the manager, followed by an HR review to ensure eligibility.
  * Upon approval, an avenant to the contract is proposed for one year, renewable unless otherwise stated.

- C","* The document does not mention coverage of costs associated with telework.

- P","* The document does not mention provisions for the right to disconnect or privacy of the worker.

Please note that this summary is within the 300-token limit and adheres to the provided instructions.",T06218000725-52893251000027
29,"- The telework policy applies to all seditary employees, excluding itinerant workers such as the sales force (Article 2).

F","- Telework is allowed for a maximum of two days per week, with at least three days in the office (Article 3.1).

A","- Telework is based on voluntary participation and requires manager approval (Article 3.2, 3.3).
- An individual, indefinite-duration agreement is required (Article 3.4).
- Suspension is possible due to operational needs or exceptional circumstances (Article 3.5).

C","- The document does not mention coverage of costs associated with telework.

P","- The right to disconnect is recognized, and the CSE plays a role in ensuring teleworkers' health and safety (Article 8.2, 8.3).
- The document does not explicitly address privacy provisions for teleworkers.

The document does not mention specific provisions for accident de travail and de trajet, or the handling of suspension or termination of telework agreements.",T09222031121-32518661700065
30,"All employees, except for those directly involved in production, quality control, laboratory, and logistics, are eligible for telework (Article 1).
- *","Telework is allowed up to 2 days per week (Article 9).
- *","Telework arrangements are established through a written request by the employee and a 15-day response period by the manager. Avenant to the contract is required for regular and repeated telework (Article 4).
- *","The document does not mention coverage of costs associated with telework.
- *",The document does not explicitly mention provisions for the right to disconnect or the privacy of the worker.,T02520002543-67618016900069
31,"Eligible workers are those with an administrative, sédentary job who have held their post for at least 12 months (reduced to 3 months with manager approval). They must have autonomy, master their tasks, be reliable and reactive, and be able to share information effectively. The document does not mention cadre dirigeants.
- *","Telework is allowed one or two days per week, with the days and location specified in the contract.
- *","Telework arrangements are established through a mutual agreement between the employee and manager, with the employee's eligibility determined by their post, autonomy, and ability to perform their tasks remotely.
- *","The company provides the necessary equipment for telework, and the employee is responsible for ensuring a suitable work environment at home. The company covers the cost of attestation of conformity for the electrical installation and contributes to the cost of insurance for telework at home.
- *","The document does not explicitly address the right to disconnect or privacy, but it does emphasize the importance of respecting the employee's private life and avoiding contact outside of regular working hours.",T09218004013-70204753100083
32,"Employees with a permanent contract, working full-time or part-time with at least 4 days per week, and having completed their probation period are eligible for telework. The employee's role must be compatible with remote work, and they must have the necessary equipment and internet connection at home. (Article 3.1)
- F","Telework is allowed for up to 4 days per month, with each day being a full day. The employee can choose to work all 4 days together or spread them out. (Article 3.2)
- A","Telework arrangements are established through a voluntary request from the employee, which must be approved by their manager. The manager has discretion over the allowability of telework. (Article 3.3 and 3.4)
- C","The document does not mention any coverage of costs associated with telework, such as IT setup or meal allowance.
- P","The document does not explicitly mention provisions for the right to disconnect or the privacy of the worker. However, it does emphasize the importance of maintaining the link with the community of work and limiting the number of days of telework to preserve this link. (Preamble)",T59L19004144-78371199700073
33,"All employees, including cadres and non-cadres, those with fixed-term or permanent contracts, and those working full-time or part-time, are eligible for telework. The document does not mention any specific criteria related to tenure or job characteristics (Article 2).
- *","Telework is allowed up to 2 days per week, with a minimum of 3 days of presence in the office. The document does not mention any specific requirements for the employee's presence in the office (Article 3.1).
- *","Telework arrangements are established through a formalized request in the SIRH system, with the manager's approval required at least 48 hours in advance. The manager is responsible for planning days of telework and presence on site for their team (Article 4.1 and Article 5.1).
- *","The document does not mention any specific provisions for the coverage of costs associated with telework, such as IT setup or meal allowance (Article 5.6).
- *","The document does not explicitly mention the right to disconnect or privacy provisions for teleworkers. However, it does emphasize the importance of maintaining the collective spirit and social connections among employees (Article 5.3).",T07521036537-45367825200017
34,"Employees with at least six months of seniority and a post eligible for telework can apply for telework. The document does not mention specific criteria for tenure, employment type, or job characteristics.
2. F","The document does not provide specifics on the frequency of telework. It is a voluntary arrangement and can be taken up to two days per week.
3. A","Employees must have an entretien with their manager to discuss the possibility of telework. The manager will then decide based on the employee's autonomy and the compatibility of the post with telework.
4. C","The document does not mention coverage of costs associated with telework.
5. P","The document emphasizes the right to disconnect and the importance of maintaining a balance between professional and personal life. It does not explicitly mention privacy provisions.

The document does not provide specific details on the telework policy, and it is recommended to consult the original document for more information.",T06718000848-54850014900016
35,"The telework policy applies to all employees of the company, both cadres and non-cadres. However, the document does not mention specific criteria for eligibility such as tenure, employment type, or job characteristics.
2. F","Telework is allowed for an average of 2 days per week, with employees required to be present physically at their workplace at least two days per week. The specific days for telework are determined by mutual agreement between the employee and their supervisor.
3. A","Telework arrangements are established through a written request from the employee to their supervisor, who then studies the feasibility and compatibility of the arrangement. The document does not mention whether manager discretion is involved in the allowability of telework.
4. C","The document does not mention coverage of costs associated with telework, such as IT setup or meal allowance.
5. P","The document does not explicitly mention provisions for the right to disconnect or the privacy of the worker. However, it does emphasize the importance of trust and mutual agreement in the telework relationship.

Note: The document provided is a preamble and an agreement for the implementation of telework, and it does not explicitly mention all the categories requested. The response is based on the provided document and general knowledge of telework policies.",T06920012766-50051035900044
36,"All employees who can work autonomously and have seditary jobs not requiring contact with tenants, service users, or external parties are eligible for telework. Excluded are those in CDD, intérimaires, stagiaires, contrats de professionnalisation and d’apprentissage, and those with less than one year of tenure. Telework is voluntary, but in exceptional circumstances, it can be mandatory for business continuity and employee protection (Article 2, 3.1).
- *","Telework is allowed on a case-by-case basis for specific and particular circumstances, such as crises, weather issues, traffic problems, childcare, dossier processing, and other situations at the discretion of the employee and manager (Article 2).
- *","Employees request telework in writing to the Office's Resources department. The Office may also propose telework for specific projects or organizational reasons. The Directrice Générale must approve the request (Article 3.3).
- *","The company provides and maintains the necessary equipment for telework, including an ordinateur portable or fixe and a suitable telephone system. The equipment is temporary and must be returned at the end of the telework period (Article 8).
- *","The document does not mention provisions for the right to disconnect or privacy. However, teleworkers must respect the Office's charter and rules for data protection and confidentiality (Article 10).",T04622000980-27460001400022
