,Eligibility,Frequency,Arrangements,Costs,Privacy,doc
10,"- Eligible workers: CDI, CDD, contrat of professionalization, contrat of apprenticeship, and interns with a minimum of three months tenure in the company and/or in the position.
- The document does not mention any other specific criteria for eligibility.

*","- Telework is allowed one day per week, on Tuesdays or Thursdays.
- The day of telework can be adjusted based on manager's needs.

*","- Telework arrangements are established based on double voluntariness, with the employee or employer initiating the request.
- The document does not mention specific procedures for establishing telework arrangements.

*","- The document does not mention any specific provisions for coverage of costs associated with telework.

*","- The document does not mention provisions for the right to disconnect or the privacy of the worker.

The document does not mention specific provisions for the right to disconnect or the privacy of the worker.",T03422006579-50836415500012
11,"Eligible workers for telework include those with at least 18 months of experience in their function, exercising a compatible activity with telework, demonstrating a mastery and autonomy in managing their job, performing fully dematerialized activities, and working at least 3/5 of a full-time position. The document does not mention specific criteria for employment type or job characteristics.
- *",Telework a,"are established for a duration of three years, with days chosen by mutual agreement between the manager and the agent. The agent is required to be present on site for two days per week.
- **Arrangements**: Telework arrangements are established through an express agreement between the employee and the employer, with the employee's consent formalized in an amendment to their contract. The document does not provide specific details on the process for establishing telework arrangements.
- *","The document does not provide specific information on the coverage of costs associated with telework, such as IT setup or meal allowance.
- *","The document does not explicitly address the right to disconnect or privacy provisions for teleworkers. However, it does emphasize the importance of maintaining a balance between professional and personal life for teleworkers.

The document does not mention specific details regarding the process for establishing telework arrangements or the coverage of costs associated with telework. Additionally, it does not explicitly address the right to disconnect or privacy provisions for teleworkers.",T05718000069-51526088300019
12,"- Eligible workers are those in a permanent or fixed-term contract, with activities compatible with telework, and sufficient autonomy for their role.
- Stagiaires and alternates are not explicitly mentioned, but their needs should be considered.
- Female employees and those with disabilities have additional considerations for eligibility.

F","- Telework is allowed for up to 3 days per week for full-time employees and 2 days for part-time.
- Days are not transferable or accumulative.
- Flexibility is allowed for female employees and those with disabilities.

A","- Telework arrangements are established through an entente between the employee and manager, considering the employee's autonomy and the team's needs.
- A 3-month adaptation period is provided for both parties to assess the suitability of telework.

C","- The document does not mention specific coverage of costs associated with telework.

P","- The right to disconnect and work-life balance are emphasized, with no specific provisions for privacy.

The document does not mention specifics on the coverage of costs associated with telework or provisions for the right to disconnect and work-life balance.",T09222036535-44425698600076
13,"All employees of Société Industrielle Lesaffre, excluding expatriates and those in apprenticeship or alternance, are eligible for telework. However, the employee's role must be compatible with telework, they must have the necessary expertise, be part of a team that can function with telework, and have a suitable workspace at home (Article 3).
2. F","Telework is allowed for up to two days per week, with a minimum of three days on-site. The employee cannot telework on Wednesdays and must not be in a probationary period (Article 3.3).
3. A","Telework arrangements are established through a mutual agreement between the employee and their manager. The employee must submit a request via an online form, and the manager will respond within one month. The telework agreement lasts for one year and is renewable (Article 5).
4. C","The company provides the necessary hardware and software for telework. The employee is responsible for ensuring a suitable workspace, including a high-speed internet connection and compliance with safety standards. The employee must provide attestations of their home's electrical compliance and insurance coverage (Article 4).
5. P","The company and employee will mutually agree on pledges regarding availability, communication, and performance. The employee must maintain regular communication with their manager and colleagues. In case of exceptional circumstances, the employee may be required to return to the office (Article 4).

Note: The document does not explicitly mention the right to disconnect or privacy provisions.",T59L21014103-34906904700018
14,"All employees with a minimum of six months tenure and working at least 17.5 hours per week are eligible for telework, provided they have a suitable home environment (Article 3).
- *","Telework is allowed up to 3 days per week, with a minimum requirement for the employee's presence in the office (Article 2).
- *","Telework arrangements are established through a mutual agreement between the employer and employee, with a one-month deadline for acceptance or refusal (Article 4).
- *","The company provides a fixed forfeit of €500 to cover home office expenses. Additional costs are not covered (Article 10).
- *","The company and employee agree on plausible working hours, and the employee has the right to disconnect outside of these hours (Article 9 and 13).

The document does not mention specific provisions for the right to disconnect and privacy beyond the general working hours and plausibility.",T01322013605-32827437800038
15,"- Eligible workers: All employees in CDI/CDD, excluding interims, alternants, and stagiaires.
- Posts eligible for telework: All posts that can be exercised at a distance without hindering the service's smooth operation.
- Excluded posts: Those requiring physical presence, specific tools, or specific time organization.
- The document does not mention specific tenure or employment type criteria.

*","- Telework is allowed up to 2 days per week for full-time employees and 1 day per week for part-time employees.
- Days cannot be accolated to days off or reported from one month to another.
- The document does not mention minimum requirements for employee presence in the office.

*","- Telework arrangements are established through a voluntary process initiated by the employee.
- The manager has discretion over the allowability of telework and must consider the service's smooth operation, the employee's autonomy, and the nature of the tasks.
- The document does not mention specific procedures for establishing telework arrangements.

*","- The company covers costs associated with telework, including IT setup and meal allowance.
- The document does not mention specific coverage details or conditions.

*","- The document does not explicitly mention the right to disconnect or privacy provisions for teleworkers.
- The document does mention the importance of trust and mutual understanding between the employee and manager.

The document does not mention specific details regarding the right to disconnect or privacy provisions for teleworkers. However, it emphasizes the importance of trust and mutual understanding between the employee and manager.",T00121003695-32343851500021
16,"Employees with a CDI or CDD at 80% minimum, with at least one year of tenure and six months in their current position, who can work autonomously and have good IT skills, occupy a role compatible with telework, and meet technical requirements for home setup. Excluded are those with functions requiring physical presence, high absence, handling confidential data, or facing material/technical impossibility. (Article 1)
- F","Telework is limited to one day per week, with exceptions for handicapped workers and specific situations. (Article 7)
- A","Employees submit a written request to their manager and HR, followed by an HR interview and commission review. Accepted requests are formalized in writing, with a three-month adaptation period and one-month notice for termination. (Articles 3, 5)
- C","Employer covers costs related to telework, including hardware, software, and coworking space if needed. (Article 9.3)
- P","The document does not mention provisions for the right to disconnect or privacy.

The document does not mention the topic of privacy or the right to disconnect.",A09418006985-72201497400033
17,"- Eligible workers are those with a minimum of 6 months of seniority and a full-time or 80%+ part-time contract.
- Excluded are employees with recent notifications for rule violations and those with jobs requiring on-site presence or specific equipment.
- Eligibility is reviewed annually and may change based on evolving job requirements.

F","- Telework is allowed for 1 or 2 days per week, depending on the company's maximum limit.
- A minimum of 3 days of physical presence in the office is required.

A","- Telework is established through a formal agreement, with the manager's approval and Direction des Ressources Humaines validation.
- A 2-month adaptation period is provided for both parties to adjust to the new arrangement.

C","- The company covers up to €20 per month for internet and electricity costs.
- Employees are responsible for their own internet and electricity bills.

P","- The document does not explicitly address the right to disconnect or privacy.
- Employees are expected to follow the company's rules and regulations regarding confidentiality and data protection.

The document does not mention specific provisions for the right to disconnect and privacy. Employees are expected to follow the company's rules and regulations regarding confidentiality and data protection.",T07519009487-43986958700014
18,"Eligible workers for telework are those with a CDI or CDD contract, with at least 12 months of seniority, working full-time, and occupying a post compatible with telework (article 3.1). The nature of their activities must be compatible with telework, they must have the necessary expertise to perform their duties autonomously, and they must work in a team that is compatible with telework. Additionally, they must have a dedicated workspace at home that meets telework requirements (article 3.4).

2. *","The frequency of telework allowed is one day per week for the JFX format and up to 3 days per month, with 2 days that can be split into half-days, for the JTV format. The JFX format is fixed, while the JTV format is flexible and can be used at the employee's convenience (article 4.1 and 4.2).

3. *","Telework arrangements are established through a voluntary request by the employee and the approval of their manager. The employee must submit a complete request, including the desired format and necessary attachments, to their manager. The manager will respond within one month. If approved, an avenant to the employment contract will be proposed (article 5).

4. *","The document does not mention any coverage of costs associated with telework, such as IT setup or meal allowance.

5. *","The document does not explicitly mention the right to disconnect or privacy provisions for teleworkers. However, it does emphasize the importance of maintaining communication and availability during regular work hours (article 4).

The document does not mention the telework occasionnel topic.",T04020001604-38901349100011
19,"- Eligible workers are those with a minimum of 6 months tenure, full-time or part-time contracts equal to or above 90%, and occupying a role that can be performed remotely without physical presence required.
- Exclusions include alternants, interns, and cadres dirigeants.
- Eligibility is subject to the employee's autonomy and ability to work independently.
- The document does not mention specifics on the right to disconnect or p","- Eligible employees can telework up to 1 day per week, with a minimum of 4 days of in-person work required.
- Days cannot be accrued or transferred to other weeks.
- The document does not mention specifics on the right to disconnect or p","- Telework arrangements are established through a fiche d'éligibilité and manager approval.
- The document does not mention specifics on the right to disconnect or p","- The document does not mention coverage of costs associated with telework.
- The document does not mention specifics on the right to disconnect or p",".

Frequency:
- Eligible employees can telework up to 1 day per week, with a minimum of 4 days of in-person work required.
- Days cannot be accrued or transferred to other weeks.
- The document does not mention specifics on the right to disconnect or privacy.

Arrangements:
- Telework arrangements are established through a fiche d'éligibilité and manager approval.
- The document does not mention specifics on the right to disconnect or privacy.

Costs:
- The document does not mention coverage of costs associated with telework.
- The document does not mention specifics on the right to disconnect or privacy.

Privacy:
- The document does not mention provisions for the right to disconnect or privacy.
- The document does not mention specifics on the right to disconnect or privacy.

The document does not mention specifics on the right to disconnect or privacy.",T07521034995-33203612800046
20,"- The telework policy applies to all employees in CDI and CDD contracts with at least one year of tenure and presence in the office.
- Certain positions are not eligible for telework due to their nature and specific requirements.
- Autonomous employees with sufficient experience and skills to perform their duties remotely are eligible.
- The employee's residence must meet specific conditions for telework, such as a dedicated workspace, adequate internet connection, and compliance with safety regulations.

*","- Telework is allowed up to 2 days per week, non-cumulative and non-reportable.
- Days of telework are fixed or variable, and cannot be divided into 4 half-days per week.
- Employees must be present in the office at least 3 days per week.

*","- Telework arrangements are established through a formal process involving the employee and manager.
- The employee must complete a request form and submit it to their manager for review and approval.
- The manager and Directrice des Richesses Humaines assess the employee's eligibility based on specific criteria.

*","- The company covers the costs associated with telework, including IT setup and meal allowance.
- The company provides a 1.25 € net allowance for half-day telework and 2.50 € net for full-day telework.

*","- The right to disconnect is respected, and employees are not expected to respond to professional messages or calls outside of their regular working hours.
- The company ensures the confidentiality of professional data and documents and encourages employees to maintain a professional environment during telework.
- The company is committed to protecting employees' privacy and ensuring their well-being during telework.

Note: The document does not mention specific details regarding the allocation forfaitaire journalière de télétravail or the process for telework occasionnel.",T02922006809-37804750001242
21,"- Eligible workers are those with CDI or CDD contracts of 12 months or more, working full-time or part-time (80% or more).
- Employees must have completed their probationary period and be autonomous in their work.
- The employee's role must be compatible with telework, with no specific technical or material constraints.
- The employee's home must meet hygiene, safety, and ergonomic requirements.
- The employee must have a stable internet connection and comply with data security rules.

*","- Telework is allowed for a maximum of 2 days per month, non-cumulative and non-reportable.
- Days are granted based on manager approval and cannot exceed the monthly limit.

*","- Telework is based on mutual agreement between the employee and manager.
- The employee must submit a written request to their manager, who has one month to approve or deny it.
- The employee must be present at the workplace at least two days a week, excluding travel, training, and part-time work.

*","- The company provides telework equipment and covers related costs.
- Employees are responsible for their internet connection and any additional expenses.

*","- The company respects the right to disconnect and encourages employees to balance work and personal life.
- Teleworkers must comply with data security and confidentiality rules.
- The company provides training on using collaborative tools and maintaining work-life balance.

The document does not mention specific provisions for exceptional circumstances or the end of telework.",T04219001238-38413785700031
22,"* Eligible workers are those with a CDI or CDD, who have been with the company for at least 3 months, and have an autonomous role that doesn't require constant physical presence or frequent client contact.
* Excluded roles include production, logistics, technicians, front office, and IT support.
* Alternants and stagiaires are eligible if their role is compatible with telework and they meet the eligibility criteria.

*","* Telework is allowed for a maximum of two days per week for CDI and CDD employees and one day per week for alternants and stagiaires.
* A minimum of three days per week must be spent on-site to maintain social and professional connections.

*","* Telework arrangements are established through a double-voluntary process between the employee and manager.
* The manager is responsible for ensuring the team's cohesion and the teleworker's integration.
* A formal request must be submitted via the Kelio system, and the manager has a reasonable time to respond.

*","* The company does not cover any additional costs associated with telework.
* A fauteuil ergonomique may be provided upon request, depending on availability.

*","* The right to disconnect is respected, and teleworkers are not expected to respond outside of their designated availability hours.
* Confidentiality and data protection are essential, and teleworkers must adhere to the company's policies and procedures.
* The company's accident, maladie, frais de santé, and prévoyance coverage applies to teleworkers.

**Not mentioned**

* The document does not mention specific provisions for the right to disconnect or privacy beyond the general points mentioned above.
* The document does not mention any specific meal allowance or other cost coverage for teleworkers.",T03521009314-61920085000060
23,"- Eligible workers are those with a CDI or CDD of more than 6 months, working full-time or at least 80% time, with at least 6 months tenure on the post, and having outils nomades provided by the company.
- Excluded workers include those with intérim, apprentices, stagiaires, contrats d'alternance, temps partiels with less than 80%, and those with less than 6 months tenure on the post.
- The nature of the activity, autonomy, and the ability to work independently are also considered.
- No teleworking for those with children under 11 years old.

F","- Telework is allowed once a week, with the possibility of extending to two days per week after 6 months of experience.
- The day is fixed, except for members of the CODIR who can have a variable day.
- The day can be changed in case of specific needs.

A","- The telework arrangement is established through a double voluntary process, with the manager's agreement required.
- The manager must ensure the smooth functioning of the service and the compatibility of the activity with telework.
- The refusal of telework must be motivated.

C","- The document does not mention any specific coverage of costs associated with telework.

P",- The document does not mention provisions for the right to disconnect and the privacy of the worker.,T06921018023-48374733300019
24,"- Eligible workers are those with a minimum of six months of tenure and three months on their current post, not in a probationary period.
- Excluded are non-permanent staff, apprentices, and professionals in training.
- Eligible positions require autonomy and the ability to work without daily support.
- Employees must have a stable, quiet workspace at home with high-speed internet and necessary equipment.

F","- Telework is allowed for one or two days per week, with at least one or two days of mandatory on-site presence.
- Days are fixed or non-fixed, depending on the employee's role and the needs of the service.

A","- Telework arrangements are established through a written request to the manager and an entretien de faisabilité.
- The manager and employee discuss the possibility of fixed or non-fixed days.
- The manager has discretion over the allowability of telework.

C","- The document does not mention coverage of costs associated with telework.

P","- The document does not mention provisions for the right to disconnect and the privacy of the worker.

Note: The document does not mention telework of crises or specific provisions for fixed or non-fixed days.",T06921018024-77554456201650
25,"All full-time CDI and CDD employees with at least one year of tenure, excluding apprentices and interns, are eligible for telework if their job duties are autonomous and compatible with remote work.
2. F","Telework is limited to one day per week, taken as a full day and not transferable.
3. A","Employees submit a request form to their manager at least five days before the desired telework day. The manager has 48 hours to respond. Cancellation is possible until the day before due to unforeseen events.
4. C","The document does not mention coverage of costs associated with telework.
5. P","The document does not explicitly address the right to disconnect or privacy provisions for teleworkers.

Note: The response is within the 300-token limit.",T03622001223-51176407800016
26,"All employees of the ""Siège and Etablissement Rattaché"" of Goodyear France, with the exception of those in itinerant positions, those subject to on-call duties at home, and those whose tasks depend on tools located at their workplace, are eligible for telework. Eligibility is based on job suitability for remote work, the employee's autonomy, and their ability to work independently using IT tools (Article 2.1).
- *","Telework is allowed for 2 days per week or 8 days per month, with a maximum of 2 consecutive days. Managers can telework 1 day per week or 5 days per month, with the possibility of additional days if agreed upon (Article 1.2).
- *","Telework arrangements are established through a written request from the employee to their manager. The manager assesses the request based on the employee's eligibility and the needs of the service. A response is given within 30 days (Article 1.4.1).
- *","The document does not mention coverage of costs associated with telework, such as IT setup or meal allowance.
- *","The document does not explicitly mention provisions for the right to disconnect or the privacy of the worker. However, it does emphasize the importance of maintaining a balance between professional and personal life (Article 5.2).

Note: The document does not mention specific criteria for tenure, employment type, or job characteristics for eligibility. Also, the document does not explicitly address the process for telework arrangements or the coverage of costs.",T09221029370-33013940300605
27,"* Eligible workers are those in CDI, CDD, alternance, or stage contracts for at least 6 months.
* Activities must be compatible with telework and the organization of the work collective.
* Autonomy and the ability to perform telework activities are required.
* Sufficient technical means for remote work must be available.
* Adequate workspace and an attestation of home insurance are necessary.
* A Cirad-provided computer with security features is required.

F","* 8 days per month for full-time employees, 6 days for 32 or 28 h/week, and 4 days for 24 or 17.5 h/week.
* Telework is by full days, with half-day exceptions for RTT or stage half-days.
* Days are programmed with N+1 and validated in the application.

A","* Voluntary participation and agreement between the employee and N+1 are required.
* Autodiagnosis and discussion of feasibility and potential obstacles are necessary.
* Entretien annuel with N+1 to discuss telework and other individual rights.

C","* The document does not mention specific coverage of costs associated with telework.

P","* The right to disconnect is recognized, and the Cirad is committed to ensuring the balance between professional and personal life.
* The Cirad provides actions to promote the right to disconnect and adapt to new telework practices.
* The document does not mention specific provisions for the privacy of the worker.",T07521031890-33159627000016
28,"Employees with a CDI, working full-time, with at least one year of tenure, and holding a job that can be performed remotely are eligible for telework. Excluded are employees on fixed-term contracts, apprentices, interns, and those with positions requiring physical presence or handling sensitive information. (Article 1)
- F","Eligible employees can telework one day per month, with the possibility of two days for women in their third trimester of pregnancy. (Article 2)
- A","Telework arrangements are established through an avenant to the employment contract, which outlines the terms and conditions for the specific post. The manager has discretion in approving telework requests. (Article 2)
- C","The company provides the necessary equipment for telework, and employees are responsible for ensuring a suitable work environment at home. (Article 3)
- P","The document does not explicitly mention provisions for the right to disconnect or privacy. However, it does address data protection and confidentiality. (Article 3)

Note: The document does not mention the topic of the right to disconnect and privacy.",T04618000055-42868244700019
29,"- Eligible workers are those with a CDI, CDD, or apprenticeship contract, and who have been employed for at least 3 months.
- Eligible activities include accounting, human resources, medical information processing, scheduling, secretarial work, and management.
- Ineligible activities require physical presence or cannot be performed remotely.
- The document does not mention eligibility for part-time employees, interns, or those on fixed-term contracts.

F","- Regular telework is limited to 2 days per week, and occasional telework is allowed for specific circumstances.
- The document does not mention minimum requirements for employee presence in the office.

A","- Telework arrangements are established through a written request from the employee to their supervisor, who has one month to accept or refuse.
- In case of multiple requests, the supervisor prioritizes based on objective criteria.
- Refusal to telework is not a disciplinary offense.

C","- The document does not mention coverage of costs associated with telework, such as IT setup or meal allowance.

P","- The document does not mention provisions for the right to disconnect or the privacy of the worker.

Note: The response is within the 300-token limit.",T59L22016740-33123261100029
30,"All CDI or CDD employees with at least 6 months tenure and working at least 70% of full time are eligible for telework. New hires can access telework after a 3-month integration period. Activities must be suitable for remote work and not require regular physical presence on-site or with clients. (Article I)
- *","Telework is allowed one day per week, fixed and chosen among Monday, Tuesday, Wednesday, or Thursday. (Article II)
- *","Telework arrangements are established through a reciprocal agreement between the employee and manager, following an autodiagnostic questionnaire to assess eligibility. (Article II)
- *","The company does not cover any costs associated with telework. Employees must have the necessary equipment and internet connection at home. (Article III)
- *","The document does not explicitly mention the right to disconnect or privacy provisions. However, it does address the importance of maintaining work-life balance and the need for employees to manage their time effectively. (Article III)",T06221006586-74632029000065
31,"Telework is open to all CDI employees with at least 6 months of tenure, excluding those with activities requiring physical presence in the company's facilities, on-site work, or specific tools. Specific ineligible positions are listed in Annex 1. (Article 3-1)
- F","Telework is limited to one day per week, with the possibility of varying days based on department needs. No telework is allowed on bridge days or during exceptional circumstances. (Article 3-2)
- A","Employees must submit a written request for telework, which the company will respond to within one month. Refusal reasons include job obligations, lack of autonomy, or technical issues. (Article 3-4-1)
- C","The company provides necessary equipment and covers related costs. However, employees are responsible for internet, electricity, and heating expenses related to telework. (Article 8-4)
- P","The document does not mention provisions for the right to disconnect or privacy.

Note: The document does not explicitly address the right to disconnect or privacy. It is essential to ensure that employees have the right to disconnect and maintain a healthy work-life balance. Additionally, privacy is crucial to prevent burnout and ensure employees' well-being.",T09319003029-56207779200058
32,"- The telework policy applies to all employees of the UES InterDigital France.
- Eligible employees are those whose activities can be performed remotely and whose teams can accommodate it.
- Specific roles ineligible for telework are listed in the annex.

*","- Hybrid telework: minimum two days per week in the office, fixed days.
- Fully remote telework: occasional in-person attendance for specific needs.

*","- Telework arrangements are established through a formal request and acceptance process.
- The manager has discretion in approving or denying telework requests.

*","- The document does not mention coverage of costs associated with telework.

*","- The document does not mention provisions for the right to disconnect or privacy of the worker.

Sources: Article 1, 3, 4, 5, 6, 7, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26.",T07521031370-83966427300019
33,"**
- Eligible workers are those with a minimum of 60% equivalent time, in a permanent contract, and with sufficient autonomy for their role.
- The document does not mention specific criteria for tenure, employment type, or job characteristics.
- Specific conditions apply to handicapped employees.

*","**
- Telework is allowed up to 3 days per week, with a maximum of 3 days for telework occasionnel and 2 days for telework régulier.
- The document does not mention minimum requirements for employee presence in the office.

*","**
- Telework arrangements are established through a formal letter of adhesion between the employee and the company.
- The document does not mention specific procedures for obtaining permission or manager discretion.

*","**
- The company provides necessary equipment for telework, and an indemnity of 16.92€ is paid for telework occasionnel.
- The document does not mention coverage of meal allowance or other costs.

*","**
- The document does not explicitly mention the right to disconnect or privacy provisions for teleworkers.
- Specific plages horaires are defined for contacting teleworkers during their telework days.

The document does not mention specific criteria for telework occasionnel or telework régulier, and does not explicitly address the right to disconnect or privacy provisions for teleworkers.",T09322010000-80361997200026
