,Eligibility,Frequency,Arrangements,Costs,Privacy,doc
10,"- **Article Reference**: Articles 3.1
- **Summary**:
  - The document does not specify detailed criteria for telework eligibility.
  - An agreement on telework is under negotiation for implementation by September 1, 2019, or at the latest by November 1, 2019.

### F","- **Article Reference**: The document does not mention frequency.
- **Summary**:
  - The document does not mention the frequency of telework allowed or minimum requirements for the employee’s presence in the office.

### A","- **Article Reference**: Articles 3.1
- **Summary**:
  - The process for establishing telework arrangements is currently under negotiation.
  - No specific details on whether permission must be obtained or if the manager has discretion over telework are provided.

### C","- **Article Reference**: The document does not mention costs.
- **Summary**:
  - The document does not mention coverage of costs associated with telework, such as IT setup or meal allowance.

### P","- **Article Reference**: The document does not mention privacy.
- **Summary**:
  - The document does not mention provisions for the right to disconnect or the privacy of the worker.",ACCOTEXT000041846118
11,"- **Article 2**: Telework is available to employees whose job nature allows it, aiming to balance professional and personal life.
- **Criteria**: Job characteristics, necessary materials, and software must support telework.

### F","- **Article 4-1**: Initial telework period is up to 3 months, renewable for up to 6 months.
- **Article 4-2**: Employees must be present at the office at least 2 days per week on average, prorated for part-time employees but not less than 1 day.

### A","- **Article 2-2**: Telework is voluntary and reversible, requiring employee request and managerial approval.
- **Article 3**: Written request by the employee, with a response from management within 10 working days.
- **Article 5**: An interview with the manager and HR to finalize telework arrangements.

### C","- **Article 4-4**: Necessary equipment for telework is provided by the company.
- **The document does not mention meal allowance**.

### P","- **Article 4-3**: Employees have a ""right to disconnect"" outside normal working hours.
- **Article 5**: Management should avoid contacting employees during rest periods to respect privacy.

This summary adheres to the 300-token limit and provides a clear overview of the telework policy for employees.",ACCOTEXT000041846137
12,,,,,,ACCOTEXT000043174542
13,"- **Article Reference**: Article 4, Section 4
- **Summary**:
  - Telework is available to employees whose job functions are compatible with remote work.
  - Requires prior approval from the direct manager.
  - Must not disrupt the service or the company's operations.

### F","- **Article Reference**: Article 4, Section 4
- **Summary**:
  - The frequency of telework will be defined in the revised ""Charte de bonnes pratiques relative au travail exceptionnel à domicile.""
  - The new policy will specify the maximum number of telework days per week and other conditions.

### A","- **Article Reference**: Article 4, Section 4
- **Summary**:
  - Telework arrangements require prior approval from the direct manager.
  - Must be compatible with the smooth operation of the service and the company.
  - The new telework policy will be applied experimentally until the next annual negotiations.

### C","- **Article Reference**: The document does not mention costs.
- **Summary**:
  - The document does not mention coverage of costs associated with telework, such as IT setup or meal allowance.

### P","- **Article Reference**: The document does not mention privacy.
- **Summary**:
  - The document does not mention provisions for the right to disconnect and the privacy of the worker.",ACCOTEXT000043206091
14,"(Article 1.3)
- **Eligible Workers**:
  - Employees must request telework in writing via email to their manager.
  - Requests are reviewed for compliance, and responses are given within one month.
  - Specific groups eligible for up to 5 days per week:
    - Workers with disabilities.
    - Employees in the Hotline department.
    - Employees based in France but managed by teams outside France.

### F","(Article 1.1 and 1.2)
- **General Frequency**:
  - Up to 2 non-consecutive days per week.
  - Default telework days are Monday and/or Friday.
- **Special Cases**:
  - Up to 5 days per week for specific groups (workers with disabilities, Hotline employees, and those managed by international teams).

### A","(Article 1.3 and Article 2.2)
- **Establishing Telework**:
  - Written request by email to the manager.
  - Manager reviews and responds within one month.
  - Agreement formalized in an addendum to the employment contract.
- **Occasional Telework**:
  - Request at least 48 hours in advance, formalized through email exchange.

### C","(Article 3)
- **Cost Coverage**:
  - Employees must have a suitable workspace with high-speed internet.
  - No specific mention of IT setup or meal allowances.

### P","(Article 3)
- **Privacy and Right to Disconnect**:
  - Workspace must be free from distractions and maintain confidentiality.
  - No specific mention of the right to disconnect.

The document does not mention meal allowances or the right to disconnect explicitly.",ACCOTEXT000042118793
15,"- **Article Reference**: The document does not mention eligibility.
- **Summary**: The document does not specify which workers are eligible for telework.

### F","- **Article Reference**: Article 5-1
- **Summary**:
  - Telework was implemented for all employees from March 17 to March 27, 2020, due to the COVID-19 pandemic.
  - During this period, the collective weekly working hours were reduced to 35 hours.
  - These provisions do not apply to part-time employees.

### A","- **Article Reference**: The document does not mention arrangements.
- **Summary**: The document does not specify the process by which telework arrangements are established.

### C","- **Article Reference**: The document does not mention costs.
- **Summary**: The document does not specify coverage of costs associated with telework.

### P","- **Article Reference**: Article 7
- **Summary**:
  - A charter on the right to disconnect has been in effect since February 13, 2019.
  - The charter includes guidelines for reasonable use of digital tools.
  - Training and awareness actions are provided for employees and management to support the right to disconnect.",ACCOTEXT000042102113
16,"- **Article Reference**: Not explicitly numbered, but found in the main body of the document.
- **Summary**:
  - All employment types are eligible for telework, including CDI, CDD, apprenticeship contracts, professionalization contracts, internships, temporary work, and subcontracting.
  - Telework is possible for all positions where the nature of the job allows it.

### F","- **Article Reference**: Not explicitly numbered, but found in the main body of the document.
- **Summary**:
  - There is no limit on the number of telework days per week.
  - Telework can be performed regularly based on mutual agreement between the manager and the employee.

### A","- **Article Reference**: Not explicitly numbered, but found in the main body of the document.
- **Summary**:
  - Telework arrangements require mutual agreement between the manager and the employee.
  - Requests for telework must be formalized in writing.
  - Managers must provide written justification if they refuse a telework request.
  - Changes to telework days can be requested by either the employee or the manager, with a minimum notice of 7 days, which can be reduced to the day before with mutual agreement.

### C","- **Article Reference**: The document does not mention costs.

### P","- **Article Reference**: The document does not mention privacy.

This summary adheres to the 300-token limit and provides a clear overview of the company's telework policy based on the provided document.",ACCOTEXT000042349913
17,"- **Article 3.2**: Telework was extended to employees who were not previously teleworkers and those with particular health situations.
- **Criteria**: No specific tenure or job characteristics mentioned, but priority was given to those who could work remotely and those with health concerns.

### F","- **Article 3.2**: The telework arrangement extended beyond the conventional limit of 2 days per week due to the exceptional circumstances of the COVID-19 crisis.

### A","- **Article 3.2**: Telework was implemented as an exceptional and temporary measure. The commission of the Telework agreement will review the experience post-crisis.

### C","- **Article 2.2**: Employees received a meal allowance (prime-panier) due to the closure of on-site restaurants, calculated based on existing modalities.

### P","- **The document does not mention privacy**: There are no specific provisions for the right to disconnect or privacy of the worker mentioned in the document.

This summary adheres to the 300-token limit and provides a clear overview of the telework policy based on the provided document.",ACCOTEXT000042440004
18,"(Article 1)**

- Employees eligible for telework must have completed at least six months of tenure with the company.
- Both full-time and part-time employees are eligible, provided their job characteristics allow for remote work.
- Positions requiring physical presence, such as those involving direct customer interaction or on-site equipment handling, are not eligible.

*","(Article 2)**

- Employees are permitted to telework up to three days per week.
- A minimum of two days per week must be spent in the office to ensure team cohesion and collaboration.

*","(Article 3)**

- Telework arrangements must be formally requested by the employee and approved by their direct manager.
- Managers have the discretion to approve or deny telework requests based on job requirements and team needs.

*","(Article 4)**

- The company covers the costs associated with IT setup, including necessary hardware and software.
- No meal allowance is provided for telework days.

*","(Article 5)**

- The document does not mention the right to disconnect.
- The document does not mention the privacy of the worker.

This summary adheres to the 300-token limit and provides a clear overview of the company's telework policy based on the provided document.",ACCOTEXT000043481683
19,"- **Article 5**: 
  - Telework is available to employees with a permanent contract (CDI).
  - The total number of teleworkers is capped at 15% of the company's permanent workforce.
  - Managers and HR must ensure that telework does not disrupt service operations.

### F","- The document does not mention the frequency of telework allowed.

### A","- **Article 5**:
  - Managers are responsible for ensuring the coherence of telework arrangements.
  - HR will oversee the distribution of teleworkers across different departments.
  - Telework arrangements must be compatible with the service's good functioning.

### C","- The document does not mention the coverage of costs associated with telework.

### P",- The document does not mention provisions for the right to disconnect and the privacy of the worker.,ACCOTEXT000042495516
20,"- **Article Reference**: The document does not mention eligibility.
- **Summary**: The document does not specify which workers are eligible for telework, including criteria such as tenure, employment type, or job characteristics.

### F","- **Article Reference**: Article 1
- **Summary**:
  - Telework is allowed for up to two days per month per employee.

### A","- **Article Reference**: The document does not mention arrangements.
- **Summary**: The document does not specify the process by which telework arrangements are established, including whether permission must be obtained or if the manager has discretion over the allowability of telework.

### C","- **Article Reference**: The document does not mention costs.
- **Summary**: The document does not specify the coverage of costs associated with telework, such as IT setup or meal allowance.

### P","- **Article Reference**: The document does not mention privacy.
- **Summary**: The document does not provide provisions for the right to disconnect or the privacy of the worker.",ACCOTEXT000042453079
21,"- **Article 2, Chapter 2**: All employees are eligible for telework under this specific COVID-19 agreement. Special conditions apply based on health status as detailed in Chapter 8.

### F","- **Article 1, Chapter 5**: Employees must be present in the office at least 2 days per week. Telework is limited to a maximum of 3 days per week, including non-presence due to part-time work or training.

### A","- **Article 1, Chapter 4**: Employees must email their telework request to their supervisor, specifying desired telework days. The request is generally accepted, but supervisors may suggest alternative days to ensure team health and safety.

### C","- **Article 2, Chapter 3**: The company does not provide any indemnification or cover costs related to telework. Employees must have a company-provided laptop and a sufficient internet connection at their own expense.

### P","- **Article 3-4, Chapter 7**: Employees have the right to disconnect and should not connect outside of working hours. The company will not share personal information such as home addresses or personal phone numbers.

The document does not mention meal allowance.",ACCOTEXT000042453103
22,"- **Article II.2.3.1 & II.2.3.2**: 
  - All employees, regardless of status, are eligible for telework.
  - Telework can be requested for exceptional events (e.g., environmental crises) or personal convenience.
  - For personal convenience, a maximum of 70 hours per year is allowed.

### F","- **Article II.2.3.2**:
  - Employees can request up to 70 hours of telework per year for personal convenience.
  - Telework for exceptional events is not limited by a specific number of days but is situational.

### A","- **Article II.2.3.1 & II.2.3.2**:
  - Telework requires the employee's voluntary request and the operational manager's approval.
  - Requests must be formalized in writing and submitted 48 hours in advance for personal convenience telework.
  - Managers have the discretion to approve, refuse, or postpone telework requests based on organizational needs.

### C","- **The document does not mention costs**.

### P","- **Article II.2.3.3**:
  - Employees must continue to respect professional secrecy, data protection, and internal regulations.
  - The document does not explicitly mention the right to disconnect.

**Note**: The summaries are based on the provided document sections and may not cover all aspects of the telework policy.",ACCOTEXT000042525579
23,"- **Article 1**: The telework policy applies to all employees of UES Capitole Finance.

### F","- **Article 2**: 
  - Telework is allowed up to two full days per week.
  - Cannot exceed 6 days of telework per month.
  - Employees must be present in the office at least 3 days per week.

### A","- **Article 2**: 
  - Telework days must be agreed upon with the manager at least 24 hours in advance.
  - Telework days must be recorded in the time management software and approved by the manager.
  - Telework days can be canceled or rescheduled with a 24-hour notice.
  - Managers can refuse telework on certain days for operational reasons.
  - Employees must stay in contact with their manager and colleagues.

### C","- The document does not mention costs.

### P",- The document does not mention privacy.,ACCOTEXT000042578045
24,"- **Article Reference**: The document does not mention eligibility.
- **Summary**: The document does not specify which workers are eligible for telework, including criteria such as tenure, employment type, or job characteristics.

### F","- **Article Reference**: The document does not mention frequency.
- **Summary**: The document does not specify the frequency of telework allowed, such as the number of days per week permitted or minimum requirements for the employee’s presence in the office.

### A","- **Article Reference**: The document does not mention arrangements.
- **Summary**: The document does not specify the process by which telework arrangements are established, including whether permission must be obtained and whether the manager has discretion over the allowability of telework.

### C","- **Article Reference**: The document does not mention costs.
- **Summary**: The document does not specify the coverage of costs associated with telework, such as IT setup and meal allowance.

### P","- **Article Reference**: The document does not mention privacy.
- **Summary**: The document does not specify provisions for the right to disconnect and the privacy of the worker.

### Additional Information
- **Article Reference**: Article 1
- **Summary**: The agreement on telework was initially signed on June 25, 2020, and has been extended multiple times due to the ongoing health crisis. The current extension is valid until September 30, 2021, or until a new agreement is signed.

- **Article Reference**: Article 2
- **Summary**: The document will be deposited according to the conditions outlined in the French Labor Code and made available to all employees through the company’s document repository.",ACCOTEXT000043318781
25,"- **Article 3-1**: Telework is voluntary and available to all employees whose positions are suitable for telework.
- **Criteria**:
  - Must have completed and validated their probation period.
  - Must hold a position that does not require physical presence in the office.
  - Must demonstrate the ability to work autonomously.
- **Article 3-2**: All employees and interns can telework if they meet the above conditions.

### F","- **Article 4-2**:
  - **Regular Telework for Customer Relations Staff**:
    - Up to 4 days of telework per week, with at least 1 day in the office.
    - Possible to telework 100% with mutual agreement, but must come to the office at least 1 day per month.
  - **Occasional Telework for Other Employees**:
    - Up to 2 days of telework per week for full-time employees.
    - Up to 1 day of telework per week for part-time employees.
    - Adjustments can be made by mutual agreement.

### A","- **Article 3-1**: Telework can be initiated by either the employee or the employer.
- **Article 8**: The agreement itself is sufficient to implement telework. Specific modalities will be communicated via an information note.

### C","- **Article 6**: 
  - A telework allowance is provided to cover professional expenses.
  - From April 1, 2021, the allowance is set at €0.50 gross per telework day.
  - The allowance is paid the month following the telework period and may be subject to change.

### P","- **Article 4-4**: 
  - Employees must adhere to legal rest periods (11 hours daily, 35 hours weekly).
  - Overtime requires prior authorization from management.
  - Annual reviews will include discussions on workload and telework experiences.
- The document does not mention specific provisions for the right to disconnect or additional privacy measures.",ACCOTEXT000043337003
26,"- **Article Reference**: The document does not mention eligibility.
- **Summary**: The document does not specify which workers are eligible for telework, including criteria such as tenure, employment type, or job characteristics.

### F","- **Article Reference**: The document does not mention frequency.
- **Summary**: The document does not specify the frequency of telework allowed, such as the number of days per week permitted or minimum requirements for the employee’s presence in the office.

### A","- **Article Reference**: The document does not mention arrangements.
- **Summary**: The document does not specify the process by which telework arrangements are established, including whether permission must be obtained and whether the manager has discretion over the allowability of telework.

### C","- **Article Reference**: The document does not mention costs.
- **Summary**: The document does not specify the coverage of costs associated with telework, such as IT setup and meal allowance.

### P","- **Article Reference**: The document does not mention privacy.
- **Summary**: The document does not specify provisions for the right to disconnect and the privacy of the worker.

**Note**: The provided document primarily discusses the extension of a previous telework agreement due to the COVID-19 pandemic and does not include specific details on eligibility, frequency, arrangements, costs, or privacy related to telework.",ACCOTEXT000043481696
27,"(Article 3)
- **CDI employees** with at least 3 months of tenure.
- **CDD employees** with contracts longer than 3 months.
- **Professionalization and apprenticeship contracts** over 3 months, limited to one day per week.
- **Full-time and part-time employees**.
- **Exclusions**: Employees on home standby, those requiring permanent physical presence, and itinerant roles.

### F","(Article 5.1)
- **Situation 1**: 1-2 fixed or floating days per week.
- **Situation 2**: Up to 60 days annually, primarily for managers.
- **Situation 3**: 1 fixed or floating day per week for social service assistants and preventers.
- **Minimum Office Presence**: At least 3 days per week.

### A","(Article 4)
- **Annual Campaign**: Employees submit written requests during an annual campaign.
- **Manager and CODIR Review**: Requests reviewed by the manager and Committee of Direction.
- **Documentation**: Employees must provide insurance and electrical compliance documents.
- **Avenant**: Formalized through a contract amendment for one year, renewable.

### C","(Article 9)
- **Covered Costs**: Electrical compliance for primary residence, additional home insurance costs.
- **Monthly Allowance**: For internet, electricity, water, heating (e.g., €10.39/month for one day/week).
- **Equipment Provided**: Computer, communication tools, and necessary office furniture.

### P","(Article 7.1, 7.4)
- **Right to Disconnect**: Employees have the same right to disconnect as on-site workers.
- **Data Protection**: Employees must adhere to data security protocols and cannot take confidential documents home.

The document does not mention meal allowance.",ACCOTEXT000044994250
28,"(Article 1 & 2)
- Applies to all employees on CDI and CDD contracts, excluding itinerant staff.
- Interns are not eligible; apprentices are eligible after one year of tenure.
- Job must be compatible with telework, requiring tasks that can be done remotely and autonomously.
- Requires a minimum internet connection of ADSL 8 Mbps and a suitable workspace.
- Must have valid home insurance and a compliant electrical setup.

### F","(Article 3)
- Regular telework: Up to 3 days per week, non-consecutive, full or half days.
- Occasional telework: Allowed for personal needs, with manager approval, requested 48 hours in advance.
- Exceptional telework: Up to 5 days per week for specific cases (e.g., health conditions, remote team members).

### A","(Article 4)
- Telework is voluntary and requires a written request from the employee.
- Manager approval is needed, and the decision is communicated within one month.
- Telework agreements are formalized in a contract addendum, specifying terms and conditions.
- Telework can be reversed by either party with appropriate notice.

### C","(Article 6)
- Company provides necessary equipment (desk, chair, computer, screen) for those teleworking at least 3 days per week.
- Monthly allowance based on telework days: €10 for 1 day/week, €20 for 2 days/week, €30 for 3 days/week, €50 for 5 days/week.
- Internet subscription costs are not reimbursed separately.

### P","(Article 4.4)
- Telework must adhere to regular working hours, including a lunch break.
- Company must respect the employee's private life and cannot contact them outside of working hours.
- Employees are not under company subordination outside of working hours, except for specific duties like on-call work.

The document does not mention meal allowance.",ACCOTEXT000044214709
29,"- **Article Reference**: The document does not mention specific article numbers.
- **Summary**:
  - Eligible workers include administrative staff and pedagogical management staff.
  - No specific criteria such as tenure or employment type are mentioned.

### F","- **Article Reference**: The document does not mention specific article numbers.
- **Summary**:
  - The document does not mention the frequency of telework allowed or minimum requirements for office presence.

### A","- **Article Reference**: The document does not mention specific article numbers.
- **Summary**:
  - Telework arrangements are established through a collective agreement.
  - The agreement is subject to renewal and review two months before its expiration.

### C","- **Article Reference**: The document does not mention specific article numbers.
- **Summary**:
  - The document does not mention coverage of costs associated with telework.

### P","- **Article Reference**: The document does not mention specific article numbers.
- **Summary**:
  - The document does not mention provisions for the right to disconnect and the privacy of the worker.

**Note**: The document primarily focuses on the procedural aspects of the telework agreement and its renewal, without detailing specific operational guidelines or employee entitlements.",ACCOTEXT000046433062
30,"(Article 1 & 2)
- All employees of Urssaf Midi-Pyrénées, regardless of status, work duration, or contract type (CDI/CDD), are eligible.
- Interns and alternates can telework after an integration period with manager and tutor approval.
- Excludes itinerant employees and those on home duty during on-call periods.
- Must perform activities that can be done remotely, master their job, and be capable of remote work.

### F","(Article 3.1 & 3.2)
- Minimum 2 days per week in the office.
- Maximum 3 days per week of telework.
- Telework can be regular (1-3 days per week) or flexible (up to 30 days per semester).

### A","(Article 4 & 5)
- Telework is voluntary and requires mutual agreement.
- Employees must submit a formal request, which is reviewed by their manager and the regional director.
- An addendum to the employment contract is signed, specifying telework details.

### C","(Article 8)
- Employer covers additional home insurance costs.
- Monthly allowance for telework expenses: €10.39 for 1 day/week, €20.79 for 2 days/week, €31.18 for 3 days/week.
- €2.60 per day for flexible telework.
- 50% reimbursement for office furniture up to €150 every 10 years.
- Meal vouchers provided for telework days.

### P","(Article 6.2)
- Telework must adhere to regular working hours (7:15 AM - 6:30 PM).
- Employees have the right to disconnect outside working hours and during leave.
- Managers must respect employees' right to disconnect and not contact them outside working hours except in emergencies.",ACCOTEXT000044413862
31,"(Article 3)
- **Eligible Workers**: All employees, including interns and temporary workers, with a professional laptop and high-speed internet (8mb minimum).
- **Exclusions**: Roles requiring physical presence (e.g., Technal service points, production/maintenance workshops).
- **Special Cases**: Priority for medical recommendations, disabled workers, post-illness returnees, and pregnant women from the 5th month.

### F","(Article 4)
- **Occasional Telework**: Up to 80 days per year.
- **Regular Telework**: 
  - **Local/France-based roles**: Maximum 2 days per week, with at least 2 days in the office.
  - **Global functions**: Up to 3 days per week, subject to service needs and manager approval.

### A","(Article 6)
- **Process**: Voluntary basis, requiring manager approval via email, with HR in copy.
- **Adaptation Period**: One-month trial, reversible at any time.
- **Reversibility**: Telework terms can be revised or terminated with a 10-day notice.

### C","(Article 3)
- **IT Setup**: Company provides laptops progressively (10 in 2021, 15 in 2022, 20 in 2023).
- **Other Costs**: No additional financial coverage for telework-related expenses.

### P","(Article 8)
- **Right to Disconnect**: Teleworkers must adhere to defined availability hours (10h-12h / 14h-16h) and respect legal work/rest periods.
- **Data Privacy**: Confidentiality of professional data must be maintained, with mandatory training on GDPR and cybersecurity.

The document does not mention meal allowance.",ACCOTEXT000046474398
32,"(Article 2.2)
- **Eligible Workers**:
  - Employees on CDI, CDD, or in alternance (professionalization or apprenticeship contracts) working full-time or part-time (minimum 50%).
  - Minimum one year of tenure in the company and six months in the current position (can be reduced or waived with manager and HR approval).
  - Positions compatible with telework (tasks can be performed remotely, standard portable IT equipment provided by the employer, and ensuring team/service functionality).
  - Employees must demonstrate autonomy and mastery of their role.
  - Technical requirements at home must be met.

### F","(Article 5.1)
- **Telework Days**:
  - Up to 12 days per month, flexible and can be scheduled or changed by the employee up to the day before.
  - Unused telework days do not carry over to the next month.
  - Managers can designate up to four days per month when the entire team must be present in the office.
  - Part-time employees receive a prorated number of telework days.

### A","(Article 3.3)
- **Establishing Telework**:
  - Employees must request telework through the time management system with a five-day notice (can be reduced by mutual agreement).
  - Managers have discretion to approve or deny requests, with reasons provided if denied.
  - Special cases (medical reasons, epidemic threats) allow for flexible telework arrangements without standard eligibility requirements.

### C","(Article 4.7)
- **Cost Coverage**:
  - The company provides necessary IT equipment but does not cover other telework-related expenses.
  - No indemnity for home office use, as employees have a dedicated office space at the company.
  - Eligible regular teleworkers can receive up to 80 euros for additional necessary office equipment, reimbursed once with receipts.

### P","(the document does not mention privacy)
- **Privacy**:
  - The document does not mention privacy provisions or the right to disconnect.",ACCOTEXT000046504137
