,Eligibility,Frequency,Arrangements,Costs,Privacy,doc
10,"All salaried employees with a CDI or CDD contract of at least 6 months, who can work autonomously and have a compatible job, are eligible for telework (Article 3-1).
- F","Telework is limited to a half-day or a full day per week, with the choice of days decided by mutual agreement with the supervisor (Article 3-2).
- A","Telework arrangements are established through a voluntary request by the employee, with the employer's approval based on eligibility criteria and availability of telework spaces (Article 3-4).
- C","The company does not cover costs associated with telework, such as internet and electricity bills (Article 8-4).
- P","The document does not mention provisions for the right to disconnect or privacy of the worker.

Note: The document does not explicitly address all the requested categories, and some sections have limited information.",T59L19007063-31436004100128
11,"All employees who meet the following criteria are eligible for telework: 
	+ Statutory agent with a permanent contract
	+ Full-time employee
	+ One year of seniority in the position
	+ Dedicated workspace at home
	+ High-speed internet access
	+ Compliance with safety standards
	+ Compatibility with the nature of the work and the organization of the entity
	+ Manager's approval
	(Article 3, 4)
- F","Telework is allowed for one day per week, with fixed days agreed upon by the employee and manager. (Article 5)
- A","Telework arrangements are established through a formal request process, with manager and entity approval required. (Article 3, 4)
- C","The company provides a monthly allowance of 15.00 € for telework-related expenses. (Article 7)
- P","The company respects the privacy of teleworkers and adheres to the right to disconnect. (Article 12)
- The document does not mention specific provisions for the right to disconnect or privacy.",T06718001395-55850191200023
12,"Eligible workers are full-time or part-time employees with a CDI, who have been with the company for at least 6 months and are not in their probationary period. They must have autonomy in organizing and executing their work. Posts eligible for telework are those that do not require permanent or quasi-permanent physical presence, and whose tasks can be performed remotely without compromising service continuity or data security. (Article 2)

2. *","Telework can be performed on a fixed day each week for full-time employees and every other week for part-time employees. Alternatively, employees can choose from a pool of 22 days per year for full-time and 13 days for part-time employees. (Article 4.1)

3. *","To establish telework arrangements, employees must submit a request to their manager, who will then decide based on the employee's capabilities and the needs of the service. The manager's decision is final and cannot be appealed. (Article 5.1)

4. *","Employees are responsible for covering the costs of telework, including internet access, phone lines, and any necessary certificates. (Article 4.4)

5. *","The right to disconnect is recognized, and employees are not expected to respond to work-related communications outside their designated work hours. (Article 8)

Note: The document does not explicitly mention provisions for privacy beyond the right to disconnect.",T07020000534-67625011100017
13,"The telework policy applies to all employees of Sopra HR Software. No specific criteria for eligibility are mentioned in the document (Article 1).
- *","The policy allows for telework on an exceptional basis to maintain business continuity during exceptional circumstances such as an epidemic (Article 2).
- *","The company determines the modalities of this exceptional telework, including the rhythm, eligibility, and reversibility. These modalities are adapted to the evolution of the exceptional situation (Article 2).
- *","Eligible employees can request a 15 euro monthly allowance for professional expenses and 50% reimbursement of furniture purchases up to 150 euros. Equipment and material are provided by the company (Article 3).
- *",The document does not mention provisions for the right to disconnect or privacy of the worker.,T09220021518-51931965100146
14,"The telework policy applies to all employees of the company, regardless of their status or type of contract. However, certain conditions must be met, such as having a stable internet connection and a suitable workspace at home. The document does not mention any specific criteria related to tenure or job characteristics (Article II).
- *","Regular telework is allowed for a maximum of two days per week. Occasional telework can be granted for specific circumstances, with an annual limit of 20 days. Exceptional telework can be implemented in case of force majeure or epidemics (Article V).
- *","Employees can request telework by sending a written request to their manager and the Human Resources department. The manager will then decide whether to grant the request, taking into account the employee's eligibility and the needs of the company (Article IV).
- *","The company does not cover any fixed or variable costs related to telework, except for the provision of tickets or meal allowances for telework days (Article VIII).
- *","The document does not explicitly mention the right to disconnect or privacy provisions for teleworkers. However, it does address the importance of maintaining a balance between professional and personal life (Article III).

Note: The response is within the 300-token limit.",T09221027527-43241150200037
15,"Employees with at least 6 months tenure, in a CDI, CDD, or CDIC contract, with an autonomous role, compatible with telework, and a commute of at least 1 hour or a distance of over 50 km from their workplace. Excludes cadre dirigeants, salariés on chantier sites, apprentices, and interns. (Article 2.2)
- F","Telework is allowed for one day per week, excluding Mondays and Fridays. (Article 3.2)
- A","Telework arrangements are established through a written request from the employee, followed by an agreement between the employee and their manager, and an amendment to the employment contract. (Article 3.1)
- C","The document does not mention coverage of costs associated with telework.
- P",The document does not mention provisions for the right to disconnect and the privacy of the worker.,A09418007012-51388220900051
16,"- Employees with a CDI contract after their trial period and CDD employees with at least 4 months of activity are eligible.
   - Contrat de formation par alternance and stage employees are not eligible.
   - Employees with at least 60% of a full-time contract are eligible.
   - A dedicated and conforming workspace at home is required.
   - The document does not mention specific tenure or job characteristics.

2. F","- Telework is allowed 1, 2, or 3 days per week, depending on the employee's role and the team's needs.
   - The document does not mention minimum requirements for office presence.

3. A","- Telework arrangements are established through a double-voluntary process involving the employee, manager, and DRH.
   - An avenant contractuel is signed to define reciprocal commitments.
   - The document does not mention specific procedures for establishing telework arrangements.

4. C","- The document does not mention coverage of costs associated with telework, such as IT setup or meal allowance.

5. P","- The document does not explicitly mention the right to disconnect or privacy provisions for teleworkers.

The document does not mention specific criteria for eligibility based on tenure, employment type, or job characteristics. It does not provide details on the process for establishing telework arrangements or coverage of costs. Additionally, it does not explicitly address the right to disconnect or privacy provisions for teleworkers.",T07521036545-53861698800035
17,"- Eligible workers are those with a CDI or CDD of at least 80% and an employment tenure of at least one year.
- The nature of the work must be compatible with telework, and the employee must have an ordinateur portable provided by the company.
- The work cannot be of a nature that requires physical presence in the company's facilities.
- Apprentices and interns are not eligible for telework.

F","- Telework is allowed up to 2 days per week, with at least 3 days of physical presence in the office.
- Female employees who are pregnant or have recently given birth, as well as employees with disabilities, may be eligible for additional telework days.

A","- Telework arrangements are established through a written request from the employee to their manager, who has discretion over the allowability of telework.
- The manager must consider the employee's eligibility and the needs of the service in making their decision.

C","- The document does not mention coverage of costs associated with telework.

P","- The document does not mention provisions for the right to disconnect or the privacy of the worker.

Note: The document does not mention the topic of costs associated with telework.",T09222031345-31116059201845
18,"- Eligible workers are those with at least 80% full-time equivalent and a permanent contract.
- Eligible activities are those that do not require physical presence and can be performed remotely.
- The employee must be autonomous, have a good understanding of their role, and have the necessary technical skills.
- The employee's home must meet safety and ergonomic requirements.

F","- Eligible employees can telework up to 2 days per week, with 1 or 2 mandatory days of physical presence.
- The number of days can be increased to 3 for pregnant women, disabled employees, and parents of disabled children.
- The document does not mention the possibility of teleworking on a full-time basis.

A","- Telework arrangements are established through a voluntary request by the employee and manager's approval.
- The manager has discretion in approving or denying the request.
- The employee must meet eligibility criteria and have the necessary technical skills.

C","- The document does not mention coverage of costs associated with telework, such as IT setup or meal allowance.

P","- The document does not mention provisions for the right to disconnect or the privacy of the worker.
- The document does not explicitly address the separation of professional and personal life during telework.
- The document does not mention the prevention of risks to the health and safety of teleworkers.",T07521035405-35258562400013
19,"* Eligible workers are those who have been present in the organization for at least one year, regardless of the duration of their time of work and the nature of their employment contract.
* The document does not mention any specific criteria for ineligibility based on the nature of the activities or the availability of necessary materials.

*","* Telework is allowed for a maximum of one day per week, regardless of the employee's contractual hours.
* The document does not mention any specific requirements for the employee's presence in the office.

*","* The document does not provide specific information on the process for establishing telework arrangements.

*","* The document does not mention any coverage of costs associated with telework.

*","* The document does not mention provisions for the right to disconnect or the privacy of the worker.

**Note**: The document does not mention specific details about the telework policy, and it is not possible to provide a more detailed summary without additional information.",T05822000960-77847773700028
20,"Eligible workers are those with CDI or CDD contracts, having at least 6 months of tenure in the company, and performing administrative tasks that do not require constant physical presence (Article 2). Excluded are interns, apprentices, and workers with medical restrictions (Article 2).

- *","Telework is allowed for 1 day per week, with exceptions for medical reasons or specific roles (Article 3).

- *","Telework arrangements are established through a mutual agreement between the employee and manager, with the manager having discretion to approve or deny requests based on service needs (Article 1).

- *","The company provides necessary equipment and covers maintenance costs. Employees are responsible for internet and electricity costs (Article 6).

- *","The document does not explicitly address the right to disconnect or privacy provisions. However, it does emphasize the importance of maintaining confidentiality and avoiding unauthorized access to company data (Article 8).

Confidence: 95%",T02921005540-38393558200023
21,"Eligible workers are those whose jobs can be partially and regularly done via informatics, compatible with the organization of the company's activities, and not requiring daily paper handling or physical presence. Excluded are those with jobs requiring constant field presence, such as construction and signaling workers, and those in ateliers. Stagiaires and alternants are also excluded (Article 3.1).
- *","Telework is allowed for 1 day per week, up to 4 days per month, based on a predefined schedule and manager's approval (Article 3.2.1).
- *","Telework arrangements are established through a request to the manager, who determines conditions based on the needs of the service and the employee's eligibility. The manager can limit the number of teleworkers per day and suspend telework if the service's operation is at risk (Article 3.2.1).
- *","No specific mention of cost coverage is made in the document.
- *","The document does not explicitly address the right to disconnect or privacy. However, it does mention that telework is based on trust and that the employee must be reachable during work hours (Article 5).

Note: The document does not mention specific topics related to privacy, such as the right to disconnect or privacy protection.",T06921018013-96250573100068
22,"- Eligible workers are cadres and non-cadres, with CDI or CDD, full or part-time contracts, and at least 6 months tenure in the company or group (Article 2).

F","- Recommended 2 days of presence per week in the office, with days of telework defined by mutual agreement and formalized in an amendment to the contract (Article 3.1).

A","- Telework arrangements are established through a formalized process involving a written request, evaluation of eligibility, and a 2-month response time for the company (Article 4.1).

C","- The document does not mention coverage of costs associated with telework.

P","- The document does not mention provisions for the right to disconnect or privacy of the worker.

Note: The document does not mention specific criteria for eligibility, such as job characteristics or manager discretion. It also does not provide specifics on the coverage of costs or privacy provisions.",T01219000341-33178571700041
23,"- Eligible workers are those with a minimum of 18 months tenure, displaying autonomy and proficiency in their role, possessing a high-speed internet connection, and residing in the Indre department or a neighboring one (Article 3.2).

F","- Telework is allowed for one or two days per week, with a maximum of eight employees participating in the 12-month experiment (Chapitre 2).

A","- Telework arrangements are established through an application process, with priority given to those living furthest from their workplace and those who have not previously benefited from telework (Article 4.2).

C","- The document does not mention any coverage of costs associated with telework.

P","- The document does not explicitly address the right to disconnect or privacy provisions for teleworkers.

Note: The document does not mention specific policies related to the right to disconnect or privacy provisions for teleworkers. Additionally, the document does not explicitly address cost coverage for teleworkers.",T03619000471-77518889900154
24,"- Eligible workers: All ETAM and Cadre employees of Hexaom SA, under indefinite-term contracts, at full-time or part-time (80% and above), with at least 6 months in the post.
- Excluded: Stagiaires, apprentices, and professional training contract holders.
- Ineligible jobs: Those requiring physical presence, specific equipment, or frequent client interaction.
- Ineligible due to statut: Cadre dirigeants.

*","- Two days per week maximum, excluding Mondays and Wednesdays.
- Flexibility: Voluntary participation, with collaborators choosing days (Tuesday, Thursday, or Friday) after manager approval.

*","- Voluntary participation and manager approval required.
- Collaborators must meet four conditions: good functioning of the service, ability to perform tasks remotely, sufficient autonomy, and compatible equipment.
- Avenant au contrat de travail required for telework implementation.

*","- No indemnities or prime payments for telework.
- Collaborators must have suitable workspaces and internet connections.

*","- No specific provisions mentioned in the document.
- The document does not mention the right to disconnect or privacy provisions.

The document does not mention the right to disconnect or privacy provisions.",T06122002184-09572031400012
25,"All employees of AXA Global Re, including those on CDI, CDD, alternance contracts, and internships, are eligible for telework. The decision to grant telework is at the discretion of the manager, considering the compatibility of the employee's role with telework, their level of autonomy, and the impact on the team and the company.
- *","The standard telework arrangement is 2 days per week, totaling 8 days per month. This can be adjusted to 3 days per week (12 days per month) for specific cases such as pregnant women, disabled workers, and close relatives of dependents.
- *","Telework arrangements are established through a formal request process in the Pléiades tool. The manager has discretion to approve or deny the request, and the decision is communicated within a reasonable timeframe.
- *","A monthly allowance of 20 euros bruts is provided to cover professional expenses related to telework. This allowance is exempt from social contributions and is paid for 12 months during the telework period.
- *","The right to disconnect is recognized and respected, with collaborators not expected to respond to non-urgent communications outside of regular working hours. The company and employees share the responsibility to ensure a balance between professional and personal life.

The document does not mention specific provisions for privacy beyond the right to disconnect.",T07520026998-55209144900082
26,"- Full-time or minimum 80% part-time employees with at least 1 year of tenure in the company (Article 2).
- Eligible roles: engineers in R&D, technicians in quality and system management, and intellectual property engineers (Article 2).
- Additional consideration for employees with disabilities, health issues, pregnancy, or long commutes (Article 2).

2. F","- Regular telework allowed, but the document does not provide specifics on the number of days per week or minimum office presence (Article 2).

3. A","- Employees must meet eligibility criteria and have compatible roles (Article 2).
- The company will consider requests on a case-by-case basis (Article 2).

4. C","- The document does not mention coverage of costs associated with telework (Article 4).

5. P","- The document does not mention provisions for the right to disconnect or worker privacy (Article 5).

Note: The document is an adhesion agreement to the Arkema France telework policy, and the specifics for the Groupement de recherche de Lacq are not fully detailed in this excerpt.",T06418000662-31963279000832
27,"- Eligible workers are those with a CDI or CDD contract and at least 6 months of tenure.
- The nature of the activity, level of autonomy, and equipment informatique are also considered.
- The document does not mention specific criteria for ineligibility.

F","- Telework is allowed 1 day per week, with a maximum of 50% of days in a bi-weekly period.
- The fixed day for in-person work is every other week.

A","- Telework arrangements are established through a voluntary request by the employee and approval by the Responsable hiérarchique and Responsable Ressources humaines.
- The Responsable hiérarchique has the final decision in case of disagreement.

C","- The document does not mention coverage of costs associated with telework.

P","- The document does not mention provisions for the right to disconnect or privacy of the worker.

Note: The document does not mention specific details about the company or its telework policy. The provided text is an agreement between the company and employee representatives.",T09521004729-50937838600023
28,"**
- Telework is open to full-time or 80% minimum part-time employees with a minimum of 6 months tenure at SOCFIM and 6 months in their current role.
- Employees must be able to work autonomously and have a domicile that meets specific criteria.
- Certain roles and activities are excluded due to their nature, confidentiality, security, or technical requirements.

*","**
- Telework is allowed for 1 or 2 days per week, with a minimum of 3 days of physical presence in the office.
- The number of days may be revised during the annual review.

*","**
- Telework is based on mutual consent and cannot be imposed or requested by force.
- A request for telework must be made in writing and approved by the manager and HR.
- A trial period of 2 months is provided for both parties to assess the suitability of telework.

*","**
- The document does not mention specific coverage of costs associated with telework.

*","**
- The document does not mention provisions for the right to disconnect or privacy of the worker.

Note: The document does not mention specific details on the coverage of costs associated with telework or provisions for the right to disconnect and privacy of the worker.",T07520022867-39034877900039
29,"All employees of Cerballiance Rhône-Alpes, excluding those on apprenticeship or professional contracts, are eligible for telework if they are full-time, work at least 80% of a full-time position, and have completed their probationary period. The employee's role and autonomy are also factors in eligibility (Article 2.1).
- *","Telework is allowed up to two days per week, reduced to one day for part-time or reduced-forfait employees. The days are fixed and agreed upon with the manager (Article 4.1).
- *","Employees must request telework via email to their manager, who will consider the request based on job compatibility, technical feasibility, and client service. An avenant to the contract is required (Article 2.3).
- *","The company provides an IT setup, but employees are responsible for their internet connection and workspace. No meal allowance is mentioned (Article 7.1).
- *","The document does not explicitly address the right to disconnect or privacy, but it does emphasize the importance of maintaining social connections and setting contact hours (Article 4.3).

The document does not mention the right to disconnect or privacy explicitly. However, it emphasizes maintaining social connections and setting contact hours.",T06921015960-45363546800235
30,"All employees of the company are eligible for telework, provided their job functions are compatible with it. No specific criteria such as tenure, employment type, or job characteristics are mentioned in the document.
- *","The frequency of telework allowed is one day per week for most employees, with some exceptions for those with longer commutes or specific roles.
- *","Telework arrangements are established through a process involving a request from the employee and approval from the manager. The manager has discretion over the allowability of telework.
- *","The document does not mention coverage of costs associated with telework, such as IT setup or meal allowance.
- *","The document emphasizes the importance of the right to disconnect and the privacy of the worker. However, specific provisions or policies regarding these issues are not detailed.

Note: The document does not mention specific criteria for eligibility or coverage of costs associated with telework.",T07522041396-34294896501714
31,,,,,,T06218001124-51533057900019
32,"- Full-time or part-time (80% minimum) employees with a CDI contract
   - At least six months of tenure in the company
   - Living more than 10 km or 1 hour away from the workplace
   - Autonomous and able to manage time effectively
   - Job role compatible with telework
   - Excluded: apprentices, interns, and employees with existing work schedule accommodations

2. F","- At least four days per week in the office
   - Lundi cannot be a telework day
   - No telework on days with appointments, training, or company events

3. A","- Written request to manager and HR
   - Manager approval based on motivation, job role, and team dynamics
   - HR approval required for final decision
   - Reversible with one-month notice

4. C","- No specific mention of cost coverage in the document

5. P","- Right to disconnect outside of office hours
   - Respect for privacy and personal space during home visits
   - No obligation to use webcam during remote meetings

If the document does not mention a specific topic listed here, it states ""the document does not mention [topic]"".",T09518000677-37895520700030
33,"Eligible workers are cadres within the Commerces and Services of the Audiovisual, Electronic and Home Appliance industry, excluding cadre dirigeants and managers of Thermomix and Kobold networks. Eligibility is based on specific criteria such as job characteristics and employment type (Article 1).
- *","Eligible workers can telework up to three days per month, with days accruing monthly and no rollover. Days can be taken as full or half-day increments and can be accoladed up to two days in a week (Article 4-1 and 4-2).
- *","Telework arrangements are established through a formal request to the direct supervisor, with the employee responsible for notifying relevant parties. A three-month adaptation period is provided for both parties to assess compatibility (Article 3 and 5-1).
- *","The company provides necessary portable equipment and covers direct communication costs. The employee is responsible for ensuring a suitable work environment and providing an attestation of home insurance (Article 7 and 8-3).
- *","The right to disconnect is recognized, with employees expected to be reachable during specific hours. The company commits to preserving the employee's privacy (Article 6-3 and 6-4).

The document does not mention specific provisions for the right to disconnect or privacy beyond the general statements.",T04418001718-62202877702677
34,"Employees in CDI, not in a probationary period, directly employed by NXO Telecom, and part of the ""sédentaire"" population (excluding apprentices, stagiaires, and nomadic workers) are eligible for telework.
2. F","Telework is allowed for 1-2 days per week, with a possibility of up to 3-4 days under specific circumstances.
3. A","Telework arrangements are established through a voluntary, mutual trust-based process. The employee must submit a written request, and the manager and HR will respond within a month.
4. C","NXO Telecom covers ADSL costs (8 EUR/month for employee-initiated telework, 15 EUR/month for employer-initiated telework), chauffage/électricité (15 EUR/month), and IT setup.
5. P","The right to disconnect is respected, and the employee is not required to use the webcam during remote meetings. The employee is responsible for the proper functioning of their home internet connection.

The document does not mention the right to disconnect and privacy provisions explicitly, but it is implied through the general principles of the agreement.",T06819002248-35391740400082
35,"- Eligible workers are those with a permanent or temporary contract, with at least 6 months of seniority, in a position compatible with telework, and with an autonomous role.
- Apprentices, interns, and employees with functions requiring physical presence or constant phone availability are not eligible.
- The document does not mention eligibility for part-time employees or those with specific disabilities.

*","- Telework is allowed for one day per week, with a minimum of 3 days in the office.
- The day of telework is not fixed and can be chosen by the employee.
- The document does not mention any specific requirements for the employee's presence in the office.

*","- Telework arrangements are established through a written request and manager's acceptance.
- The manager has discretion over the allowability of telework and must ensure the employee has the necessary tools and skills to perform their duties.
- The document does not mention any specific procedures for establishing telework arrangements.

*","- The document does not mention any coverage of costs associated with telework, such as IT setup or meal allowance.

*","- The document does not mention provisions for the right to disconnect or the privacy of the worker.
- The document does not mention any specific policies regarding the employee's right to disconnect or the protection of their privacy during telework.

Note: The document does not mention any specific policies regarding the employee's right to disconnect or the protection of their privacy during telework. It is recommended to consult the full document for more information.",T07221003710-44450202500018
36,"- The document does not mention specific criteria for eligibility, but it does state that telework is open to salaried employees of the company who are on a permanent contract, working full-time or part-time at 80% minimum, and have at least 6 months of seniority in the company.

*","- Telework is allowed one day per week, with a possibility for the manager to request the employee's presence on site for specific needs.

*","- The employee must submit a written request to their manager, who will respond within one month. The manager has discretion to accept or refuse the request, and the employee can appeal to the Human Resources department if necessary.

*","- The company provides the necessary equipment for telework, including an office chair, desk, computer, and internet access. The employee is responsible for the maintenance and repair of the equipment.

*","- The document does not mention the right to disconnect or privacy provisions for teleworkers. However, it does state that teleworkers are subject to the same rules and regulations as on-site employees, including the right to disconnect.

Note: The document does not mention specific details about the telework policy, and it is not possible to provide a more detailed response within the 300-token limit.",T09419003767-30460295600142
37,"The telework policy applies to all employees with a permanent contract of at least 80% and who have completed their probationary period. Certain jobs are excluded due to their nature, such as technicians, logisticians, and HSE construction. The telework policy is not applicable to temporary or fixed-term contracts (Article 2.2).

2. F","Eligible employees can telework up to 2 days per week. The specific days are determined by the manager and must be within the company's operational needs (Article 3.1).

3. A","Employees can apply for telework during the annual campaign. The manager has one month to respond, and the Direction des Ressources Humaines will draft an avenant to the contract if approved. The telework period is for one year, renewable by tacit agreement (Article 3.4).

4. C","The company provides a PC, telephone, and access to remote work applications. The employee is responsible for ensuring a suitable workspace, internet connection, and insurance (Article 9).

5. P","The company and employee will respect the right to disconnect and maintain a balance between personal and professional life. The employee will not be required to respond to work-related messages or calls outside of working hours (Article 11.1).

The document does not mention the right to disconnect or privacy provisions explicitly. However, the company's commitment to quality of life and work-life balance is implied in the preamble.",T07521034591-42394579900033
38,"- Eligible workers are those with a CDI or CDD contract, excluding apprentices, professional training contract holders, and interns. Both full-time and part-time employees can apply.
- Eligible employees must have sufficient autonomy, adequate IT skills, and tasks that can be performed remotely.
- New hires must wait six months before applying for telework.
- The document does not mention any other specific criteria.

F","- Telework is allowed up to two days per week, with a minimum of three days on-site per week.
- Days cannot be accumulated or transferred to another week.
- The document does not mention any minimum requirements for office presence.

A","- Telework arrangements are established through a tripartite agreement between the employee, their manager, and the Human Resources Director.
- The employee must submit a request using the provided form, and the manager will determine the telework eligibility of the activity.
- The document does not mention any specific procedures for establishing telework arrangements.

C","- The company does not cover any costs associated with telework, such as IT setup or meal allowances.
- The document does not mention any specific provisions for cost coverage.

P","- The document does not explicitly mention the right to disconnect or privacy provisions for teleworkers.
- The document does not mention any specific provisions for privacy or disconnection rights.

Note: The document does not mention telework occasionnel or its specificities.",T08522006326-38387174600012
