,Eligibility,Frequency,Arrangements,Costs,Privacy,doc
16,"(Article 12.1)
- **Eligible Workers**: All employees of NEOMA Business School, including those on permanent and fixed-term contracts, except for those on ""CDD d’usage"" contracts.
- **Criteria**: No specific tenure or job characteristics mentioned.

### F","(Article 12.2.2)
- **Allowed Frequency**: Not explicitly mentioned in the document.
- **Minimum Office Presence**: Not specified.

### A","(Article 12.4.2)
- **Process**: Telework arrangements require mutual agreement between the employee and employer, formalized through specific clauses in the employment contract or an addendum.
- **Manager's Discretion**: Managers have the authority to approve or deny telework requests based on job responsibilities and organizational needs.

### C","(Article 16.1.2)
- **IT Setup**: Not mentioned.
- **Meal Allowance**: Not mentioned.

### P","(Article 12.4.6)
- **Right to Disconnect**: Employees are encouraged to disconnect from work communications between 8 PM and 8 AM on weekdays, and from 8 PM Friday to 8 AM Monday, as well as on public holidays.
- **Privacy Provisions**: The document emphasizes the importance of respecting rest periods and not using work communication tools during these times.

If a specific topic is not mentioned in the document, it is stated as such.",ACCOTEXT000037516063
17,"- **Article 1**: Telework is available to all employees in classes 1 to 7 who are part of the UES AXA Investment Managers and were employed as of October 1, 2017, and still employed as of December 31, 2017.

### F","- **Article 8**: The document does not mention the specific frequency of telework allowed.

### A","- **Article 8**: The current telework agreement will be reviewed and updated to align with new regulations. Specific processes for establishing telework arrangements are not detailed.

### C","- **Article 8**: The document does not mention coverage of costs associated with telework.

### P","- **Article 9**: A negotiation on the right to disconnect is ongoing, aiming to improve the quality of work life. Specific privacy provisions are not detailed.

This summary adheres to the 300-token limit and provides the necessary information based on the provided document.",ACCOTEXT000037366931
18,"- **The document does not mention eligibility.**

### F","- **The document does not mention frequency.**

### A","- **Article 3**: The document states that there is an agreement to negotiate the modalities of telework during a transitional phase. Specific details on the process for establishing telework arrangements are not provided.

### C","- **The document does not mention costs.**

### P","- **The document does not mention privacy.**

In summary, the document indicates an intention to negotiate telework arrangements but does not provide specific details on eligibility, frequency, costs, or privacy.",ACCOTEXT000037366938
19,"- **Article 2**: 
  - Eligible workers: All employees with a permanent contract (CDI) and at least six months of tenure.
  - Ineligible services: Pilotage, GSE, Supervision Réseau, GSI/GEPE, Gestion des Infrastructures, Plateau 2, Services Généraux, EHVA.

### F","- The document does not mention the frequency of telework allowed.

### A","- **Article 3**: 
  - The document does not specify the detailed process for establishing telework arrangements, such as obtaining permission or managerial discretion.

### C","- **Article 4**: 
  - The company covers the cost of necessary furniture (desk, ergonomic chair, storage unit) up to 300 euros, upon presentation of receipts. This is a one-time reimbursement.

### P","- **Article 3.5**: 
  - The company respects the employee's private life by implementing measures such as requiring employees to log their work hours via a virtual time clock.

The document does not mention other specific provisions for the right to disconnect or additional privacy measures.",ACCOTEXT000037409854
20,"- **Article Reference**: The document does not mention eligibility.
- **Summary**: The document does not specify which workers are eligible for telework, including criteria such as tenure, employment type, or job characteristics.

### F","- **Article Reference**: The document does not mention frequency.
- **Summary**: The document does not specify the frequency of telework allowed, such as the number of days per week permitted or minimum requirements for the employee’s presence in the office.

### A","- **Article Reference**: The document does not mention arrangements.
- **Summary**: The document does not specify the process by which telework arrangements are established, including whether permission must be obtained and whether the manager has discretion over the allowability of telework.

### C","- **Article Reference**: The document does not mention costs.
- **Summary**: The document does not specify the coverage of costs associated with telework, such as IT setup and meal allowance.

### P","- **Article Reference**: The document does not mention privacy.
- **Summary**: The document does not specify provisions for the right to disconnect and the privacy of the worker.",ACCOTEXT000043134794
21,"- **Article 7**: The document mentions that the assistant to the director practices telework. It does not specify additional criteria such as tenure, employment type, or job characteristics for other employees.

### F","- **Article 7**: The assistant to the director teleworks on Wednesdays. The document does not mention the frequency of telework allowed for other employees.

### A","- **Article 7**: Telework is practiced at the request of the employee. The document does not specify if permission must be obtained or if the manager has discretion over the allowability of telework.

### C","- **Article 7**: An ordinateur (computer) is provided to the assistant to the director for telework. The document does not mention coverage of other costs such as IT setup or meal allowance.

### P",- The document does not mention provisions for the right to disconnect and the privacy of the worker.,ACCOTEXT000037334915
22,"- **Article 11**: 
  - All employees, whether on permanent or temporary contracts, full-time or part-time, are eligible.
  - Specific criteria for telework eligibility are not detailed in the document.

### F","- **Article 11**: 
  - Telework is allowed occasionally when specific events, circumstances, or medical advice necessitate it.
  - Regular telework frequency is not specified.

### A","- **Article 11**: 
  - Telework arrangements must be formalized in writing and provided to the employee.
  - Managers have discretion over the allowability of telework based on specific circumstances.

### C","- **Article 11**: 
  - The employer is not required to cover costs related to telework, including equipment, subscriptions, communications, and maintenance.

### P","- **Article 14**: 
  - Employees have the right to disconnect outside of normal working hours.
  - Employees are not required to respond to calls or emails outside of their normal working hours, except in cases of extreme urgency.

The document does not mention meal allowances or specific IT setup costs.",ACCOTEXT000038068010
23,"(Article 1.2)
- **Nature of Work**: Telework is open to employees whose roles are compatible with remote work.
- **Team Configuration**: Physical presence should not be required, and telework should not disrupt service.
- **Employee Criteria**: Must be autonomous, have a compatible role, and a suitable home environment.
- **Exclusions**: Employees on probation, short-term contracts (<12 months), apprentices, interns, and those on certain training contracts. Part-time work is eligible if ≥80%.

### F","(Article 3.1)
- **Telework Alterné**: Maximum of 1 day per week in the first year, potentially increasing to 2 days in subsequent years by mutual agreement.
- **Telework Exceptionnel**: Very occasional, for exceptional situations like transport strikes or medical advice.

### A","(Article 2)
- **Voluntary Basis**: Requires mutual agreement between employee and employer.
- **Request Process**: Written request by the employee, reviewed by HR and the manager. Employer-initiated requests must be clearly explained and can be refused by the employee without penalty.
- **Formalization**: An addendum to the employment contract is required.

### C","(Article 4)
- **IT Setup**: Company provides necessary equipment if the employee lacks it.
- **Installation Costs**: Covered by the company if telework is employer-initiated.
- **Annual Allowance**: €120 for telework-related expenses.
- **Other Expenses**: Reimbursed according to company rules, with prior approval needed for specific costs.

### P","(Article 5.1)
- **Right to Disconnect**: Company must respect the employee's private life and cannot contact them outside agreed working hours.
- **Confidentiality**: Employees must ensure the security and confidentiality of work-related data and equipment.

The document does not mention meal allowances.",ACCOTEXT000037806310
24,"- **Article 10.3**: 
  - Employees with at least one year of tenure in their current position or similar roles within the group.
  - Part-time employees must be present on-site for at least three full days per week.
  - Exclusions: Apprentices, interns, employees with itinerant roles, and those whose job requires on-site presence.

### F","- **Article 10.7**:
  - Telework is limited to one full day per week.
  - Employees must be present on-site for a minimum of three full days per week.
  - Telework days cannot be carried over to another week.

### A","- **Article 10.4**:
  - Telework is voluntary and initiated by the employee.
  - Requires mutual agreement with the manager.
  - Formal request must be submitted in writing and reviewed within three weeks.
  - An addendum to the employment contract is required.

### C","- **Article 10.9**:
  - Employees receive a monthly allowance of 5 euros to partially cover internet costs.
  - The company provides necessary IT equipment, such as laptops and phones.

### P","- **Article 10.7**:
  - Telework must adhere to regular working hours.
  - Employees have the right to disconnect outside of agreed working hours.
  - The company must respect the employee's private time and cannot contact them outside of these hours.

The document does not mention meal allowance.",ACCOTEXT000037731261
25,"(Article 5.4)
- **Eligible Workers**: All employees of SIAEAG, including Ouvriers, Employés, Agents de Maîtrise, and Cadres.
- **Criteria**: No specific tenure or employment type mentioned.

### F","(Article 5.4)
- **Allowed Frequency**: The document does not specify the number of days per week permitted or minimum office presence requirements.

### A","(Article 5.4)
- **Process**: Telework arrangements will be governed by a specific agreement in line with the ordinance n°2017-1387 of 22 September 2017.
- **Manager Discretion**: The document does not specify if managers have discretion over telework allowability.

### C","(Article 5.4)
- **Coverage of Costs**: The document does not mention coverage of costs associated with telework, such as IT setup or meal allowance.

### P","(Article 5.4)
- **Right to Disconnect**: The document does not mention provisions for the right to disconnect.
- **Worker Privacy**: The document does not mention specific privacy provisions for teleworkers.

This summary provides a concise overview of the telework policy based on the provided document. For more detailed information, please refer to the specific articles mentioned.",ACCOTEXT000038163347
26,"(Article 3.2)
- **Eligible Workers**: Only employees under the national collective agreement for engineers and executives in the Metallurgy sector, with a hierarchical classification of at least position II coefficient 100.
- **Employment Type**: Permanent employees (CDI) after the probation period and long-term fixed-term employees (CDD) of 6 months or more.
- **Exclusions**: Apprentices, professionalization contracts, interns, temporary workers, and CIFRE contracts are excluded.

### F","(Article 14.1)
- **Telework Days**: Up to 45 days per year, approximately 1 day per week.
- **Maximum Weekly Telework**: No more than 2 days per week.
- **Office Presence**: Regular presence in the office is required.

### A","(Article 4.1 & 4.2)
- **Voluntary Basis**: Telework is initiated by the employee and requires the agreement of their direct supervisor.
- **Formalization**: An addendum to the employment contract is required, including an attestation of a suitable home workspace and insurance coverage.
- **Reversibility**: Both the employee and the employer can terminate the telework arrangement with a 15-day notice.

### C","(Article 3.2 & 14.3)
- **BYOD Policy**: Employees must use their own IT equipment and internet connection.
- **No Additional Costs**: The company does not cover additional costs for IT setup, internet, or phone subscriptions.
- **Compensation**: Costs are considered offset by savings on commuting expenses.

### P","(Article 5.1.2)
- **Right to Disconnect**: Employees cannot be contacted outside of defined working hours (8:30-18:30 for full days, 8:30-12:00 / 14:00-18:30 for half days).
- **Privacy**: The employer must respect the employee's private life and ensure no contact outside these hours.

The document does not mention meal allowance.",ACCOTEXT000038804693
27,"- **Article Reference**: Chapter 5, Section 5.5
- **Summary**:
  - All employees whose job functions are compatible with telework are eligible.
  - Telework is available on a voluntary basis.

### F","- **Article Reference**: Chapter 5, Section 5.5
- **Summary**:
  - The document does not specify the exact frequency of telework allowed.
  - Telework can be regular or occasional.

### A","- **Article Reference**: Chapter 5, Section 5.5
- **Summary**:
  - Telework arrangements are based on voluntary participation.
  - The process involves ensuring the preservation of social connections, respect for p","- **Article Reference**: The document does not mention costs.
- **Summary**:
  - The document does not mention coverage of costs associated with telework.

### P",", and equal treatment in task distribution and performance evaluation.

### Costs
- **Article Reference**: The document does not mention costs.
- **Summary**:
  - The document does not mention coverage of costs associated with telework.

### Privacy
- **Article Reference**: Chapter 5, Section 5.1
- **Summary**:
  - TEREVA respects the legal and conventional provisions regarding working hours.
  - A charter for the proper use of email has been established to ensure no emails are sent between 8 PM and 7:30 AM, or during weekends and holidays.
  - Managers are advised not to request responses outside of regular working hours to respect the right to disconnect.",ACCOTEXT000039429777
28,"- **Article Reference**: 2
- **Summary**:
  - Telework is available only to employees who wish to participate.
  - Approval is required from both the service manager and the Direction.
  - Not all functions are eligible due to the company's production site nature.

### F","- **Article Reference**: 2
- **Summary**:
  - Telework is limited to one or two half-days per week.
  - Maximum telework time is 20% of the employee's effective presence.
  - Telework days must respect pre-scheduled meetings and allow for rotation within the same service (no fixed day).

### A","- **Article Reference**: 2
- **Summary**:
  - Employees must request telework, which is subject to approval by the service manager and the Direction.
  - The telework schedule can be predefined according to the service's needs.
  - Employees must be reachable by phone and email during their usual working hours (8:30-12:00 / 14:00-18:00).
  - In case of an urgent need, employees must return to the site and reschedule their telework day.

### C","- **Article Reference**: 2
- **Summary**:
  - The document does not mention coverage of costs associated with telework.

### P","- **Article Reference**: 2
- **Summary**:
  - The document does not mention provisions for the right to disconnect and the privacy of the worker.",ACCOTEXT000042361020
29,"- **Article Reference**: The document does not mention eligibility.
- **Summary**: The document does not specify which workers are eligible for telework, including criteria such as tenure, employment type, or job characteristics.

### F","- **Article Reference**: The document does not mention frequency.
- **Summary**: The document does not specify the frequency of telework allowed, such as the number of days per week permitted or minimum requirements for the employee’s presence in the office.

### A","- **Article Reference**: Article 1, Section 3
- **Summary**:
  - Telework will be regulated by an agreement or a charter.
  - A project agreement is being prepared by the HR department.
  - The agreement will allow for a structured telework experiment based on available IT equipment, work hours, job roles, and tasks.

### C","- **Article Reference**: The document does not mention costs.
- **Summary**: The document does not specify the coverage of costs associated with telework, such as IT setup and meal allowance.

### P","- **Article Reference**: The document does not mention privacy.
- **Summary**: The document does not specify provisions for the right to disconnect and the privacy of the worker.",ACCOTEXT000042452880
30,"- **Article 2.5**: The document does not mention specific criteria for telework eligibility.

### F","- **Article 2.5**: The document does not mention the frequency of telework allowed.

### A","- **Article 2.5**: The document does not mention the process by which telework arrangements are established.

### C","- **Article 2.5**: The document does not mention the coverage of costs associated with telework.

### P","- **Article 2.5**: The document does not mention provisions for the right to disconnect and the privacy of the worker.

### Additional Information
- **Article 2.5**: The telework charter, initially implemented in September 2018, will be reviewed and presented to the CSE for information and consultation in November 2020, with application starting January 1, 2021.

The document primarily focuses on other aspects such as salary adjustments, working hours, and employee benefits, without providing detailed telework policy information.",ACCOTEXT000042626236
31,"(Article 2.1)
- **Eligible Workers**: All employees on permanent (CDI) or fixed-term (CDD) contracts who have completed their probationary period.
- **Part-time Employees**: Eligible if they work at least two days per week in the office.
- **Job Characteristics**: Must have work that can be performed remotely, demonstrate autonomy, time management, and IT proficiency.
- **Exclusions**: Interns, apprentices, and roles requiring physical presence or specific equipment.

### F","(Article 1.2)
- **Maximum Days**: Up to three days per week.
- **Options**:
  - **Fixed Days**: One to three days per week or one day every two weeks.
  - **Variable Days**: One to three days per week, with prior notice to the manager.
  - **Floating Days**: Up to 20 days per year, one day per week, with three days' notice.

### A","(Article 3.1)
- **Initiation**: Can be requested by the employee or manager.
- **Approval**: Requires written request and manager's approval within one month.
- **Contract Amendment**: Telework agreement added to the employment contract, specifying terms and conditions.

### C","(Article 5.1 and 5.2)
- **Maintenance**: Company covers maintenance of provided equipment and phone bills.
- **Daily Allowance**: €1 net per telework day.
- **Office Chair**: Reimbursement up to €50 with receipt.
- **Meal Allowance**: Retains meal vouchers if applicable.

### P","(Article 4.7)
- **Right to Disconnect**: Employees can disconnect outside defined working hours.
- **Surveillance**: No specific monitoring tools for telework, except for professional use of provided tools.",ACCOTEXT000042626237
32,"- **Article 2.2**: 
  - **Eligible Activities**: Telework is available for activities that can be performed remotely, such as project management and pathway coordination.
  - **Ineligible Activities**: Regular telework is not available for roles involving direct service responsibilities.
  - **General Criteria**: 
    - Employees must have a full-time or part-time indefinite contract or a fixed-term contract longer than 6 months.
    - Eligible roles include managerial positions (cadres) and pathway coordinators.
  - **Regular Telework**: 
    - Must be a cadre with a day-rate contract, part of the General Management, or a Director with at least the trial period completed.
  - **Occasional Telework**: 
    - Must be a managerial cadre or a non-cadre pathway coordinator with at least one month of tenure.

### F","- **Article 2.2**: 
  - **Regular Telework**: Specific frequency not detailed, but implies ongoing, consistent telework.
  - **Occasional Telework**: Permitted on a less frequent, as-needed basis.

### A","- **Article 6**: 
  - **Approval Process**: 
    - Telework arrangements must be approved by the employee's superior.
    - Weekly or daily reports (depending on telework type) must be submitted to the superior for workload monitoring.
  - **Manager Discretion**: Managers have the discretion to approve and monitor telework arrangements.

### C","- The document does not mention costs.

### P","- **Article 7**: 
  - **Right to Disconnect**: 
    - Cadres must adhere to maximum work durations and minimum rest periods (11 hours daily, 35 hours weekly).
    - Non-cadres must follow their usual work hours and provided schedules.
  - **Privacy**: No specific mention of privacy beyond work-hour regulations.

This summary adheres to the 300-token limit and provides a clear overview of the telework policy for employees.",ACCOTEXT000043270563
