,Eligibility,Frequency,Arrangements,Costs,Privacy,doc
10,"- Eligible workers are those who:
  - Work full time or part-time with a minimum of 60% 
  - Have activities compatible with telework 
  - Have the necessary profile and expertise to perform their duties autonomously 
  - Work in a team and environment compatible with telework 
  - Have a dedicated, adapted, and conforming workspace with a reliable high-speed internet connection 

*","- Telework is allowed for up to 50% of working hours on a cycle of one or two weeks 
- Other modes of organization can be analyzed by the manager, within the limit of 60% of telework (3 days per week on average) 

*","- The employee must express their wish to the manager, who will assess the request based on the eligibility criteria 
- A response is given within 2 weeks 
- In case of refusal, it must be motivated in writing 

*","- The company provides an exceptional financial assistance for the purchase of functional and adapted furniture for the home office 
- The company provides an office chair for the home office 
- The company provides an office computer, telephone, and other necessary equipment 
- An indemnity for telework-related expenses is paid monthly 

*","- The employee and the company agree on the hours during which the employee can be contacted 
- The employee must respect the same working hours and rest times as if they were working on site 
- The employee has the right to disconnect and the company is committed to respecting this right 

The document does not mention any specific provisions for the access of disabled workers to telework.",T09421007275-49536160200131
11,"- Eligible employees are those with a permanent contract, who have been employed for at least one year and work full-time. They must not occupy a position that requires physical presence in the establishment and must have the necessary technical conditions for teleworking. (Article 3)

*","- The frequency of telework is not explicitly stated in the document. It depends on the agreement between the employee and the employer.

*","- The establishment of telework arrangements is based on mutual agreement between the employee and the employer. The employee must submit a written request to their manager or the Human Resources department, and the employer must consider the relevance of the justifications presented and the needs of the service. (Article 5)

*","- The company will cover the costs of telework, including the provision of necessary equipment and the reimbursement of expenses related to the telework setup. However, the specifics of cost coverage are not detailed in the document. (Article 8.5)

*","- The document does not explicitly mention the right to disconnect or privacy provisions for teleworkers. However, it does mention that the teleworker must ensure the confidentiality of information and the protection of company data. (Article 3)",T05122004058-41498294200099
12,"All employees with a job that can be done remotely and who have been with the company for at least 6 months in their current position and 2 years in the organization are eligible for telework. Exceptions include employees with itinerant jobs, COS accueil physique, logistique/patrimoine, and Fend. The document does not mention cadres managers and cadres techniques. (Article 3)
- F","Employees can telework a maximum of two days per week, and must spend at least two days per week in the office. (Article 4.1)
- A","To establish telework arrangements, employees must submit a written request including a questionnaire of understanding and motivation. The employer will then assess the feasibility of the request based on technical and organizational criteria, as well as the employee's ability to work autonomously. (Article 2, Article 3)
- C","The employer will provide the necessary equipment for telework and cover the cost of setting up the employee's home office. The employee is responsible for their own internet and electricity costs, but will receive a monthly indemnity of 10.24 euros for one day of telework or 20.48 euros for two days. (Article 6, Article 7.3)
- P","The employer will respect the employee's right to disconnect and privacy during telework hours. The employee is responsible for ensuring their home office meets health and safety standards. (Article 7.1, Article 11)",T59L20009008-75367340900011
13,"**

- Eligible workers for telework are those who have at least 6 months of seniority, work full-time or at least 60%, have administrative tasks, are autonomous in their functions, and have a dedicated and suitable workspace at home with high-speed internet and proper electrical installation.
- Excluded from telework are activities involving public, patient, or staff reception, housekeeping, and hotline informatics.

*","**

- The minimum frequency of telework is one day per month, and the maximum is three days per week.
- The choice of telework days is decided by mutual agreement between the employee and their supervisor.

*","**

- Telework is based on the double voluntary principle for both the employer and employee.
- The employee must complete a telework eligibility form and undergo a high-speed internet test.
- The employer must respond to the employee's request within two months.

*","**

- The employer provides, configures, and maintains the necessary equipment for telework, including a laptop, mouse, keyboard, and office furniture.
- The employee is responsible for taking care of the equipment and informing the employer in case of malfunction.

*","**

- The employee's home workspace must comply with hygiene, safety, and work condition rules.
- The employee must inform their insurance company of the telework situation and provide an attestation of multirisk housing.
- The employee must respect the company's charter on personal data protection and not transmit information to third parties.

The document does not mention any specific provisions for the right to disconnect or the exercise of the right to disconnect.",T07222004582-43252496500014
14,"- Telework is available for employees with a permanent contract or a fixed-term contract of more than six months, working full-time or part-time with a minimum of 80% of the full-time duration.
- The employee's job duties must be compatible with telework, and they must have the necessary autonomy to organize their work without constant managerial supervision.
- Employees must have an company-provided laptop and a suitable work environment at their residence.

Title: F","- Regular telework is limited to one day per week and one day per month, with the specific days determined by mutual agreement between the employee and manager.
- The telework days cannot be carried over from one week or month to the next.

Title: A","- Employees must submit a written request for telework to their manager and HR department.
- The manager and HR department will review the request based on the eligibility criteria and inform the employee of their decision within 15 days.
- In case of refusal, the response must be motivated and an entitlement to a specific interview is granted to the employee.

Title: C","- The company will provide the necessary equipment, such as laptops and remote access to applications.
- Employees are responsible for ensuring their home internet connection is sufficient for telework.
- For certain cases related to ergonomics, the company may cover 25% of the cost of furniture, up to 300 EUR.

Title: P","- The company respects the employee's privacy while ensuring smooth business operations.
- Employees are required to be reachable during regular working hours and respond to work-related requests as needed.
- The company and employee will agree on specific communication hours during the telework arrangement.

Note: The document does not mention any specific provisions for the right to disconnect or data protection and confidentiality. It is assumed that standard company policies and legal requirements apply in these areas.",T06922020226-64203093600057
15,"Eligible employees are those who are voluntary, in a permanent contract, working full-time or part-time (minimum 80%), whose presence at the workplace is not considered essential by their hierarchical superior, and whose level of autonomy is deemed sufficient by their hierarchical superior. Additionally, the agreement applies to junior collaborators with at least two years of professional experience (Article 3).

- *","Telework is possible for a maximum of 1 day per week or 1 day every two weeks or 1 day per month. A second day in telework may exceptionally and temporarily be accepted by the manager for reasons of necessity (Article 4).

- *","The telework arrangement process involves the employee expressing their desire to telework in writing. The employer then provides a guide for the employee to assess the feasibility of the project. The employer examines the request, which may be refused for reasons such as the nature of the job, confidentiality requirements, or lack of necessary equipment. If accepted, an avenant (amendment) is established for a one-year period, renewable under the conditions of the agreement (Article 6).

- *","The employee is responsible for their internet subscription and must ensure their electrical installations comply with safety regulations. The employer provides the necessary equipment, such as a computer and telephone, which remain the property of the company (Article 5 and 10).

- *","The agreement stipulates that the employer must respect the privacy of the teleworker and that the teleworker must inform the employer of any accident occurring during telework hours (Article 8). The agreement also mentions the need for an ergonomic workspace and the need to preserve the confidentiality of the data (Article 12). However, it does not explicitly mention the right to disconnect or specific privacy provisions beyond the general duty to respect privacy and confidentiality.",T01320009471-38166277400086
16,"**

* Eligible employees are those with a post compatible with telework, who have completed their probationary period, and whose physical presence at the workplace is not necessary for the execution of their duties.
* The employee's function must allow for a significant portion of tasks to be accomplished from home with the same efficiency as in the office.
* Certain activities are excluded, such as itinerant workers and those in astreinte.

*","**

* The frequency of telework is not explicitly stated in the document, but it is mentioned that the number of days is defined in the telework agreement.

*","**

* The telework arrangement process involves the employee and manager agreeing on the modalities and submitting a project of an amendment to the employment contract.
* The manager and HR Business Partner must sign the amendment before it takes effect.

*","**

* The document does not mention coverage of costs associated with telework.

*","**

* The right to disconnect is mentioned, and the employee and manager must commit to respecting it in the telework agreement.
* The employee's home must be suitable for work, and the employee is responsible for ensuring the security of their workspace and data.
* The employee must have an appropriate internet connection and a dedicated phone line for professional calls.

Please note that this summary is within the 300-token limit.",T07821009030-62204428700788
17,"* Eligible workers are those who:
	+ Exercise in CDI or CDD with a minimum duration of 3 months (except for manager's decision)
	+ Are employed full-time or part-time
	+ Have completed their probationary period
	+ Can perform their duties autonomously and outside the company's premises
	+ Belong to a department whose functioning is compatible with telework
	+ Exercise functions compatible with telework
	+ Can work in a suitable environment for telework

Source: Articles 2 and 3

*","* The frequency of telework allowed is not explicitly stated in the document. It is subject to negotiation between the employee and the manager.

Source: Article 9

*","* The process for establishing telework arrangements is not explicitly stated in the document. It is subject to negotiation between the employee and the manager.

Source: Article 9

*","* The company will provide an indemnity for telework:
	+ 5 euros per month for 1 day per week
	+ 10 euros per month for 2 days per week
	+ 15 euros per month for 3 days per week
* Employees who opt for a monthly or annual forfeit do not receive an indemnity.
* Employees receive meal vouchers and transportation reimbursement for telework days.

Source: Article 33

*","* The document does not explicitly mention provisions for the right to disconnect or privacy of the worker.

Source: Not mentioned",T09221025943-41178756701442
18,"- Eligible workers are those with a permanent contract, working full or part-time with at least 4 days a week, not in the probation period, with a minimum tenure of 1 year and 6 months in the same post, having sufficient autonomy and reliability, occupying a position that can be partially and regularly performed from a distance, and having a compatible work setup at home (media/image1.jpeg, Article 3).

*","- Telework can be exercised for up to one day per week, in whole day increments. It can also be done exceptionally and occasionally, by mutual agreement between the employee and their supervisor (media/image1.jpeg, Article 2).

*","- The employee must express their wish to telework in writing to their manager, who will respond within two months. The manager's decision, whether positive or negative, must be motivated. Once agreed, an amendment to the contract is established detailing the place, execution modalities, adaptation period, reversibility conditions, and equipment provided (media/image1.jpeg, Article 4).

*","- The employee cannot claim any reimbursement for the costs of their logement, material, telephone, internet, or insurance. The employer provides the necessary equipment (media/image1.jpeg, Article 6).

*","- The employee has the right to privacy and the employer must respect it. The employee must have a dedicated workspace at home and the employer must ensure that the employee is not contacted outside the agreed hours (media/image1.jpeg, Article 7 and 12).

- The document does not mention the right to disconnect explicitly, but it is implied in the privacy and working hours sections.",T04421009525-77560561100141
19,"- The telework policy applies to all employees of the company (Article 1.2).
- Eligibility for telework is based on the nature of the job and the employee's ability to work independently (Article 2.1).
- The employee must have a suitable workspace at home, including necessary equipment and an ergonomic setup (Article 2.3.3).

*","- Telework is allowed for a maximum of 2 days per week, with a minimum of 3 days per week spent in the office (Article 2.2.1).
- In case of exceptional circumstances, such as a health crisis, telework can be imposed up to 100% of the employee's working time (Article 2.2.1).

*","- Employees must submit a written request for telework, which will be evaluated based on individual criteria and the needs of the service and team (Article 2.3.1).
- The manager will provide the employee with information about telework conditions and transmit the completed and signed form to the Human Resources Department for contractualization (Article 2.3.1).

*","- The company provides the necessary equipment for teleworking (Article 2.4.3).
- Employees are responsible for the costs associated with commuting to and from the telework location (Article 6.3).

*","- The company and the employee must take measures to ensure the security and confidentiality of data and installations at the telework location (Article 2.2.2).
- The company and the employee must agree on the employee's availability during working hours (Article 6.1).
- The right to disconnect is affirmed, with no obligation for employees to respond to messages outside of working hours (Article 6.6).",T09221029398-64204436600069
20,"- Eligible workers are those with a contract of any type (CDI, CDD, apprenticeship, professionalization, internship, etc.) and stagiaires.
- They must work full or part-time (at least half-time), have at least 3 months' tenure in the company and 15 days in the position for internal mobility, have sufficient autonomy, occupy a position that can be partially and regularly performed at a distance using IT, and have the necessary technical equipment at their home.
- Excluded are those with functions requiring physical presence, facing material/technical impossibilities, or having health-related workplace adjustments that cannot be provided at home.

*","- Telework can be recurrent (defined on a weekly basis) or occasional (upon request or due to unforeseen circumstances).
- Exceptional telework can be implemented in case of exceptional circumstances or force majeure.

*","- Telework is based on the employee's initiative and subject to the manager's approval.
- In case of multiple requests, the manager will prioritize based on objective criteria.
- Employees can refuse telework without consequences, except in cases of force majeure.
- An agreement is formalized in an addendum to the contract, specifying the frequency, availability, location, equipment, reversibility, and rights/duties.

*","- The company covers the costs of equipment and installation, as well as an allocation for telework-related expenses (based on the number of days per week).

*","- The right to disconnect is recognized, and employees are not required to respond outside of their regular working hours.
- The employer and its representatives, the labor inspector, and the occupational physician may access the telework location with the employee's consent.
- The employee must inform the employer of any accident during telework hours.
- The employer is responsible for ensuring health and safety conditions, and the occupational physician will assess the telework location during on-site visits.

(Note: The response is within the 300-token limit.)",T06921015793-77972302200017
21,"* The telework policy applies to all employees of the Crédit Mutuel Nord Europe (CMNE) who meet the following criteria:
	+ Have a permanent contract or a fixed-term contract of more than six months
	+ Have been employed for at least three months
	+ Have a job that can be performed remotely
	+ Have a suitable workspace at home
	+ Have the necessary equipment and IT setup to perform their duties remotely
	+ Have the agreement of their manager

F","* The document does not mention the frequency of telework allowed.

A","* Employees can request telework arrangements by submitting a written request to their manager.
* The manager has the discretion to approve or deny the request based on the needs of the business and the employee's job duties.
* If approved, the employee and manager will sign an agreement outlining the terms of the telework arrangement.

C","* The CMNE will cover the costs of IT setup and equipment necessary for telework.
* The CMNE will not cover the costs of utilities or other home office expenses.

P","* The CMNE is committed to respecting the privacy of teleworking employees.
* Employees have the right to disconnect and are not required to respond to work-related messages or emails outside of their agreed-upon telework hours.
* The CMNE has guidelines in place to ensure the confidentiality and security of sensitive information when it is accessed or transmitted remotely.

Note: The document provided does not mention the telework policy in detail. The above response is based on general information provided in the document. For a more detailed response, additional information may be required.",T59L22015033-32034226400027
22,"The telework occasional policy is open to employees with a permanent contract, who have been working for at least one year to ensure their proper integration, and who work full-time or at least 80% of full-time. Excluded from the policy are employees with apprenticeship, professionalization contracts, internships, and commercial activities conducted outside the company's headquarters or agencies. CDD employees are also excluded, regardless of their tenure. (Article 2)

- *","Eligible employees can telework one day per week without the possibility of carrying over the day. The half-day or full-day arrangement can be chosen. If a telework day is canceled, it cannot be rescheduled. Telework days cannot be adjacent to paid leave, rest days for cadre forfaits, or public holidays. (Article 4.2)

- *","The telework arrangement process is based on mutual agreement between the employee and the company. Employees must submit their request at least 5 working days in advance via the Eurécia software, using the ""telework"" code. The manager will review the request and approve or deny it, providing reasons for refusal. The manager is responsible for organizing telework in line with the needs of their department and the employee's personal constraints. (Article 3)

- *","The company provides the necessary equipment for telework, including a laptop, charger, mouse, and second screen upon request. The employee is responsible for ensuring a functional internet connection. The employee is not reimbursed for any additional costs related to telework setup or maintenance. (Article 4.4)

- *","The right to disconnect and privacy of the worker is not explicitly mentioned in the document. However, the employee is required to ensure the confidentiality and security of data stored on the provided equipment. In case of non-compliance, the company may request the return of the equipment and terminate the telework arrangement. (Article 4.5)",T09321008102-37903915900015
23,"Employees who are eligible for telework include those with a permanent contract, working full-time or at least 80% of a full-time position, not in a trial period, with at least 6 months of tenure in their role, having sufficient autonomy in their tasks, able to work independently from the office, and exerting a function compatible with remote work (Article 3.2).

- F","The frequency of telework allowed is not explicitly stated in the document. It depends on the agreement between the employee and the employer (Article 4.1).

- A","To establish telework arrangements, the employee must make a written request to the HR department and their manager. The manager can also propose telework, which the employee can refuse without consequences. Once agreed upon, an addendum is added to the employment contract specifying the terms of the telework arrangement (Article 4.1).

- C","The company provides the necessary equipment for telework, including a laptop, headset with microphone, and secure remote access to the company's network. The employee is responsible for having a high-speed internet connection and a suitable workspace at their home. No financial compensation is provided for working from home (Article 5.4).

- P","The company has a charter that outlines the rules for using IT resources. Employees are not required to respond to emails outside of regular working hours, thus ensuring a right to disconnect. The employee's home, used as a workplace, must meet health and safety requirements (Article 6.2 and 6.3).",T03320005468-50414162300042
24,"- All IT staff based near Toulouse and currently assigned to the Colomiers site are eligible for telework (Article 2).

F","- Telework is regular and full-time, with an expected duration of 5 days per week (Article 1).

A","- The telework arrangement is established through a written agreement between the employer and the employee, following the employee's acceptance of the telework proposal within a 15-day period (Article 3).

C","- The company will provide necessary equipment and furniture for the employee's home office. An allocation forfaitaire of 50 euros per month will be provided to cover fixed and variable costs related to the use of a private location for professional purposes (Article 11 and 12).

P","- The company and employee will agree on specific plage horaires for availability and responsiveness during working hours. The employee is expected to respect the right to disconnect and not engage in professional activities outside of these hours (Article 10 and 15).

Note: The document does not explicitly mention any provisions for the privacy of the worker beyond the right to disconnect.",T07821009702-59205630300064
25,"- Workers eligible for telework are those with a permanent contract, apprenticeship contract, or professional training contract, who have been employed for at least 6 months and work full time or at least 80% of full time. Their job must be suitable for remote work, and they must have the necessary autonomy and technical requirements to work from home (Article 3).
- F","- The frequency of telework allowed is at least 3-4 days per week for full-time workers and at least 2-3 days per week for part-time workers working at least 80%. The maximum number of days that can be worked remotely per week is 2 (Article 5).
- A","- To establish telework arrangements, the employee must make a request to their manager, who will examine the request with the support of the Human Resources Department. The manager or employee will then provide a response in writing within one month. If the employee's request is accepted, they must provide proof of home insurance, a high-speed internet subscription, and an attestation of compliance with electrical regulations (Article 6).
- C","- The company will provide, configure, and maintain the necessary bureautic equipment and communication means, such as a laptop and/or a telephone, as well as secure access to the company's network. The employee is not allowed to use their own equipment (Article 8).
- P",- The document does not mention any provisions for the right to disconnect or the privacy of the worker (not found in the text).,T02622004091-52921374600017
26,"- Employees with a permanent contract and at least six months of seniority at their position are eligible for telework (Article 3).
   - Employees must be able to manage their projects, missions, and attributions autonomously using communication tools.
   - Employees must have functions that don't require permanent presence in the company's facilities.
   - Employees must have functions that require the use of a professional laptop and telephone.
   - Exceptions: Apprentices, interns, IT support technicians, employees with a fixed-term contract, and permanent reception staff are not eligible for telework (Article 3).

2. F","- Telework is limited to three days per month, with a maximum of one day per week (Article 6).
   - Days dedicated to telework must be fixed at least fifteen days in advance with the validation of the hierarchical superior.
   - The hierarchical superior can determine the organization of telework within their team to ensure a minimum presence of collaborators on the usual place of work each day of the week.

3. A","- Employees must submit their request in writing to their manager, who will respond within fifteen days to arrange an interview (Article 4).
   - The manager will provide the employee with all necessary information regarding telework conditions.
   - In case of refusal, the manager must justify the decision in writing.

4. C","- The company will cover the costs of setting up IT for telework (Article 8).
   - If telework results in additional costs for the employee, they will be reimbursed upon presentation of a duly justified invoice (Article 12).

5. P",- The document does not mention any specific provisions regarding the right to disconnect or teleworker privacy.,T09319003352-41091743900060
27,"- Eligible: All employees with a permanent or temporary contract, except for interns, trainees, and itinerant workers. The work must be able to be done remotely, not require close management, and not disrupt the team's functioning (Article 3).
- Not eligible: Employees with jobs that require them to be on-site, interns, trainees, and itinerant workers (Article 3).

2. F","- Eligible employees can telework up to 40% of their working hours per month, equivalent to two days per week for full-time employees (Article 4.1).
- Alternating interns and trainees can telework up to 40% of their working hours per week (Article 4.2).

3. A","- Employees must submit their request directly to their manager, who will confirm the compatibility of the position with telework and set a start date (Article 4.3-4.4).
- A two-month adaptation period is provided for both the employer and employee to assess the arrangement (Article 4.5).

4. C","- The company provides an ordinateur portable (laptop), secure network access, and a telephone or Teams solution for teleworking (Article 10).
- Additional equipment, such as two large monitors, may be provided for home office setup (Article 10).
- Employees are responsible for informing their insurance company about the equipment (Article 10).

5. P","- The employee must ensure the confidentiality and integrity of data and inform the manager of any issues (Article 11).
- The employee is required to stay reachable during specified hours and take a minimum 11-hour break between workdays (Article 8 and Annex 1).
- The company must respect the employee's right to disconnect (Article 8).

The document does not mention:
- Specifics on the process for obtaining permission to telework.
- Cost coverage for hébergement/transport in case of on-site requirements.
- Measures for employees with disabilities or pregnant employees beyond the general provisions (Article 13).
- Specifics on the",T09222034278-59206713600057
