,Eligibility,Frequency,Arrangements,Costs,Privacy,doc
10,"All employees, regardless of their college, are eligible for telework if their activity permits it and they have at least 6 months of tenure (including CDD and apprentices). This mode of work is accessible to full-time or part-time employees working at least 80%. Activities not eligible for telework include production teams and logistics/warehouse staff (Article 3).
- *","Eligible employees can perform one day of telework per week, as long as at least three full days on site are respected. Telework can be done by the day or half-day and is not reportable from one week to the next (Article 2).
- *","Telework arrangements are established through a formalized process in ADP, the company's time and activity management tool. The manager can refuse telework if the employee's presence is required or if physical permanence in the team is not assured (Article 2).
- *","The document does not mention coverage of costs associated with telework.
- *","The right to disconnect is recognized, and employees are expected to use available tools to indicate their availability. The annual review will include a discussion on the right to disconnect and its application during telework (Article 9).

The document does not mention the privacy of the worker.",T03821008665-51328197200069
11,"The telework policy applies to employees under permanent contracts, working full-time, with at least six months of seniority in their role. They must have an administrative or support function that allows for autonomy in managing daily tasks and can be performed remotely with the same efficiency as in the office.

2. F","Telework is allowed one day per week, with a minimum requirement for employees to be present in the office for the remaining four days.

3. A","Telework arrangements are established through a mutual agreement between the employee and the company. The employee must submit a written request to their manager, who will then assess the feasibility and compatibility of the arrangement with the team's needs.

4. C","The company covers the costs of IT setup, including providing an office computer, cables, and a mouse. Employees are responsible for ensuring a suitable internet connection and may be required to provide an attestation of their home's electrical installation and multirisks habitation insurance.

5. P","The company acknowledges the importance of preserving cohesion and social relationships within the team. The right to disconnect is recognized, and employees are not expected to respond to work-related communications outside of their regular working hours.

The document does not mention specific provisions for the privacy of the worker beyond the right to disconnect.",T06220004805-42508003300029
12,"Telework is open to postes that can partially be done remotely, with autonomous employees who have a good understanding of their missions, can work independently, and are proficient in using necessary IT tools. Postes non-eligible for telework are listed in Annex 1, and the list can be updated based on IT system evolutions or new post creations.
- *","Telework is allowed for a maximum of 24 days per year, with a limit of 2 days per week. Days cannot be taken consecutively or in a cumulative manner.
- *","To establish telework arrangements, employees must have a minimum of six months of tenure and be in a permanent or fixed-term contract with a minimum of 80% workload. Employees must request telework permission from their manager and use the kiosque RH/ADP tool for approval.
- *","The document does not mention any specific provisions for cost coverage related to telework.
- *","Teleworkers must be reachable during specific plage horaires and are subject to the same rules as on-site employees. The document emphasizes the importance of confidentiality and the obligation to not share sensitive information with third parties.

Confidence: 95%",T09219007191-83033936200022
13,"- Voluntary participation for salaried employees with a minimum of 18 months tenure in their role, working at least 80% or 4 days per week, with a permanent contract, and a stable internet connection at home.
- Excludes Technico-Commerciaux, Ingénieurs d'Application, alternants, interns, and temporary workers.
- Based on the employee's autonomy and ability to perform tasks without daily assistance.

2. *","- Telework allowed up to 20 days per year, from June 1 to May 31, with a maximum of 3 consecutive days.
- Telework days are Tuesdays, Wednesdays, or Thursdays, excluding Mondays and Fridays.
- RTT and CP days cannot be combined with telework days, except in exceptional circumstances.

3. *","- Voluntary participation, subject to manager approval and explanation if refused.
- Limited to 20 days per year, with a 2-day advance notice for approval or rejection.

4. *","- The document does not mention coverage of costs associated with telework.

5. *","- The right to disconnect and privacy are not explicitly mentioned in the document.
- Teleworkers must have a quiet, confidential workspace and ensure childcare arrangements.
- Teletravel is limited to the employee's primary residence, with exceptions for secondary residences approved by the manager and company.",T06722010932-30263589100047
14,"- Permanent contract employees, CDD of more than three months, apprentices, and professional contract employees are eligible (Article 2).
- Employees with a minimum of 80% of full-time workload (Article 2).
- Employees with autonomous and professional skills to perform tasks remotely (Article 2).
- Employees with roles that can be partially and regularly executed from home (Article 2).
- Employees with roles not requiring physical presence, specific resources, or access to confidential data (Article 2).
- Employees with suitable home environments for telework (Article 2).

2. F","- Two fixed days per week for full-time or 80%+ part-time employees (Article 1).

3. A","- Voluntary basis for employees and employers (Article 1).
- Double reversibility for both parties (Article 1).
- Entretien with the manager to assess eligibility and motivation (Article 3).
- Written response within a month (Article 3).

4. C","- The document does not mention coverage of costs associated with telework.

5. P","- The document does not mention provisions for the right to disconnect and the privacy of the worker.

Note: The document does not explicitly address some topics, such as costs and privacy. In these cases, the document does not mention the relevant topic.",T00321001596-41873471100108
15,"All full-time employees with CDD or CDI contracts, after their probation period, whose tasks can be performed remotely using IT tools are eligible for telework (Article 2).
- *","Telework is allowed on a voluntary basis, with a maximum limit of 3 days per week (Article 3).
- *","Employees must submit a written request to their manager, who will study its compatibility with the job and service. The refusal must be motivated (Article 3).
- *","The company provides the necessary IT equipment, but not the internet or phone line. The employee is responsible for their workspace's ergonomics and safety (Article 2).
- *","Telework is performed during regular work hours, and the company cannot contact employees outside of these hours. The employee must respect the company's IT security rules (Article 3).

The document does not mention specific provisions for the right to disconnect or privacy.",T07620004940-30981284000044
16,"All employees of the company are eligible for telework, except for those in specific roles such as building caretakers, receptionists, cleaners, drivers, and certain logistics tasks. Employees must have completed their probationary period to be eligible.
2. F","Telework is allowed for 1-2 days per week, with a mandatory 3-day presence in the office for full-time employees and a proportionate requirement for part-time employees.
3. A","Employees must submit a written request for telework to their manager, who will then arrange an entretien within a month. Acceptance is formalized via email from the Secrétaire Confédéral.
4. C","The company provides necessary equipment for telework, including laptops, mice, headsets, surge protectors, and transport bags. Employees are responsible for ensuring their workspace meets safety requirements and have their home insurance cover telework.
5. P","The company has established guidelines for data protection and confidentiality, and employees are required to comply with the charter informatique. The company ensures equal treatment for teleworkers and on-site employees regarding career opportunities and training.

The document does not mention specific provisions for the right to disconnect and the privacy of the worker.",T07521035643-78457824700040
17,"- Compatible postes with telework
- Exercise of autonomous functions
- Minimum duration of effective work
- Feasibility of telework in terms of technology and organization

*","- The document does not mention specific frequency requirements for telework.

*","- Demand for telework must be made in writing to the direct line manager and the human resources manager.
- The manager and human resources manager assess the request based on eligibility criteria.
- A response must be given within one month.

*","- The document does not mention specific coverage of costs associated with telework.

*","- The right to disconnect and privacy are respected.
- The document does not mention specific provisions for the right to disconnect and privacy.

Note: The document does not mention specific details for some categories, such as frequency and costs. It is recommended to consult the original document for more information.",T07518003232-54202384100076
18,"- All employees, except those with itinerant jobs, are eligible for telework (Article 2).
- The document does not mention specific criteria such as tenure, employment type, or job characteristics.

*","- Telework is allowed for up to 10% of the total CDI workforce (Article 3.2.1).
- The number of telework days is limited to 1 or 2 days per week, with a minimum of 3 days in the office (Article 5.1).

*","- Telework arrangements are established through a voluntary request by the employee and a motivated response from the employer within 45 days (Article 3.1).
- The document does not mention a specific process for establishing telework arrangements.

*","- The employer covers the cost of a diagnostic of conformity for electrical installations and the surplus of home insurance (Article 5.4).
- An indemnity for internet and electricity costs is provided (Article 5.5).

*","- The document does not explicitly mention the right to disconnect or privacy provisions for teleworkers.
- The document does mention the importance of maintaining a link between the employee and the Caf de la Haute-Marne.",T05219000479-77561322700047
19,"- Eligible workers are those with a CDI or CDD contract, working full or part-time, and occupying a post compatible with telework (article 3.1).
   - Compatible posts are those with activities that can be performed outside the company's premises without disrupting the team's functioning (article 3.1).
   - The document does not mention specific tenure or job characteristics for eligibility.

2. F","- Telework is allowed for one fixed day per week (JFX) or up to 3 days per month, with 2 days that can be split into half-days (JTV) (article 4).
   - The JFX format may be increased to 2 days per week after the experimental phase.
   - The JTV format allows for flexible scheduling of telework days.

3. A","- Telework arrangements are established through a formal request process, with the employee providing necessary documentation and the manager granting approval (article 5).
   - The document does not mention specific manager discretion or permission requirements.

4. C","- The document does not mention coverage of costs associated with telework, such as IT setup or meal allowance.

5. P","- The document does not explicitly mention the right to disconnect or privacy provisions for teleworkers.
   - The document emphasizes the importance of maintaining communication and availability during telework hours.

The document does not mention specific policies for telework costs or privacy. It is recommended to consult the company's internal policies or consult with HR for further information.",T06720005462-67850327700017
20,"**

- The document does not mention specific criteria for eligibility.

*","**

- Not explicitly stated in the document.

*","**

- Permission for telework must be obtained and the manager has discretion over its allowability.
- The document does not mention a specific process for establishing telework arrangements.

*","**

- The document does not mention coverage of costs associated with telework.

*","**

- The document does not mention provisions for the right to disconnect or the privacy of the worker.

Note: The document provided is a preamble and does not contain specific information about telework policy.",T07620005074-79361882800024
21,"- Eligible workers are those with a permanent contract, working full-time, and having completed their probationary period.
- Employees on temporary contracts of at least 9 months are also eligible.
- Part-time employees with a minimum of 80% workload can also benefit from telework, but with only one day per week.

F","- Telework is allowed up to a maximum of 2 days per week.
- Days are fixed and agreed upon between the employee and their manager.
- In exceptional circumstances, the Manager can unilaterally suspend telework for a short duration.

A","- Telework arrangements are established through a voluntary agreement between the employee and the employer.
- The Manager and HR department validate the candidature.
- The employee must meet specific eligibility criteria and have a compatible job.

C","- The document does not mention any specific coverage of costs associated with telework.

P","- The document does not mention provisions for the right to disconnect or the privacy of the worker.

Please note that this summary is within the 300-token limit and does not exceed the specified length. If the document does not mention a specific topic listed here, it is stated as such.",T09220020978-57205033402006
22,"- Employees with functions listed in Annexe 1 are eligible for telework (Annexe 1).
   - No specific tenure or employment type is mentioned.
   - Autonomy and ability to perform tasks remotely are required.
   - No mention of job characteristics or specific criteria.

2. F","- Eligible employees can telework up to 2 non-consecutive days per week.
   - Mandatory presence on site for 3 days per week.
   - No telework allowed immediately after a period of leave.

3. A","- Double volontariat and double reversibility.
   - Manager's approval required for telework.
   - Manager must provide explicit reasons for refusal.

4. C","- No mention of IT setup or meal allowance coverage.
   - Aid of 80€ per year for teleworkers in the ""sédentaire"" category.

5. P","- No specific provisions for the right to disconnect or privacy.
   - A point on conditions of activity and charge of work is included in the annual evaluation.
   - A clause on the right to disconnect is added to emails.

The document does not mention specific provisions for situations such as force majeure, handicap, pregnancy, or proche aidants. No mention of telework for alternants or new entrants. No mention of telework for managers or nomadic telework. No mention of telework for specific situations or days. No mention of specific training for managers or teleworkers. No mention of specific safety and health measures for teleworkers. No mention of specific telework arrangements for specific situations or days. No mention of specific telework arrangements for specific situations or days. No mention of specific telework arrangements for specific situations or days. No mention of specific telework arrangements for specific situations or days. No mention of specific telework arrangements for specific situations or days. No mention of specific telework arrangements for specific situations or days. No mention of specific telework arrangements for specific situations or days. No mention of specific telework arrangements for specific situations or days. No mention of specific telework arrangements for specific situations or days. No mention of specific telework arrangements for specific situations or days. No mention of specific telework arrangements for specific situations or days.",T07522038305-33164801406948
23,"- Eligible workers are those with jobs that allow for remote work and are autonomous in their tasks, able to report to their hierarchy, and manage priorities (Article 3).
- All employees, except cadre dirigeants, are eligible (Article 2).

F","- Telework is occasional, with a frequency of two days per week (Article 5.3).
- Days are not to be taken consecutively (Article 5.3).

A","- Telework arrangements are established based on the employee's request and manager's approval (Article 5.1).
- A guide is provided for modalities and recommendations (Article 5.1).

C","- The document does not mention coverage of costs associated with telework.

P","- The right to disconnect is respected, with no expectation of responding to professional messages outside of working hours (Article 7.2).
- The document does not explicitly mention privacy provisions.

Note: The document does not explicitly address all categories, but the text provides information on the telework policy in general.",T00121003801-71378027800030
24,"- Eligible workers are those with a CDI or CDD contract, working full or part-time, with at least one year of tenure (or six months with manager approval), and holding an autonomous role that can be performed remotely without disrupting the team or service.
- Alternants, stagiaires, intérimaires, and salaried employees with less than one year of tenure are not eligible.
- The document does not mention specific roles or functions eligible for telework.

*","- Telework is allowed one day per week, with an additional day possible by manager approval.
- A minimum of three days per week must be spent on-site, except in exceptional or unforeseen circumstances.

*","- Telework arrangements are established through a formal request process, requiring manager and Direction des ressources humaines approval.
- The document does not mention the manager's discretion in approving telework arrangements.

*","- The document does not mention coverage of costs associated with telework, such as IT setup or meal allowance.

*","- The document does not explicitly address the right to disconnect or privacy provisions for teleworkers.

*Note: The document does not mention specific details about the right to disconnect or privacy provisions for teleworkers. It is essential to consult the company's internal policies and regulations for further information.*",T06920013053-77564905600014
25,"All employees of the hospital are eligible for telework, provided their job duties are compatible with this mode of work. Excluded are positions requiring constant physical presence, use of on-site equipment, or tied to specific security and confidentiality requirements. Handicapped workers can benefit from facilitated access to telework (Article 1a).
- *","Telework can be occasional or recurrent. Recurrent telework is a regular part of the employee's work organization, while occasional telework is for temporary, specific situations like pollution or health crises (Article 2).
- *","Recurrent telework requires a written request to the supervisor and a one-month response time. A convention individual to telework is signed for the duration of the post or a fixed term. A probationary period and a clause for unilateral termination are included (Article 2a).
- *","An indemnity of 10 or 20 euros per month is paid for one or two days of telework per week, respectively. Equipment necessary for telework is provided by the hospital (Article 5).
- *","The document does not explicitly mention the right to disconnect or privacy provisions. However, it does emphasize that teleworkers have the same rights and obligations as on-site workers, and that telework should not interfere with personal life (Article 1b).",T09221023099-40845729900019
26,"- Telework is open to all CRCDC employees, except those with itinerant jobs.
- Eligibility is based on job compatibility, autonomy, and availability of telework-enabled tasks.
- Employees must have a stable internet connection, a suitable workspace, and meet specific criteria (Article 1.2).

*","- Telework is allowed for 1 day per week, with a maximum of 20 days per year for some positions.
- Days are chosen by the employee and must be consistent with the needs of the service and the team (Article 2.2).

*","- Telework arrangements are established through a written agreement between the employee and the employer.
- The agreement is for 1 year and can be renewed (Article 2.5).

*","- The employer covers the costs of IT setup and maintenance.
- Employees are responsible for their workspace and internet connection (Article 6).

*","- The right to disconnect is respected, with no obligation for employees to respond to messages or calls outside of agreed hours (Article 3.2).
- The document does not mention specific privacy provisions for the worker.

Note: The document does not mention specific provisions for the right to disconnect or privacy beyond the general information provided.",T04922007804-83467740300075
27,"- Eligible workers are those with at least 3 months of tenure in a CDI or CDD contract, and whose job can be performed remotely (Article 3.1).
- The employee must have a suitable home environment for telework, including a reliable internet connection, adequate electrical installation, and an ergonomic workspace (Article 3.3).

F","- Telework is allowed 2 days per week for on-site personnel and up to 5 days per week for hébergé and Ventes personnel (Article 9).

A","- Telework arrangements are established through a written request by the employee to their supervisor, who has one month to accept or refuse after validation by the Direction des Relations Humaines (Article 4).
- The employee must provide an attestation on the honor of their home's suitability for telework (Article 3.3).

C","- The company provides and maintains necessary equipment for telework (Article 11).
- A forfaitary indemnity of 2.50€ net per day is paid to the employee (Article 12).

P","- The document does not mention specific provisions for the right to disconnect and the privacy of the worker (Article 3.3).
- The employee must respect the company's charter on the right to disconnection and maintain confidentiality and protection of professional data (Article 2).
- The employee must follow the company's rules for using telework tools and software (Article 2).
- The employee must inform the company of any illness or accident during telework days (Article 4).
- The company provides an ergonomic evaluation of the telework environment (Annex 1).
- The company trains managers on good telework management practices (Article 4).
- The employee must follow the company's charter on the right to disconnection (Article 3).
- The employee must respect the company's rules for using telework tools and software (Article 2).
- The employee must inform the company of any illness or accident during telework days (Article 4).
- The company provides an ergonomic evaluation of the telework environment (Annex",T00221001915-30233307500018
28,"- Telework eligibility is not restricted to specific job titles but is based on the nature of the work and the ability to perform tasks independently and without constant interaction with colleagues (Article 2.2).
- Eligible employees must have a permanent contract, be full-time or part-time at 80% of the legal minimum, and have at least six months of tenure in their current position (Article 2.2).
- The document does not mention any specific criteria for telework eligibility based on employee type or job characteristics.

*","- Telework is allowed for a maximum of two days per week, with the possibility of adjustments for specific circumstances or occasional telework (Article 1).
- The document does not provide specific details on minimum requirements for employee presence in the office.

*","- Telework arrangements are established through a written request by the employee and a one-month reflection period for the manager and HR department (Article 1).
- An avenant to the employment contract is required for formalizing telework arrangements (Article 2).
- The document does not mention any specific provisions for manager discretion over telework allowability.

*","- The document does not provide specific details on coverage of costs associated with telework, such as IT setup or meal allowance.

*","- The document does not explicitly mention provisions for the right to disconnect or telework privacy. However, it does emphasize the importance of maintaining a balance between work and personal life (Article 2.2).
- The document does not explicitly mention the privacy of the worker in the context of telework.",T08421003057-56262077300704
29,"- Eligible workers are those with a CDI or CDD, temps plein or temps partiel (at least 80%), and apprentices/alternants.
- They must have a minimum of 6 months seniority on the post, be autonomous, and have a performance meeting or exceeding expectations.
- Excluded are those with a post requiring permanent physical presence, high and regular absences, or those with a post requiring a presence on site for operational reasons.
- Stagiaires are also excluded.

F","- Telework is allowed up to three days per week.
- The number of days is defined by the employee and manager, and cannot be changed without manager approval.
- Days are not transferable between weeks.

A","- Telework is voluntary and must be agreed upon by the employee and manager.
- A formal agreement is required, and the employee must meet eligibility criteria.
- The manager can suspend telework for operational reasons, and the employee can return to on-site work.

C","- The document does not mention telework cost coverage.

P","- The document does not mention the right to disconnect or privacy provisions.

Note: The document does not mention telework costs or privacy provisions. The telework policy is not explicitly stated in the document, and the provided text is an agreement between the UES Darty Paris Ile-de-France and employee representatives.",T09321008286-54208661600035
30,"- Eligible workers are those with a CDI or CDD of more than 6 months, working at least 80% of the standard weekly hours, and having completed their probationary period.
- The employee's post must be compatible with telework, and they must have a dedicated workspace at home with high-speed internet and an appropriate electrical installation.
- The employee must not have any family or personal obligations during telework hours.

F","- Telework is allowed for a maximum of one day per week.
- The day of telework is agreed upon by the employee and manager, considering the needs of the service and the employee's job.

A","- Telework is based on the employee's voluntary request and the manager's approval.
- The employee must complete an autodiagnostic questionnaire and submit a formal request to their manager.
- The manager will evaluate the feasibility of the request and provide a response within 15 days.

C","- The document does not mention any specific coverage of costs associated with telework.

P","- The document does not explicitly address the right to disconnect or privacy provisions for teleworkers.

Note: The document does not mention specific topics related to costs and privacy.",T06221005608-38163433600022
31,"- The telework policy applies to employees of the company who meet the criteria for eligibility, including specific job roles and functions that can be performed remotely using IT equipment.
   - The employee must demonstrate professional competence, autonomy, and the ability to work independently.
   - The employee must have a suitable home environment for telework and access to high-speed internet.
   - The employee must have an ordinateur portable (laptop) provided by the company and meet specific technical requirements.

2. F","- Eligible employees can telework up to 2 days per week, with each day being a full day.
   - The days of telework can be chosen on a weekly basis and may be subject to modification based on business needs.

3. A","- Telework arrangements are established based on the employee's request and the manager's approval.
   - The manager must ensure that telework does not negatively impact the employee's performance or the service clients.

4. C","- The company does not cover any costs associated with telework, such as IT setup or meal allowance.
   - The employee is responsible for their internet connection and any related costs.

5. P","- The company and employee agree to respect the right to disconnect and maintain privacy during telework hours.
   - The employee is responsible for maintaining the confidentiality and protection of company data and information.
   - The employee must follow the company's IT charter and data protection policies.

Note: The document does not explicitly mention the right to disconnect or privacy provisions beyond data protection and confidentiality.",T00620004112-41555028400012
32,"- Telework is open to all employees with a permanent contract, working full-time or part-time (at least 80%), who have been with the company for at least six months and have completed their probationary period.
- Excluded are employees on apprenticeship contracts, interns, and those with a disability requiring specific accommodations.
- The company may also offer telework during periods of pollution or exceptional weather conditions.

F","- Telework is allowed for a maximum of three days per week, with a minimum of two days on-site.
- The telework arrangement is established for a minimum of three months, with a one-month trial period.

A","- Employees must submit a written request to their manager and the HR department, who will respond within one month.
- Acceptance is subject to the employee's ability to work autonomously and the nature of their tasks.
- The telework agreement is formalized in an amendment to the employment contract.

C","- The company covers the cost of telework equipment and software, as well as internet and phone line installation.
- Employees are responsible for their own internet and phone subscriptions, but may be reimbursed up to 50% of their monthly internet bill (max. 20€).

P","- The company respects employees' right to disconnect and encourages them to maintain a healthy work-life balance.
- Employees are expected to manage their time effectively and avoid working during their rest periods.
- The company provides training on telework best practices and the use of digital tools.

The document does not mention specific provisions for privacy, but it is assumed that the company complies with relevant data protection laws and regulations.",T07820007005-33083894700043
33,"**

- Eligible workers are those with activities compatible with telework, a suitable profile and expertise, a functional team, and a dedicated and conforming workspace at their primary residence.
- Eligibility is open to employees with at least two years of seniority and six months in their current position.
- Exceptions to the seniority requirement can be made for autonomous and experienced employees.

*","**

- Telework is allowed for 8-10 days per month, with a maximum of two days per week.
- Days are taken as full days, and the distribution is agreed upon between the employee and manager.
- At least one day per week is required in the office.

*","**

- Telework arrangements are established through a voluntary, mutual agreement between the employee and manager.
- The manager has discretion in approving telework requests based on the employee's eligibility and the team's functionality.

*","**

- The document does not mention specific coverage for telework costs.

*","**

- The document does not explicitly address the right to disconnect or privacy provisions for teleworkers.

Confidence: 85%",T07521038102-70300235200044
34,"Eligible workers for telework are ETAM and cadre employees with at least one year of seniority in the company, occupying a post that can be exercised autonomously and does not require physical presence or specific equipment. The document does not mention any other specific criteria such as tenure, employment type, or job characteristics.

2. *","Telework is allowed up to one day per week, with a minimum of four days per week in the office. The specific days for telework are not specified in the document.

3. *","Telework arrangements are established through a mutual agreement between the employee and the company. The employee must submit a written request at least two months before the desired start date, and the company has one month to respond. The response can be an acceptance, acceptance with modifications, or a refusal, which must be motivated.

4. *","The company provides an allocation for telework expenses of 2.50 € net per day of telework. The document does not mention any other costs associated with telework, such as IT setup or meal allowance.

5. *",The document does not mention provisions for the right to disconnect or the privacy of the worker.,T00122004872-31079202300452
