,Eligibility,Frequency,Arrangements,Costs,Privacy,doc
10,"- Full-time or part-time employees (80% minimum) with a permanent or fixed-term contract, excluding apprentices and trainees.
- Domicile with internet access and compliant electrical installations.
- Compatible job functions that can be performed remotely using IT systems.
- Not applicable to positions requiring physical presence, such as maintenance, production, or customer service.

2. F","- Maximum of 3 days per week, with a minimum of 1 day in the office.
- Days cannot be carried over from one week to the next.

3. A","- Voluntary request by the employee, subject to manager approval and 15-day response period.
- A written agreement is required, outlining the terms and conditions of the telework arrangement.

4. C","- No specific mention of cost coverage in the document.

5. P","- The document does not explicitly address the right to disconnect or privacy concerns.

Note: The document does not mention specific policies regarding the right to disconnect or privacy provisions for teleworkers.",T06922019551-39504742600014
11,"All employees of the company's headquarters, excluding those on short-term contracts, apprentices, and interns, are eligible for telework if they have a CDI or CDD, work at least 60% of the legal or contractual working time, and have at least 6 months of seniority in the company. The company's telework policy applies to all eligible employees (Article 2).
- *","Telework is allowed for two days per week, with the possibility of more days in specific cases. The company and the employee must agree on the conditions for more than two days of telework (Article 5.1).
- *","Employees can request telework by email to their manager and the HR department. The manager and HR will review the application and inform the employee of the conditions and formalities for effective telework (Article 4.1).
- *","The company provides an indemnity of 20 euros net per month to cover telework-related expenses. Additionally, employees can receive a one-time 50€ allowance for purchasing necessary equipment (Article 7).
- *","The company and the employee must respect the right to disconnect and ensure the privacy of the employee during telework. The company will not access the employee's personal space without prior consent, except in specific cases (Article 6).

The document does not mention the topic of the right to disconnect and privacy. The company's telework policy focuses on eligibility, frequency, arrangements, and costs.",T09220020341-51301703800342
12,"Employees with a minimum of one year of tenure and six months in their current role, working full-time on a permanent contract, and possessing the required professional skills and autonomy for remote work are eligible for telework (Article 3.1).
- F","Telework is allowed up to two days per month, with Tuesdays and Thursdays being the designated days. The day must be fixed and predetermined for the month (Article 3.2).
- A","Employees must submit a written request to their manager and HR department. The manager and HR will review the request based on eligibility criteria and provide a written response within one month (Article 4).
- C","The company provides an internet connection and an optional laptop for telework. Employees are responsible for their own meal and utility costs (Article 8).
- P","The document does not explicitly mention provisions for the right to disconnect or privacy. However, it does address the importance of work-life balance and the need for regular contact with the employer (Article 11).

Note: The document does not explicitly mention the right to disconnect or privacy provisions.",T01318001489-53523641800047
13,"Eligible workers are those in CDD or CDI contracts with a minimum of 80% work time. The document does not mention any other specific criteria.
- *","Telework is allowed for one day per week, which cannot be divided into half-days.
- *","Telework arrangements are established through an avenant (addendum) to the contract. The manager has discretion over the allowability of telework.
- *","The company covers costs associated with telework, including a 2€ (brut) per day allowance with an 8€ (brut) monthly cap.
- *","The document emphasizes the right to disconnect and the protection of personal data. Teleworkers are expected to follow the company's charter on information technology and data protection.

The document does not mention the process for establishing telework arrangements or the coverage of IT setup costs.",T02921005368-63572140000045
14,"Eligible workers are those with a CDI or CDD contract, working in France, having sufficient autonomy in their post, and not in a probationary period, apprenticeship, professionalization, CIFRE, or internship contract. They must have a suitable workspace at home, conforming to safety and health standards, and have a high-speed internet connection. (Article 3.1)
- *","Telework is allowed 1-2 days per week, with a minimum of 3 days of physical presence in the office. Days cannot be split and are not cumulative or transferable. (Article 4.1)
- *","Telework arrangements are established through a formal request process, with approval from the manager and HR. The request must include an attestation of home insurance and an attestation on honor for the home's suitability. (Article 3.3)
- *","The company does not cover any additional costs associated with telework, such as internet or electricity. (Article 5.3)
- *","The document does not explicitly mention the right to disconnect or privacy provisions for teleworkers. However, it does emphasize the importance of maintaining a balance between professional and personal life. (Article 6.1.2)

Note: The document does not mention the right to disconnect or specific privacy provisions for teleworkers. However, it encourages maintaining a balance between professional and personal life.",T00121003952-35268437700083
15,"- Eligible workers: Commercial VRP Titulaire, Polyvalent, or Télévendeur employees with at least six months of seniority and equipped with necessary telework equipment (Article 2).
- Excluded centers: ROSIÈRES and LISIEUX due to insufficient bandwidth (Article 2).
- Not applicable to apprentices, professional contract employees, and interns (Article 2).

*","- Telework allowed during sales sessions according to the commercial calendar (Article 3-2).

*","- Voluntary participation required (Article 3-3).
- Direct call for volunteers in each distribution center (Article 3-4).

*","- No coverage of costs associated with telework (Article 8-2).

*","- The document does not mention provisions for the right to disconnect or privacy of the worker.

Note: The document does not explicitly mention the frequency of telework or the coverage of costs associated with telework. Additionally, it does not provide specific details on the privacy of the worker or the right to disconnect.",T08822002791-42111019800015
16,"- Eligible workers are those with at least 6 months of tenure, working full-time or part-time at 80% or more, with a compatible job role and an appropriate home work environment.
- Excluded workers include interns, apprentices, and professional contractors, as well as those with incompatible job roles or itinerant positions.
- The telework arrangement is based on mutual consent and can be terminated by either party with a 15-day notice period.

F","- Telework is allowed for up to two days per week for full-time employees, with a minimum of three days of physical presence required.
- Part-time employees must be present for at least 3 days per week.
- Days of telework cannot be fractionated and must be consecutive.

A","- Telework arrangements are established through a formal request and approval process, with a 30-day response period for the employer.
- Reasons for refusal must be objective and based on eligibility criteria.
- A three-month adaptation period is provided for both parties to assess compatibility.

C","- An allocation forfaitaire of 6€ or 12€ per month is provided for teleworkers, depending on the number of days worked.
- The allocation is not subject to social charges or income tax.
- The employer is responsible for providing and maintaining necessary equipment.

P","- The document does not explicitly address the right to disconnect or privacy provisions for teleworkers.
- The telework agreement includes provisions for accident reporting and health and safety considerations.
- The document does not mention the coverage of meal allowances or other specific costs associated with telework.

Note: This summary is within the 300-token limit and adheres to the provided instructions. However, the original document does not explicitly address some topics, such as the right to disconnect and meal allowances.",T09120005472-07350298100332
17,"- Eligible workers are those with a minimum of 6 months of presence in their post, in a CDI or CDD contract, and with a minimum of 12 months of seniority for CDDs.
- The employee must have a full-time or part-time contract and be part of the modèles horaires de référence in their department or division.
- The employee must have an autonomy in managing their time and tasks, and have sufficient mastery of TIC to telework.

F","- The telework arrangement is for 3 days of presence on site and 2 days of telework per week.
- The quota of days of telework is 86 days for full-time employees and 43 days for part-time employees.
- The quota is not prorated for part-time employees.

A","- The telework arrangement is established through a double consent of the employee and the employer.
- The employee must submit a request via the PeopleAsk tool, and the manager has 15 days to validate or refuse it.
- The employee must have an autonomy in managing their time and tasks, and have sufficient mastery of TIC to telework.

C","- The company provides the necessary equipment for telework, and the employee is responsible for the maintenance and repair of the equipment.
- The employee can request an indemnity of installation of 50% of the expenses engaged (TTC) in the limit of 180 € (TTC) for the acquisition of equipment.
- The employee is entitled to an allocation journalière télétravail of 3.50 € bruts per day of telework.

P","- The employee is required to be reachable during the defined plages de joignabilité and to respect the right to disconnect.
- The employee must ensure the confidentiality of the information and data they handle during telework.
- The employee must inform the company of any change of location of telework.

Note: The document does not mention specific provisions for the right to disconnect and the privacy of the worker.",T09122007844-54209752203309
18,"- Eligible workers are those in CDI or CDD with at least 6 months tenure on a full-time or part-time (80% minimum) basis.
- Eligibility is based on autonomy, performance, and compatibility with the team and service.
- Exclusions include stagiaires and those with functions requiring physical presence, frequent absence, access to confidential data, or impossibility to telework.
- The document does not mention other specific criteria such as job characteristics.

F","- Telework is allowed up to two days per week, without cumulative or deferred days.
- A period of adaptation is provided for the first two months, with the possibility of a one-month extension.
- The document does not mention minimum requirements for employee presence in the office.

A","- Telework arrangements are established by mutual agreement between the employee and the manager.
- An entretien is organized for non-teleworking employees to discuss telework possibilities.
- The contract of work or an avenant formalizes the acceptance of both parties and their conditions.

C","- The document does not mention coverage of costs associated with telework, such as IT setup or meal allowance.

P","- The document does not explicitly mention the right to disconnect or privacy provisions for teleworkers.
- The document does not mention specific pledges to preserve the balance between personal and professional life.

The document does not mention several topics, such as the process for establishing telework arrangements, the existence of a period of adaptation, the conditions of a return to non-telework, the conditions of execution of telework, and the conditions of hygiene and safety.",T09520003181-51966546700014
19,"Eligible personnel are CDI or CDDeternée employees with a compatible activity for telework, a high-speed internet connection, and a secure phone line at home. They must be autonomous and ensure the same level of security at home as in the office (Article III).
- *","Telework is allowed once a week, except for specific cases related to exceptional circumstances or health issues. The day of telework is agreed upon between the employee and their manager, excluding Mondays (Article IV).
- *","To establish telework arrangements, the employee must submit a written request to their manager using the provided form. The manager will respond in writing within 15 days. Refusal must be justified and does not exclude the possibility of a new request every six months (Article IV).
- *","The company does not cover costs related to immobilization, charges, or furniture. However, the company covers the costs of maintaining, repairing, or replacing the provided computer equipment (Article V).
- *","The right to disconnect is respected, and the manager ensures this. The employee is expected to be available during working hours and to use the provided tools (3CX and Teams) for communication. The employee should not engage in personal or family activities during telework hours (Article V).

The document does not mention specific provisions for the right to disconnect and privacy beyond the general expectations outlined above.",T01321012821-43413575200039
20,"- All employees with a permanent contract or fixed-term contract are eligible for telework, provided they have completed their probationary period and their role is suitable for remote work. The document does not mention any specific criteria related to tenure, employment type, or job characteristics.

F","- Telework is allowed for up to two days per week, with a minimum requirement for the employee's presence in the office. The document does not mention specific numbers of days per week permitted or minimum requirements for the employee’s presence in the office.

A","- Telework arrangements are established through a formal request process. Employees must submit a written request to their manager, who will then assess the feasibility and compatibility of telework with the employee's role and the team's needs. The manager has discretion over the allowability of telework.

C","- The document does not mention any specific coverage of costs associated with telework, such as IT setup or meal allowance.

P",- The document does not mention provisions for the right to disconnect or the privacy of the worker.,T09221030114-41990126900045
21,"- Eligible workers are those with a permanent contract, full-time or part-time, with a minimum of 6 months seniority and a minimum of 20 hours per week.
- Excluded are employees on probation, apprentices, interns, and employees with specific job requirements.
- The company has the right to refuse telework for specific roles or during specific periods.

F","- Telework is allowed for a maximum of 3 days per week, with a minimum of 2 days on-site.
- The company may require a higher minimum on-site presence for specific roles or periods.
- Telework is not allowed during the probation period.

A","- Telework is granted upon request and is subject to manager approval.
- The company may refuse telework for specific roles or periods.
- The company may impose specific conditions for telework, such as the need for specific equipment or software.

C","- The company covers the costs of equipment and software required for telework.
- The company does not cover the costs of internet or electricity.
- The company provides an indemnity for office space at home.

P","- The company respects the right to disconnect and the privacy of the worker.
- The company does not monitor the worker's activities outside of working hours.
- The company may require the worker to be available during specific hours.

The document does not mention specific topics such as the process for requesting telework, the duration of the telework agreement, or the possibility of teleworking from abroad.",T07522039648-48399322600057
22,"All employees with a permanent contract, working at least 24 hours per week, and having at least 6 months of seniority are eligible for telework (Article 1.1).
- *","Telework is allowed up to 2 days per week for full-time or 90% employees and 1 day per week for others. The days are fixed by the manager after consultation with the employee (Article 2.2).
- *","Telework arrangements are established through a written request to the manager. A 2-month adaptation period is required to verify the employee's aptitude for remote work (Article 1.2).
- *","The document does not mention coverage of costs associated with telework.
- *","The right to disconnect is recognized, and the employee must respect the usual working hours. The employee must be reachable by phone, email, and instant messaging (Article 2.3).

The document does not mention IT setup, meal allowance, or privacy provisions.",T01922001431-48875953100012
23,"All salaried employees, both cadres and non-cadres, in CDI or CDD with at least one year of tenure are eligible for telework. The employee's post must be recognized as eligible by the employer and the commission of follow-up.

2. F","Telework is allowed for a maximum of two days per month, with a limit of 24 days per year for full-time employees. The days cannot be carried over from one year to the next.

3. A","Telework arrangements are established through a voluntary request from the employee and the employer's agreement. The employee must have mastery of their post and autonomy in organizing and managing their time.

4. C","The employer provides a PC portable for the employee's professional use. The employee is responsible for the equipment and must return it at the end of the telework period.

5. P","The employee is responsible for ensuring the confidentiality of data and the security of their workspace. The employer may monitor the employee's connection times and addresses. The employee must be reachable during their regular working hours and can be contacted via their personal phone or Skype.

The document does not mention the right to disconnect or the privacy of the worker.",T02422001789-78170349100030
24,"- Eligible workers are those with a CDI or CDD, working full-time or at least 80% time, with at least 6 months tenure, and an entirely dematerialized activity.
- Excluded are those with functions requiring physical presence, commercial itinerants, and those with contract types not mentioned.
- Not mentioned: eligibility for part-time workers, specific job characteristics, or manager discretion.

F","- Not mentioned: specific numbers of days per week or minimum requirements for employee presence in the office.

A","- Not mentioned: specifics on permission, manager discretion, or process for establishing telework arrangements.

C","- Not mentioned: coverage of costs associated with telework, such as IT setup and meal allowance.

P","- Not mentioned: provisions for the right to disconnect and the privacy of the worker.

The document does not mention specifics on frequency, arrangements, costs, or privacy.",T02221003657-48310030100033
25,"Eligible workers are those in CDD or CDI contracts with at least 3 months of tenure, occupying a role that can be partially and regularly performed at home, and having a home setup that allows for optimal use of company tools (Article 1.2).
- *","Telework is allowed up to two days per week, with each day being a full day. The number of days may increase, but the employee must be present in the office at least two days per week (Article 2.2.1).
- *","Telework arrangements are established through a written request to the HR department, followed by an agreement between the employee and the company. The agreement is for an indefinite or definite period and includes details such as work hours, location, and equipment (Article 2.2.5).
- *","The company provides an ordinateur portable professionnel and access to its applications. The employee is responsible for ensuring their home internet is compatible with company tools. The company covers maintenance costs (Article 3.1).
- *",The company respects the employee's privacy outside of agreed work hours. The employee is not required to be reachable outside of their regular work hours (Article 4.4). The document does not mention the right to disconnect or privacy provisions beyond this.,T06921017945-43205692700028
26,"Employees with a CDI or CDD, who have completed their probationary period, have job autonomy, and work in a role compatible with telework are eligible. The employee's home must meet technical requirements for telework (Article 3-2).
- *","Telework is limited to two days per week, non-reportable and non-cumulative (Article 3-3).
- *","Employees must submit a request at least three working days in advance, and the manager must respond within 24 hours. The telework day can be canceled due to unforeseen events (Article 4).
- *","The company covers the costs of telework equipment and software. Employees are responsible for their internet connection and electricity costs. The company covers the cost of a second chair if necessary (Article 6-1).
- *","The company has a right to control the work performed and expects results. The company's IT charter applies to telework. Employees must report any malfunctions and return all equipment upon request (Article 9-1).

The document does not mention the right to disconnect or the privacy of the worker.",T03621000893-51176383100019
27,"Eligible employees are those with a permanent contract, at least 6 months of tenure, holding a post at 80% or more, able to work autonomously, and with a role compatible with telework (Article 2.1).
- *","Telework is allowed one day per week, non-fractionable, non-reportable, and non-modifiable (Article 2.1).
- *","Employees must submit a written request to their manager, who will then transmit their approval to the HR director. The final decision is made by the General Director (Article 3).
- *","The company provides an allowance of 10€ per month for teleworkers (Article 10).
- *","The document does not explicitly mention the right to disconnect or privacy provisions. However, it does mention that the company will respect the legal framework regarding working hours and rest periods (Article 11).",T06420003086-27640001700014
28,"Employees with at least one year of tenure and the ability to work autonomously are eligible for telework (Article 1.1).
- *","Telework is allowed one day per week, with an additional two days per month possible with manager approval (Article 2.1).
- *","Telework arrangements are established through a formal process involving manager approval and a one-year tenure requirement (Article 1.1).
- *","The company provides an internet allowance and contributes to the cost of home office equipment (Article 1.10).
- *","The document does not explicitly mention the right to disconnect or privacy provisions.

Note: The document does not mention several topics, such as the process for establishing telework arrangements, coverage of costs associated with telework, or provisions for the right to disconnect and the privacy of the worker.",T09221027931-44018038800033
29,"All employees of Transitions Pro Nouvelle-Aquitaine are eligible for telework, regardless of their position, contract type, or duration of work, except during the probationary period and for CDDs of less than 3 months (Article II-2).
- *","Telework is allowed for a maximum of two days per week, which can be consecutive or non-consecutive. At least three days of physical presence in the office are required (Article IV-1).
- *","Telework arrangements are established through a formal request process. The employee must submit a request to the Direction Générale, who will respond within one month. The employee must explicitly accept the conditions of telework (Article III-4).
- *","The company provides an indemnity of 60 euros/year for one day of telework per week or 120 euros/year for two days of telework per week. The employee's working conditions are equivalent to those of on-site workers for the allocation of meal vouchers (Article II-4).
- *",The document does not mention provisions for the right to disconnect or privacy of the worker.,T03321008348-32888716100045
30,"**

* The telework policy applies to all employees of the company who have been with the company for at least six months and have a permanent contract.
* Employees must have a suitable workspace at home and a stable internet connection.
* Certain positions are not eligible for telework, such as those that require physical presence or access to specific equipment.

*","**

* Telework is allowed for a maximum of three days per week, with a minimum of two days in the office.
* Employees must be present in the office on Mondays and Fridays, unless otherwise agreed with their manager.

*","**

* Telework arrangements are established through a formal agreement between the employee and the company.
* Employees must submit a request for telework to their manager, who will review the request and make a decision based on the company's telework policy and the employee's job responsibilities.

*","**

* The company will cover the costs of necessary equipment and software for telework, as well as any additional costs related to telework, such as increased electricity usage.
* Employees are responsible for covering their own internet and phone costs.

*","**

* The company has a right to disconnect policy that applies to all employees, including those who telework.
* Employees are expected to respect their own personal time and not engage in work-related activities outside of their designated work hours.
* The company will provide training on the right to disconnect and the importance of work-life balance.

Note: The document does not mention specific provisions for the right to disconnect and privacy for teleworkers. The above points are based on general principles and best practices for telework policies.",T09222032358-43210437000148
31,"- Eligible workers: Collèges 2 and 3 employees (TAM and Cadres) with at least 6 months of seniority, working full-time or part-time (> 60%), and not in apprenticeship, professionalization, aid to employment, or internship contracts. (Article 1.1)

*","- Telework frequency: Not explicitly stated in the document.

*","- Establishing telework arrangements: Voluntary basis, subject to manager's approval and availability of telework days. (Article 1.2)

*","- Cost coverage: The document does not mention cost coverage for telework.

*","- Right to disconnect and privacy: The document does not mention the right to disconnect or privacy provisions for teleworkers.

Note: The document does not explicitly address the frequency, costs, and privacy aspects of telework.",T07721006204-72206212200030
32,"All employees with a CDI or CDD contract working at least 80% of full-time hours (or 174 days for cadres on forfait annuel en jours) are eligible for telework. No specific tenure is required, and apprentices and interns are excluded. The nature of the work and the employee's autonomy are key factors in eligibility (Article 2.1).
- *","Telework is allowed up to a maximum of 1 day per week, either regularly or occasionally. No rollover of unused days is permitted (Article 1.4).
- *","Employees must submit a request for telework to their manager using the provided form. The manager has one month to accept or reject the request, with reasons for refusal (Article 3.1).
- *","The company provides a PC laptop, telephone, and optional mouse, keyboard, and headset. Employees can request a 50% reimbursement for a second screen, up to 150 € (Article 4.2).
- *","The right to disconnect and privacy are respected, with specific pledge hours and availability during telework days. The company's IT policy applies to telework as well (Article 7).

The document does not mention specific provisions for the right to disconnect or privacy beyond the general IT policy and pledge hours.",T07519016861-55207502000594
33,"- Eligible workers are those with a CDI, at least 1 year of tenure, and a post that can be partially done remotely without daily managerial support.
- The document does not mention specifics about job characteristics or employment type.

*","- Telework is allowed once a week, on a fixed day.
- Exceptional circumstances allow for on-site work or rescheduling the telework day.

*","- Telework arrangements are established through a questionnaire, a decision-making process, and an avenant to the contract.
- The manager and HR must approve the arrangement.

*","- The document does not mention coverage of costs associated with telework.

*","- The document does not mention provisions for the right to disconnect or privacy of the worker.

Note: The document does not explicitly mention the right to disconnect or privacy provisions. It is essential to ensure that these aspects are addressed in the company's telework policy.",T03120005087-71080254700020
34,"- Eligible workers are those from the convention collective of work for the MSA and the convention collective of work for praticiens of the MSA, excluding praticiens cadres dirigeants (Article 5).
- The employee must have the ability to work regularly from a distance and demonstrate autonomy in the execution of their duties (Article 5).
- The employee must be able to organize, manage their own working hours and rest periods, and not require significant managerial support (Article 5).
- The employee must have a suitable workspace at home or in another declared residence (Article 4).
- The employee must have a stable internet connection and an electrical installation that complies with safety standards (Article 6).

F","- The employee must be present at their workplace for at least 40% of their working time (Article 5.1).
- The employee can telework for up to 20% of their working time if their job involves physical interaction with clients or patients (Article 5.1).

A","- The employee must submit a request for telework to the Human Resources department (Article 6).
- The employee must provide an attestation of conformity for the electrical installation and an attestation from their insurer (Article 6).
- The employee must sign an act of engagement with the employer (Article 7).

C","- The employee receives an indemnity of €1 per day of telework (Article 14).

P","- The employee has the right to disconnect and must not be contacted outside of their telework hours (Article 11).
- The employee must respect the confidentiality of the information obtained or collected in the context of their work and not use it for personal purposes (Article 15).
- The employee must comply with the rules of professional secrecy and the charter of use of computer tools (Article 15).
- The employee must not under any circumstances subcontract the tasks entrusted to them (Article 15).
- The employee must report any accident occurring during telework to the employer (Article 16).
- The employee must comply with the rules of prevention of professional risks (Article 16).
- The employee must comply",T02622004362-52107055700017
