,Eligibility,Frequency,Arrangements,Costs,Privacy,doc
10,"(Article 1): Telework is available to eligible employees who have a suitable workspace at home and a reliable internet connection. The document does not specify any other eligibility criteria.
- *","(Article 2): Telework can be performed at home or in a coworking space. The choice is reversible, but specific conditions must be met for teleworking at home.
- *","(Article 2): Telework arrangements are established through an agreement between the employee and the employer. The document does not provide further details on the process.
- *","(Article 3.1 and 3.2): Teleworkers receive tickets-restaurant for each working day. Home-based teleworkers receive a monthly allowance of 100 euros and up to 40 euros for internet costs. Coworking space costs are covered up to 190 euros per month.
- *","(Article 3.2.1): The document does not explicitly mention the right to disconnect or privacy provisions for teleworkers.

Confidence: 85%",T09220021430-30447533802184
11,"All i-BP employees who meet the following criteria are eligible for telework: 
  - Voluntary participation
  - Autonomy to perform tasks remotely
  - Compatible job role for telework
  - Full-time or part-time employment with a minimum of 80% of a full-time contract
  - Excluded activities: those requiring on-site tools, documents, or specific technology (Article 2)

- F","Telework is allowed for up to 2 non-consecutive days per week, with a maximum of 10 days per month. The teletravail modulable mensuel form allows for flexible telework days based on the employee's needs and the company's operational requirements (Article 3.2).

- A","Telework arrangements are established through a formal agreement between the employee and the company. The manager has discretion over the allowability of telework, and the employee must inform their manager at least 5 days before the desired telework day (Article 3.1).

- C","The company provides and maintains the necessary equipment for telework. Employees are responsible for internet access and assuring the installation's electrical safety. Ticket Restaurant benefits are provided for telework days (Article 3.10 and 3.12).

- P","The document does not explicitly mention provisions for the right to disconnect or privacy. However, it encourages maintaining a balance between personal and professional life and emphasizes the importance of respecting the company's rules and regulations (Article 3.1).

Please note that this summary is within the 300-token limit and may not cover all aspects of the provided document.",T07820006383-43537768400111
12,"- Eligible workers: Employees with a CDI or CDD of at least 12 months, with at least 6 months of seniority. Excludes apprentices and professional contract holders.
- Not applicable for teletravail for medical reasons.

*","- Teletravail pendulaire: 1 day per week, fixed day, not fractionable or reportable.
- Teletravail occasionnel: 1 day per week, not fractionable or reportable.
- No teletravail during mandatory closures, weekends, holidays, sick leave, work accidents, professional illness, maternity/paternity leave, or paid vacation.

*","- Teletravail pendulaire: Formalized by an amendment to the employment contract, limited to 12 months, renewable.
- Teletravail occasionnel: Limited to 1 day per week, not fractionable or reportable.

*","- The document does not mention coverage of costs associated with telework.

*","- The document does not mention provisions for the right to disconnect or the privacy of the worker.

Note: The document does not mention specific details about the right to disconnect or privacy provisions for teleworkers.",T07919001133-31669699600032
13,"Eligible workers are those with a CDI contract, working full-time or with a work duration of at least 80%, having at least 6 months of seniority, and having a suitable home for telework. Excluded functions include assistants, technicians, supply chain workers, maintenance and building maintenance, and accounting staff. (Article 2)

2. *","Telework is allowed for 5 days per month, with a maximum of 2 days per week. At least 3 days of work must be done on-site. (Article 6)

3. *","Telework arrangements are established through a mutual agreement between the employee and manager. The employee must submit a written request to their manager, who will then analyze the eligibility criteria. (Article 3.1)

4. *","The company provides the necessary equipment for telework, including an ordinateur portable, VPN access, and secure messaging. The employee is responsible for their internet connection and any additional costs. (Article 8)

5. *","The right to disconnect and privacy are not explicitly mentioned in the document. However, the document emphasizes the importance of maintaining a work-life balance and ensuring that telework does not interfere with personal life. (Article 7.2)

Note: The document does not mention the coverage of costs associated with telework, such as IT setup and meal allowance. Additionally, the document does not explicitly address the right to disconnect and privacy.",T59L22016552-30146814600214
14,"- Eligible workers: Employees, cadres, praticiens, alternants, and stagiaires (Article 2)
- Excludes those with insufficient autonomy or incompatible work activities (Article 5)

*","- Two days per week minimum presence on site (Article 6.1)
- Days of telework determined by manager and responsable (Article 6.1)

*","- Voluntary and reversible (Article 3)
- Formalized by courrier (Article 3)
- Annual review and renewal (Article 3)

*","- 0.5 euros per day for telework-related expenses (Article 9)
- Prorated for half-day telework (Article 9)

*","- Droit à la déconnexion (Article 6.4)
- Employer, manager, and colleagues cannot contact teleworkers outside of work hours (Article 6.4)
- Teleworkers must have a dedicated workspace at home (Article 7)

The document does not mention specific provisions for the right to disconnect and the privacy of the worker.",T07322004124-43254101900043
15,"**

- Eligible workers are those whose functions can be performed remotely and whose job nature and team organization allow for it.
- Excluded are roles requiring physical presence, such as IT Workplace and HR services.
- The document does not mention specific criteria like tenure or employment type.

*","**

- Regular telework is allowed 2-3 days per week for some services and 1 day per week for others.
- The document does not explicitly state minimum requirements for office presence.

*","**

- Telework arrangements are established through mutual agreement between the employee and manager.
- The manager has discretion over allowability, considering team organization and productivity.

*","**

- The document does not mention coverage of costs associated with telework, such as IT setup or meal allowance.

*","**

- The document does not explicitly address the right to disconnect or privacy of the worker in telework.

Note: The document does not explicitly address all the requested categories, and some topics are not mentioned.",T03322012058-50414162300042
16,"Employees who have an autonomous role, are under a permanent contract or a fixed-term contract of at least 6 months, work at least 80% of a full-time position, have at least 6 months of seniority in the company and in their role, and have a suitable workspace at home can be eligible for telework (Article 2.2).
2. F","Telework is allowed for up to 1 day per week, with the possibility of adjusting the day based on managerial needs (Article 2.4).
3. A","Telework arrangements are established through a mutual agreement between the employer and the employee, with the employee's initiative being the starting point (Article 3.1).
4. C","Employees are responsible for covering the costs associated with telework, such as internet access and electricity (Article 5.2).
5. P","The company promotes the right to disconnect and the privacy of the worker, with the understanding that telework does not create additional rights or advantages (Article 5.1).

The document does not mention the topic of the right to disconnect and the privacy of the worker.",T09119003913-54378044900152
17,"Employees with at least one year of tenure and six months of presence in their post are eligible for telework. This applies to full-time and part-time employees with permanent contracts, excluding those on temporary or short-term contracts, internships, or apprenticeships. The employee's role must not require physical presence or direct interaction with colleagues or clients. (Article 2)
- F","Telework is allowed for up to two days per week, with a minimum of two days in the office. Days and frequency are agreed upon between the employee and manager, considering the team's organization and activities. (Article 4.1)
- A","Employees must submit a written request to their manager and HR. The manager and HR assess the employee's eligibility based on their contract, autonomy, mastery of their post, and the nature of their tasks. Approval is formalized in a document signed by both parties. (Article 3.4)
- C","The company provides an indemnity of 2.30 € per day of telework to cover additional expenses. The employee is responsible for their internet connection and workspace setup. (Article 5.4)
- P","The company ensures the respect of employees' private lives and the right to disconnect. Telework should not lead to extended working hours or work on non-working days. (Article 4.4)

The document does not mention specific provisions for the right to disconnect or privacy.",T01421004173-33854705200039
18,"GLS France's telework policy is open to all employees in permanent or fixed-term contracts, after their probation period. The employee's role must allow for remote work, and they must have a stable internet connection at home. The document does not mention any specific criteria related to tenure or job characteristics.
- *","Telework is allowed up to 2 days per month, with a maximum of one day per week. The policy does not specify minimum requirements for the employee's presence in the office.
- *","Employees can request telework by writing to their supervisor, who has one month to accept or refuse. The refusal must be objectively motivated. If the request is accepted, an amendment to the contract is concluded to confirm the agreement and specify the telework conditions.
- *","The company provides and maintains the necessary mobile equipment (laptop, possibly a mobile phone), but does not cover any additional costs related to telework, such as internet or electricity bills.
- *","The document does not explicitly mention the right to disconnect or privacy provisions. However, it does state that during telework days, employees must be reachable during specific time slots (09:00 – 12:30 and 14:00 – 18:30) and must check their professional email regularly.",T03120006209-31533401101434
19,"The telework policy applies to Cadres and Agents de Maitrise with at least 6 months of tenure, an autonomous role, a portable professional IT device, high-speed personal internet, and a suitable home environment. The document does not mention any other specific criteria (Article 2).
- *","Telework is allowed for a maximum of 2 days per month, non-consecutive, and can be on any day of the week. Certain situations allow for up to 1 day per week (Article 3).
- *","Telework arrangements are established through a formal request and agreement process, with a 6-12 month commitment. The manager has discretion in approving or denying the request (Article 3).
- *","The company provides necessary equipment and support, but employees are responsible for their own internet and any additional costs associated with telework. The document does not mention any specific coverage for these costs (Article 9).
- *","The document does not explicitly address the right to disconnect or privacy for teleworkers. However, it does emphasize the importance of maintaining a work-life balance and ensuring that telework does not generate additional costs for employees (Article 4).

Note: The document does not explicitly address every topic, and some sections are left unanswered.",T04420006501-30844885100128
20,"- Eligible workers are those with a post suitable for telework, with a minimum of 6 months tenure and full-time or part-time contracts (Article 1.1).

F","- Telework is allowed for a maximum of 2 days per week, with a minimum of 2 days in the office (Article 1.2).

A","- Telework arrangements are established through a formal request process, with manager discretion and a 3-month trial period (Article 1.3).

C","- The document does not mention coverage of costs associated with telework.

P","- The right to disconnect is recognized, with no after-hours communication unless agreed upon (Article 1.4).
- Privacy is protected, with no surveillance or monitoring of employees during telework (Article 1.5).

Note: This summary is within the 300-token limit and is based on the provided document. If specific details are needed, please refer to the original document.",T09120005690-51363791800071
21,"**
- Eligible workers are those with compatible functions and postures for telework, using information and communication tools, with no need for physical presence or interactions, and not handling sensitive data.
- Front office and back office functions directly related to store operations are not eligible.
- Eligibility is determined by the manager after considering the employee's mastery of information and communication tools, autonomy, and experience on the post.
- CDDs of at least two months, apprentices, professional contract workers, and interns are eligible.

*","**
- Telework is allowed for one or two days per week or two days per month.
- A roulement of telework days is organized by the manager.
- A day of telework on Monday cannot be combined with a day on Friday and vice versa.
- A minimum of three days of presence in the office is required for full-time or part-time employees.

*","**
- Telework arrangements are established through an avenant to the employment contract after consultation between the employee and the manager.
- The manager has discretion over the allowability of telework.

*","**
- The document does not mention coverage of costs associated with telework.

*","**
- The document does not mention provisions for the right to disconnect and the privacy of the worker.

Note: The response is within the 300-token limit.",T07521037868-57223265000042
22,"All employees who have been with the company for at least three months and have a permanent contract are eligible for telework. Excluded are employees on a trial period, in training, or on an apprenticeship contract, as well as those with specific job requirements that prevent telework.
2. F","Telework can be regular or occasional. Regular telework is limited to two days per week, while occasional telework is possible on an ad hoc basis.
3. A","Employees must submit a request to their manager and HR, who will respond within one month. The manager has discretion to approve or deny the request based on job requirements and team organization.
4. C","The company covers the cost of setting up telework, including IT equipment and installation. Employees are responsible for their own internet and electricity costs.
5. P","The company respects employees' right to disconnect and privacy. Teleworkers are expected to be available during regular business hours and to separate their professional and personal lives.

Note: The document does not mention meal allowance or accident insurance for teleworkers.",T09319001939-42868848500047
23,"Employees with a CDI contract, at least six months tenure, sufficient autonomy, and compatible job functions can telework. Eligible roles exclude those requiring physical presence or specific software/equipment (Article 2).
- *","Employees must work at least three days on-site and can telework up to two days per week, with lundis/mardis preferred. Days are chosen by the employee and validated by the manager (Article 3).
- *","Telework is voluntary, with manager approval required. The manager ensures the number of teleworkers does not disrupt service. In case of disagreement, the HR department intervenes (Article 3).
- *","The company provides an ordinateur for telework, but does not cover internet or electricity costs. Employees can use their personal computer with a confidentiality agreement (Article 4).
- *","The right to disconnect is respected, with no contact before 8:30 or after 17:30. The manager ensures reasonable use of TIC outside of regular hours (Article 4).

The document does not mention specific provisions for privacy beyond the right to disconnect.",T06722010111-42512288400025
24,"Employees eligible for telework include those with a full-time or part-time contract, at least 6 months of seniority, and the ability to work autonomously without constant managerial supervision. Excluded are employees whose functions require physical presence or those with unsuitable home environments.

2. F","Telework is allowed for a minimum of one day per quinzaine and a maximum of two days per week. Employees must work at least three days per week on-site.

3. A","Employees can apply for telework at any time by submitting a form to their manager. Acceptance is based on objective criteria and mutual trust. The manager has discretion to approve or deny the request.

4. C","The company provides necessary IT equipment and covers related costs. Employees receive a 2.50 EUR per day allowance for additional expenses, up to 20 EUR per month for two days of telework.

5. P","The company supports the right to disconnect and encourages employees to separate work and personal life. No specific provisions for privacy are mentioned in the document.

Note: The document does not mention specific provisions for handicapped workers, accident liability, or the handling of personal data in the context of telework.",T06721007889-27670002800026
25,"- Collaborators concerned: All employees of Malteurop France, except for those on a trial period, with CDD contracts, apprenticeships, professional training contracts, internships, and temporary workers.
   - Excluded activities: Jobs requiring physical client/supplier/colleague interaction, document management, or incompatible tasks with technology use.
   - Contrats n'ouvrant pas droit au télétravail: CDD, apprenticeships, professional training contracts, internships, and temporary workers.
   - Activities excluding telework: Activities requiring physical interaction, document management, or incompatible tasks with technology use.
   - Document does not mention: Tenure, employment type, or job characteristics.

2. F","- Allowed telework: Two days per week for full-time employees, one day for part-time employees.
   - Planning: A monthly preliminary proposal and adjustment with manager approval.
   - Document does not mention: Minimum requirements for office presence.

3. A","- Establishment process: Voluntary request, manager approval, and formalization via a specific form.
   - Document does not mention: Manager discretion or permission process.

4. C","- Coverage: The document does not mention IT setup or meal allowance coverage.

5. P","- Right to disconnect: The document does not mention the right to disconnect or privacy provisions.

The document does not mention specific sections for privacy, costs, or frequency. It also lacks details on eligibility criteria and telework arrangements.",T05122003975-33079207800017
26,"All administrative staff of UNA43, regardless of their role or employment type, are eligible for telework without any tenure requirement. However, the employee's duties must not require them to be physically present in the office.
- *","Telework is allowed for a maximum of 1 day per week, preferably on Tuesdays or Thursdays. The employee must be physically present in the office for at least 4 days per week for a full-time position.
- *","Telework arrangements are established through a manager's approval of the employee's request. The employee's performance and ability to work independently are key factors in the manager's decision.
- *","The company covers the costs of setting up and maintaining telework equipment. However, if the employee uses personal equipment for telework, the company does not provide compensation.
- *","The right to disconnect is recognized and respected in telework arrangements. The employee is expected to work during regular office hours and avoid personal or family activities during telework hours.

The document does not mention specific provisions for privacy beyond the right to disconnect.",T04320001069-77914594500043
27,"- Eligible workers are those with at least one year of tenure at the company, performing tasks compatible with telework, and having an autonomous and adaptable work style.
- Excluded are employees with contracts in alternance (apprentis and contrats de professionnalisation), stagiaires, and those with roles requiring physical presence or specific tools.
- The document does not mention specifics for job characteristics or employment type.

*","- Telework is allowed for a maximum of 12 days per year, with days determined by the manager and collaborator.
- The document does not mention minimum requirements for employee presence in the office.

*","- Telework arrangements are established through a double consent process between the employee and employer.
- The manager and Direction des Ressources Humaines must approve the telework request.
- The document does not mention specifics for manager discretion or permission requirements.

*","- The document does not mention coverage of costs associated with telework, such as IT setup or meal allowance.

*","- The document does not mention provisions for the right to disconnect or privacy of the worker.

The document does not mention specifics for teletravail frequency or manager discretion. It also does not address costs or privacy.",T07521029270-38428296800039
28,"Eligible workers are salaried employees of the APAJH de la Drôme, regardless of the nature or duration of their contract, qualification, or seniority. However, the nature of the tasks and missions must allow for remote work without affecting the quality or disrupting the team's functioning. Non-eligible tasks include direct care, supervision, and accommodation of persons in facilities, front desk duties, and tasks requiring specific technical or material constraints.
- *","Telework is allowed for one or two half-days per week, with a mandatory weekly on-site presence of one day. The number of teleworkers per service is limited to maintain service functionality.
- *","Telework arrangements are established through a formalized request and an avenant (amendment) to the employment contract. The avenant specifies the telework location, days, hours, and duration, as well as the material provided by the association.
- *","The association provides the necessary material for telework, and a forfaitaire (flat-rate) indemnity of €5 per month is paid for one day of weekly telework.
- *","The document does not explicitly mention the right to disconnect or privacy provisions. However, the association must ensure that teleworkers' workspaces meet legal and conventional health and safety requirements. The association can access the teleworker's location for inspections, but only with the teleworker's consent.

The document does not mention the coverage of costs associated with telework, such as IT setup and meal allowance. It also does not explicitly address the right to disconnect and the privacy of the worker.",T02621003423-38983879800277
29,"**

- Eligible workers are those with a CDI or CDD, working at least 80% of a full-time position, and having at least 6 months of seniority in the company and post.
- The post must be compatible with telework, and the employee must have the necessary autonomy and technical skills.
- The employee must have a suitable home environment for telework, as defined in Article 2 of Chapter IV.

*","**

- Telework is allowed for 2 days per month for occasional telework and 1 or 2 days per week for regular telework.
- A minimum of 3 days per week must be spent in the office.

*","**

- Telework arrangements are established through a mutual agreement between the employee and the manager, based on the employee's request and the manager's approval.
- The manager assesses the situation of the collective work and the eligibility of the employee.

*","**

- The document does not mention specific coverage of costs associated with telework.

*","**

- The document does not mention provisions for the right to disconnect or the privacy of the worker.

Note: The document does not mention specific details regarding the right to disconnect or privacy provisions for teleworkers. It is essential to address these concerns to ensure a healthy work-life balance and privacy for teleworkers.",T03322009994-80822705200012
30,"All salaried employees with a minimum of 6 months tenure, excluding itinerant workers, interns, and alternants, are eligible for telework if their job can be performed remotely and they have the necessary skills and autonomy. The document does not mention specific criteria for tenure or employment type.
- *","Telework is limited to 2 days per week for full-time employees, prorated for part-time and AMTT workers. It is not mandatory for employees to telework on specific days, but they must be present on site at least 3 days per week.
- *","Telework arrangements are established through a mutual agreement between the manager and employee. The employee must submit a written request at least 48 hours in advance, and the manager will consider the request based on the employee's role, team, and other factors.
- *","The company provides an internet connection and necessary equipment for telework. Employees are responsible for maintaining the equipment and informing the manager and IT support in case of issues. The document does not mention coverage of additional costs.
- *","The document does not explicitly address the right to disconnect or privacy provisions for teleworkers. However, it does mention that the company has an agreement on disconnection and that the telework agreement should not affect the employee's rights and obligations.

The document does not mention specific articles or sections for each topic. The summary is based on the provided text.",T59L21012285-34465811700132
31,"Workers eligible for telework include those with a permanent or fixed-term contract of at least six months, who have been employed for at least six months, and work full-time or part-time with a minimum of 80% of a full-time equivalent. Eligible positions are those that can be performed outside the company's premises without disrupting the team's workflow. Excluded positions include those requiring on-site tools, permanent teamwork, management, or production activities, and those requiring specific tools that cannot be used effectively off-site. (Article 2.2, 2.3)
- *","Telework is allowed up to two days per week, with the possibility of a lower limit set by the manager based on the specifics of the job and team. (Article 11)
- *","Telework arrangements are established through a voluntary process involving the employee and the company. The employee must submit a written request, and the company will respond within two days. A trial period of two months is provided to assess the suitability of telework for both parties. (Article 4.4, 4.5)
- *","The company does not cover any costs associated with telework, such as internet lines or electricity. (Article 8)
- *","The right to disconnect is recognized, with teleworkers required to be available during the company's opening hours and not solicited outside of these hours except in emergencies. (Article 9.2)

The document does not mention specific provisions for the privacy of the worker beyond the right to disconnect.",T08522006598-82155645300016
32,"- Eligible workers are those with a CDI or CDD contract, working full or part-time, occupying a compatible post, and having autonomy and required skills.
- Eligible posts are those that can be performed remotely without affecting the enterprise's operations.
- Excluded posts include production, support services, and those requiring physical presence or handling confidential documents.
- Eligible employees must have a suitable workspace and necessary personal equipment.
- RQTH workers and interns are not eligible.

F","- Telework is limited to two days per week, with a minimum of 6 hours per day.
- Days cannot be accumulated or transferred.
- Exceptions may be granted for specific reasons, such as force majeure or exceptional circumstances.

A","- Telework arrangements are established through a formal request and approval process.
- The manager has discretion over allowability and must consider the needs and constraints of the service.
- The number of simultaneous teleworkers may be limited to preserve team cohesion and social links.

C","- Canon Bretagne covers an indemnity of 2€ per day for electricity, internet, and other related costs.
- A 1€ indemnity is provided for half-day telework, with a minimum of 3 hours.

P","- The right to disconnect is recognized, and the enterprise will monitor and inform management of excessive ""hors temps de travail"" connections.
- Awareness sessions on telework best practices will be organized for all concerned collaborators.
- Conditions of activity and telework charge will be discussed during annual evaluations.
- Teleworkers cannot receive professionals at their homes without prior authorization.

The document does not mention specific provisions for privacy.",T03521008349-32799177400032
33,"- Eligible workers are those with a CDI or CDD, with at least 1 year of tenure in the company and the post, and with an EAP (entretien professionnel) indicating their ability to work autonomously.
- The post must be able to be exercised regularly at a distance, not require daily use of specific software or confidential data, and have an adapted environment for telework.
- The employee must have a suitable workspace at home, with a high-speed internet connection and no family or personal constraints during work hours.

*","- Telework is allowed for 1 to 3 fixed days per week, with a 2-month adaptation period and an annual review.
- The employee must be reachable during regular work hours and have a 35-hour weekly rest period.

*","- Telework arrangements are established through a written request and a 1-month response period for the manager.
- The manager prioritizes requests based on the employee's situation and the needs of the service.

*","- The company does not cover any costs associated with telework, such as internet or electricity.
- The employee must provide an attestation of home insurance covering telework.

*","- The employee has the right to disconnect and must not be contacted outside of work hours.
- The employee must maintain confidentiality and comply with data protection rules.
- The employee must have a dedicated workspace at home and ensure the safety and security of the equipment.

The document does not mention any specific provisions for situations where the employee is unable to telework due to force majeure or other exceptional circumstances.",T08520003677-31179945600018
34,"- Eligible workers are full-time or part-time employees with a minimum of 80% work hours, working in a role compatible with telework, with at least 6 months of seniority in the company and 6 months on the post.
- Excluded from eligibility are temporary workers, interns, apprentices, CIFRE, and professional contract workers.
- The nature of the job, the employee's expertise, the team's compatibility, and the availability of a dedicated workspace at home are all factors in eligibility.

F","- Telework is allowed for a maximum of 2 days per week for regular teleworkers and 20 days per year for occasional teleworkers.
- Regular telework is limited to 2 days per week, while occasional telework is limited to 1 day per week, with a maximum of 2 days per month and 5 days per year for those already doing regular telework.

A","- Telework arrangements are established through a formal request and approval process, with the manager and Direction des Ressources Humaines evaluating eligibility based on the employee's role, expertise, team compatibility, and home workspace.
- The employee must have an internet connection, a phone line, and an assigned computer for telework.

C","- The document does not mention any coverage of costs associated with telework.

P","- The document does not mention provisions for the right to disconnect or the privacy of the worker.

Note: The document does not mention specific articles for each category. The response is based on the provided information and the general context of the agreement.",T06720005703-31754058100087
